,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.514,s,,1.514
1,1,1,1.514,1.822,p,s,0.30800000000000005
3,4,4,1.822,2.551,s,p,0.7290000000000001
4,5,5,2.551,2.63,p,s,0.07899999999999974
5,6,6,2.63,3.893,s,p,1.263
6,7,7,3.893,3.953,p,s,0.06000000000000005
7,8,8,3.953,5.170999999999999,s,p,1.2179999999999995
8,9,9,5.170999999999999,5.293,p,s,0.12200000000000077
9,10,10,5.293,5.731,s,p,0.4379999999999997
10,11,11,5.731,5.795,p,s,0.06400000000000006
11,12,12,5.795,6.541,s,p,0.7460000000000004
12,13,13,6.541,6.674,p,s,0.133
13,14,14,6.674,8.142,s,p,1.467999999999999
14,15,15,8.142,8.581,p,s,0.43900000000000006
15,16,16,8.581,10.346,s,p,1.7650000000000006
16,17,17,10.346,10.743,p,s,0.39700000000000024
17,18,18,10.743,12.0,s,p,1.2569999999999997
18,19,19,12.0,12.128,p,s,0.1280000000000001
19,20,20,12.128,12.325,s,p,0.19699999999999918
20,21,21,12.325,12.928,p,s,0.6030000000000015
21,22,22,12.928,13.722,s,p,0.7939999999999987
22,23,23,13.722,14.299,p,s,0.577
23,24,24,14.299,15.225,s,p,0.9260000000000002
24,25,25,15.225,15.37,p,s,0.14499999999999957
25,26,26,15.37,16.826,s,p,1.4560000000000013
26,27,27,16.826,17.793,p,s,0.9669999999999987
28,30,30,17.793,19.653,s,p,1.8599999999999994
29,31,31,19.653,19.721,p,s,0.06800000000000139
30,32,32,19.721,20.445,s,p,0.7240000000000002
31,33,33,20.445,20.505,p,s,0.05999999999999872
32,34,34,20.505,21.186,s,p,0.6810000000000009
33,35,35,21.186,21.848,p,s,0.661999999999999
34,36,36,21.848,22.133,s,p,0.28500000000000014
35,37,37,22.133,22.289,p,s,0.15600000000000236
36,38,38,22.289,25.018,s,p,2.728999999999999
37,39,39,25.018,25.192,p,s,0.1739999999999995
38,40,40,25.192,25.552,s,p,0.35999999999999943
39,41,41,25.552,25.625,p,s,0.0730000000000004
40,42,42,25.625,29.148,s,p,3.5229999999999997
41,43,43,29.148,29.561,p,s,0.41300000000000026
42,44,44,29.561,32.261,s,p,2.700000000000003
43,45,45,32.261,32.708,p,s,0.4469999999999956
44,46,46,32.708,34.023,s,p,1.3150000000000048
46,49,49,34.023,34.104,p,s,0.08099999999999596
47,50,50,34.104,35.01,s,p,0.9059999999999988
48,51,51,35.01,35.076,p,s,0.0660000000000025
49,52,52,35.076,36.465,s,p,1.389000000000003
50,53,53,36.465,36.548,p,s,0.08299999999999841
51,54,54,36.548,37.423,s,p,0.875
52,55,55,37.423,37.744,p,s,0.32099999999999795
53,56,56,37.744,39.535,s,p,1.7909999999999968
54,57,57,39.535,40.217,p,s,0.6820000000000022
56,60,60,40.217,41.788,s,p,1.570999999999998
57,61,61,41.788,42.133,p,s,0.34500000000000597
58,62,62,42.133,43.163,s,p,1.029999999999994
59,63,63,43.163,43.234,p,s,0.07100000000000506
60,64,64,43.234,44.511,s,p,1.277000000000001
61,65,65,44.511,45.627,p,s,1.1159999999999997
63,68,68,45.627,47.244,s,p,1.6169999999999973
64,69,69,47.244,47.575,p,s,0.33100000000000307
65,70,70,47.575,48.626,s,p,1.0509999999999948
66,71,71,48.626,48.709,p,s,0.08300000000000551
67,72,72,48.709,50.243,s,p,1.533999999999999
68,73,73,50.243,50.53,p,s,0.28699999999999903
69,74,74,50.53,50.66,s,p,0.12999999999999545
70,75,75,50.66,51.154,p,s,0.4940000000000069
71,76,76,51.154,51.846,s,p,0.6919999999999931
72,77,77,51.846,52.179,p,s,0.3330000000000055
