,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,0.88,s,,0.88
1,1,1,0.88,1.011,p,s,0.1309999999999999
2,2,2,1.011,6.229,s,p,5.218
3,3,3,6.229,6.7780000000000005,p,s,0.5490000000000004
4,4,4,6.7780000000000005,7.84,s,p,1.0619999999999994
5,5,5,7.84,8.057,p,s,0.21700000000000053
6,6,6,8.057,10.675,s,p,2.6180000000000003
7,7,7,10.675,11.095,p,s,0.41999999999999993
9,10,10,11.095,12.0,s,p,0.9049999999999994
10,11,11,12.0,12.398,p,s,0.3979999999999997
11,12,12,12.398,14.262,s,p,1.8640000000000008
12,13,13,14.262,14.843,p,s,0.5809999999999995
14,16,16,14.843,18.198,s,p,3.3550000000000004
15,17,17,18.198,18.292,p,s,0.0940000000000012
16,18,18,18.292,18.533,s,p,0.24099999999999966
17,19,19,18.533,18.724,p,s,0.19099999999999895
18,20,20,18.724,18.885,s,p,0.16100000000000136
19,21,21,18.885,19.252,p,s,0.36699999999999733
20,22,22,19.252,23.387,s,p,4.135000000000002
21,23,23,23.387,23.756,p,s,0.3689999999999998
22,24,24,23.756,25.578,s,p,1.8219999999999992
23,25,25,25.578,25.628,p,s,0.05000000000000071
24,26,26,25.628,26.067,s,p,0.43900000000000006
25,27,27,26.067,26.178,p,s,0.11100000000000065
26,28,28,26.178,26.303,s,p,0.125
27,29,29,26.303,26.357,p,s,0.053999999999998494
28,30,30,26.357,30.615,s,p,4.257999999999999
29,31,31,30.615,30.697,p,s,0.08200000000000074
30,32,32,30.697,31.08,s,p,0.3829999999999991
31,33,33,31.08,31.17,p,s,0.09000000000000341
32,34,34,31.17,32.042,s,p,0.8719999999999999
33,35,35,32.042,32.425,p,s,0.38299999999999557
34,36,36,32.425,34.604,s,p,2.179000000000002
35,37,37,34.604,34.889,p,s,0.2850000000000037
36,38,38,34.889,35.722,s,p,0.8329999999999984
37,39,39,35.722,35.989,p,s,0.2669999999999959
38,40,40,35.989,36.413,s,p,0.4239999999999995
39,41,41,36.413,36.79,p,s,0.37700000000000244
41,44,44,36.79,37.95,s,p,1.1600000000000037
42,45,45,37.95,38.043,p,s,0.09299999999999642
43,46,46,38.043,39.624,s,p,1.581000000000003
44,47,47,39.624,39.681,p,s,0.056999999999995055
45,48,48,39.681,40.396,s,p,0.7150000000000034
46,49,49,40.396,40.98,p,s,0.5839999999999961
50,56,56,40.98,43.197,s,p,2.217000000000006
51,57,57,43.197,43.717,p,s,0.519999999999996
53,60,60,43.717,45.545,s,p,1.828000000000003
54,61,61,45.545,46.356,p,s,0.8109999999999999
55,62,62,46.356,49.256,s,p,2.8999999999999986
56,63,63,49.256,49.354,p,s,0.09799999999999898
57,64,64,49.354,52.22,s,p,2.8659999999999997
58,65,65,52.22,52.72,p,s,0.5
59,66,66,52.72,53.5,s,p,0.7800000000000011
60,67,67,53.5,53.692,p,s,0.19200000000000017
61,68,68,53.692,54.096,s,p,0.40399999999999636
62,69,69,54.096,54.192,p,s,0.09600000000000364
63,70,70,54.192,54.785,s,p,0.5929999999999964
64,71,71,54.785,55.431,p,s,0.6460000000000008
66,74,74,55.431,58.874,s,p,3.443000000000005
67,75,75,58.874,58.966,p,s,0.09199999999999875
68,76,76,58.966,61.96,s,p,2.9939999999999998
69,77,77,61.96,62.694,p,s,0.7340000000000018
71,80,80,62.694,63.442,s,p,0.7479999999999976
72,81,81,63.442,63.561,p,s,0.11899999999999977
73,82,82,63.561,66.303,s,p,2.7419999999999973
74,83,83,66.303,66.414,p,s,0.1110000000000042
75,84,84,66.414,66.643,s,p,0.2289999999999992
76,85,85,66.643,66.973,p,s,0.3299999999999983
77,86,86,66.973,67.097,s,p,0.12399999999999523
78,87,87,67.097,67.216,p,s,0.11899999999999977
79,88,88,67.216,70.114,s,p,2.8980000000000103
80,89,89,70.114,70.183,p,s,0.06900000000000261
81,90,90,70.183,70.717,s,p,0.5339999999999918
82,91,91,70.717,71.039,p,s,0.32200000000000273
83,92,92,71.039,72.364,s,p,1.3250000000000028
84,93,93,72.364,72.634,p,s,0.269999999999996
85,94,94,72.634,73.06,s,p,0.42600000000000193
86,95,95,73.06,73.282,p,s,0.2219999999999942
87,96,96,73.282,73.777,s,p,0.49500000000000455
88,97,97,73.777,74.039,p,s,0.26200000000000045
90,100,100,74.039,75.369,s,p,1.3299999999999983
91,101,101,75.369,75.509,p,s,0.14000000000000057
92,102,102,75.509,78.63,s,p,3.120999999999995
