,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.283,s,,2.283
1,1,1,2.283,2.334,p,s,0.051000000000000156
2,2,2,2.334,2.935,s,p,0.601
3,3,3,2.935,3.076,p,s,0.14100000000000001
4,4,4,3.076,4.729,s,p,1.653
5,5,5,4.729,4.787,p,s,0.05799999999999983
6,6,6,4.787,4.975,s,p,0.18799999999999972
7,7,7,4.975,5.074,p,s,0.0990000000000002
8,8,8,5.074,8.48,s,p,3.4060000000000006
9,9,9,8.48,8.791,p,s,0.31099999999999994
11,12,12,8.791,9.772,s,p,0.9809999999999999
12,13,13,9.772,10.317,p,s,0.5449999999999999
14,16,16,10.317,12.235,s,p,1.9179999999999993
15,17,17,12.235,12.544,p,s,0.30900000000000105
17,20,20,12.544,14.387,s,p,1.843
18,21,21,14.387,14.568,p,s,0.18099999999999916
19,22,22,14.568,15.595,s,p,1.027000000000001
20,23,23,15.595,16.081,p,s,0.4859999999999989
21,24,24,16.081,18.0,s,p,1.9190000000000005
22,25,25,18.0,18.461,p,s,0.4609999999999985
23,26,26,18.461,21.163,s,p,2.7020000000000017
24,27,27,21.163,21.233,p,s,0.07000000000000028
25,28,28,21.233,21.648,s,p,0.41499999999999915
26,29,29,21.648,21.9,p,s,0.2519999999999989
27,30,30,21.9,22.116,s,p,0.21600000000000108
28,31,31,22.116,22.252,p,s,0.13599999999999923
29,32,32,22.252,24.855,s,p,2.6030000000000015
30,33,33,24.855,24.941,p,s,0.08599999999999852
31,34,34,24.941,25.098,s,p,0.15700000000000003
32,35,35,25.098,25.255,p,s,0.15700000000000003
33,36,36,25.255,25.633,s,p,0.3780000000000001
34,37,37,25.633,25.685,p,s,0.0519999999999996
35,38,38,25.685,27.074,s,p,1.389000000000003
36,39,39,27.074,27.232,p,s,0.1579999999999977
37,40,40,27.232,27.377,s,p,0.14499999999999957
38,41,41,27.377,27.434,p,s,0.05700000000000216
39,42,42,27.434,28.614,s,p,1.1799999999999997
40,43,43,28.614,28.79,p,s,0.17599999999999838
41,44,44,28.79,32.121,s,p,3.331000000000003
42,45,45,32.121,32.551,p,s,0.4299999999999997
43,46,46,32.551,33.815,s,p,1.2639999999999958
44,47,47,33.815,33.96,p,s,0.14500000000000313
45,48,48,33.96,36.719,s,p,2.7590000000000003
46,49,49,36.719,36.82,p,s,0.10099999999999909
47,50,50,36.82,36.924,s,p,0.1039999999999992
48,51,51,36.924,37.098,p,s,0.1739999999999995
49,52,52,37.098,37.379,s,p,0.2809999999999988
50,53,53,37.379,37.731,p,s,0.35200000000000387
52,56,56,37.731,37.868,s,p,0.13700000000000045
53,57,57,37.868,38.025999999999996,p,s,0.15799999999999415
54,58,58,38.025999999999996,38.128,s,p,0.10200000000000387
55,59,59,38.128,38.345,p,s,0.21699999999999875
56,60,60,38.345,38.464,s,p,0.11899999999999977
57,61,61,38.464,38.677,p,s,0.21300000000000097
58,62,62,38.677,38.79,s,p,0.11299999999999955
59,63,63,38.79,39.103,p,s,0.3130000000000024
60,64,64,39.103,39.227,s,p,0.12399999999999523
61,65,65,39.227,40.669,p,s,1.4420000000000002
65,72,72,40.669,41.562,s,p,0.8930000000000007
66,73,73,41.562,41.864,p,s,0.3019999999999996
67,74,74,41.864,42.014,s,p,0.15000000000000568
