,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.027,s,,2.027
1,1,1,2.027,2.121,p,s,0.09399999999999986
2,2,2,2.121,3.149,s,p,1.028
3,3,3,3.149,3.557,p,s,0.4079999999999999
6,8,8,3.557,4.2490000000000006,s,p,0.6920000000000006
7,9,9,4.2490000000000006,4.352,p,s,0.10299999999999976
8,10,10,4.352,4.5969999999999995,s,p,0.24499999999999922
9,11,11,4.5969999999999995,4.666,p,s,0.06900000000000084
10,12,12,4.666,4.893,s,p,0.22699999999999942
11,13,13,4.893,4.95,p,s,0.057000000000000384
12,14,14,4.95,5.191,s,p,0.24099999999999966
13,15,15,5.191,5.323,p,s,0.13200000000000056
14,16,16,5.323,5.636,s,p,0.3129999999999997
15,17,17,5.636,5.859999999999999,p,s,0.2239999999999993
16,18,18,5.859999999999999,6.196,s,p,0.3360000000000003
17,19,19,6.196,6.267,p,s,0.07100000000000062
18,20,20,6.267,6.466,s,p,0.19899999999999984
19,21,21,6.466,6.67,p,s,0.20399999999999974
20,22,22,6.67,7.237,s,p,0.5670000000000002
21,23,23,7.237,7.343,p,s,0.10599999999999987
22,24,24,7.343,7.51,s,p,0.16699999999999982
23,25,25,7.51,8.293,p,s,0.7829999999999995
25,28,28,8.293,8.661999999999999,s,p,0.3689999999999998
26,29,29,8.661999999999999,9.465,p,s,0.8030000000000008
28,32,32,9.465,9.744,s,p,0.2789999999999999
29,33,33,9.744,10.067,p,s,0.3230000000000004
31,36,36,10.067,10.349,s,p,0.28200000000000003
32,37,37,10.349,10.974,p,s,0.625
33,38,38,10.974,11.076,s,p,0.10200000000000031
34,39,39,11.076,11.190999999999999,p,s,0.11499999999999844
35,40,40,11.190999999999999,12.258,s,p,1.0670000000000002
36,41,41,12.258,12.631,p,s,0.3730000000000011
38,44,44,12.631,13.352,s,p,0.7210000000000001
39,45,45,13.352,13.411999999999999,p,s,0.05999999999999872
40,46,46,13.411999999999999,13.745000000000001,s,p,0.33300000000000196
41,47,47,13.745000000000001,14.206,p,s,0.4609999999999985
43,50,50,14.206,16.627,s,p,2.4209999999999994
44,51,51,16.627,17.753,p,s,1.1260000000000012
46,54,54,17.753,19.681,s,p,1.9280000000000008
47,55,55,19.681,20.182,p,s,0.5009999999999977
49,58,58,20.182,20.37,s,p,0.1880000000000024
50,59,59,20.37,21.793,p,s,1.4229999999999983
52,62,62,21.793,21.934,s,p,0.1410000000000018
53,63,63,21.934,22.352,p,s,0.41799999999999926
54,64,64,22.352,22.464,s,p,0.11199999999999832
55,65,65,22.464,23.345,p,s,0.8810000000000002
56,66,66,23.345,24.062,s,p,0.7170000000000023
57,67,67,24.062,25.059,p,s,0.9969999999999999
60,72,72,25.059,25.193,s,p,0.13400000000000034
61,73,73,25.193,25.544,p,s,0.3509999999999991
62,74,74,25.544,26.079,s,p,0.5350000000000001
63,75,75,26.079,27.548000000000002,p,s,1.4690000000000012
65,78,78,27.548000000000002,27.96,s,p,0.41199999999999903
66,79,79,27.96,29.825,p,s,1.8649999999999984
69,84,84,29.825,30.08,s,p,0.254999999999999
70,85,85,30.08,32.55,p,s,2.469999999999999
77,98,98,32.55,33.718,s,p,1.1680000000000064
78,99,99,33.718,34.08,p,s,0.36199999999999477
80,102,102,34.08,34.472,s,p,0.392000000000003
81,103,103,34.472,34.647,p,s,0.17499999999999716
82,104,104,34.647,35.028,s,p,0.3810000000000002
83,105,105,35.028,35.165,p,s,0.13700000000000045
84,106,106,35.165,35.667,s,p,0.5020000000000024
85,107,107,35.667,35.881,p,s,0.21399999999999864
86,108,108,35.881,36.42,s,p,0.5390000000000015
87,109,109,36.42,37.419,p,s,0.9989999999999952
89,112,112,37.419,37.757,s,p,0.33800000000000097
90,113,113,37.757,37.918,p,s,0.16100000000000136
91,114,114,37.918,38.338,s,p,0.4200000000000017
92,115,115,38.338,38.739,p,s,0.40099999999999625
94,118,118,38.739,39.31,s,p,0.5710000000000051
95,119,119,39.31,39.703,p,s,0.3930000000000007
97,122,122,39.703,41.198,s,p,1.4949999999999974
98,123,123,41.198,41.366,p,s,0.16799999999999926
99,124,124,41.366,42.237,s,p,0.8710000000000022
100,125,125,42.237,42.662,p,s,0.42499999999999716
102,128,128,42.662,42.792,s,p,0.13000000000000256
103,129,129,42.792,43.084,p,s,0.2920000000000016
104,130,130,43.084,43.325,s,p,0.24099999999999966
105,131,131,43.325,43.954,p,s,0.6289999999999978
108,136,136,43.954,44.056,s,p,0.10199999999999676
109,137,137,44.056,44.916,p,s,0.8599999999999994
112,142,142,44.916,45.043,s,p,0.12700000000000244
113,143,143,45.043,45.371,p,s,0.32800000000000296
115,146,146,45.371,45.913,s,p,0.5419999999999945
116,147,147,45.913,46.924,p,s,1.0110000000000028
118,150,150,46.924,47.528999999999996,s,p,0.6049999999999969
119,151,151,47.528999999999996,47.593,p,s,0.06400000000000716
120,152,152,47.593,48.0,s,p,0.4069999999999965
121,153,153,48.0,48.437,p,s,0.4369999999999976
122,154,154,48.437,48.659,s,p,0.2220000000000013
123,155,155,48.659,48.765,p,s,0.10600000000000165
124,156,156,48.765,49.428,s,p,0.6629999999999967
125,157,157,49.428,49.491,p,s,0.06300000000000239
126,158,158,49.491,49.83,s,p,0.33899999999999864
127,159,159,49.83,49.936,p,s,0.10600000000000165
128,160,160,49.936,51.332,s,p,1.3960000000000008
129,161,161,51.332,52.816,p,s,1.4840000000000018
132,166,166,52.816,55.682,s,p,2.8659999999999997
133,167,167,55.682,55.767,p,s,0.08500000000000085
134,168,168,55.767,57.322,s,p,1.5549999999999997
135,169,169,57.322,57.643,p,s,0.32099999999999795
137,172,172,57.643,58.04,s,p,0.39699999999999847
138,173,173,58.04,60.643,p,s,2.6030000000000015
144,184,184,60.643,61.761,s,p,1.118000000000002
145,185,185,61.761,62.274,p,s,0.5129999999999981
146,186,186,62.274,62.723,s,p,0.44899999999999807
147,187,187,62.723,62.845,p,s,0.12199999999999989
148,188,188,62.845,64.183,s,p,1.338000000000008
149,189,189,64.183,64.25,p,s,0.06699999999999307
150,190,190,64.25,64.951,s,p,0.7009999999999934
151,191,191,64.951,65.141,p,s,0.19000000000001194
152,192,192,65.141,65.488,s,p,0.3469999999999942
153,193,193,65.488,65.675,p,s,0.1869999999999976
155,196,196,65.675,66.0,s,p,0.32500000000000284
156,197,197,66.0,67.213,p,s,1.2129999999999939
159,204,204,67.213,67.771,s,p,0.5580000000000069
160,205,205,67.771,69.074,p,s,1.3029999999999973
163,212,212,69.192,73.781,s,p,4.589000000000013
164,213,213,73.781,74.003,p,s,0.2219999999999942
165,214,214,74.003,74.107,s,p,0.1039999999999992
166,215,215,74.107,74.995,p,s,0.8880000000000052
168,218,218,74.995,75.249,s,p,0.2539999999999907
169,219,219,75.249,75.39,p,s,0.14100000000000534
170,220,220,75.39,75.736,s,p,0.34600000000000364
171,221,221,75.736,75.94,p,s,0.20399999999999352
172,222,222,75.94,76.501,s,p,0.561000000000007
173,223,223,76.501,76.612,p,s,0.11099999999999
174,224,224,76.612,77.197,s,p,0.585000000000008
175,225,225,77.197,77.577,p,s,0.37999999999999545
177,228,228,77.577,80.004,s,p,2.4270000000000067
178,229,229,80.004,81.235,p,s,1.2309999999999945
180,232,232,81.235,82.01,s,p,0.7750000000000057
181,233,233,82.01,82.137,p,s,0.12699999999999534
182,234,234,82.137,82.429,s,p,0.2920000000000016
183,235,235,82.429,82.57,p,s,0.14099999999999113
184,236,236,82.57,82.823,s,p,0.2530000000000001
185,237,237,82.823,82.908,p,s,0.08500000000000796
186,238,238,82.908,84.44,s,p,1.5319999999999965
187,239,239,84.44,84.524,p,s,0.08400000000000318
188,240,240,84.524,85.795,s,p,1.2710000000000008
189,241,241,85.795,86.208,p,s,0.4129999999999967
190,242,242,86.208,87.668,s,p,1.460000000000008
191,243,243,87.668,88.143,p,s,0.4749999999999943
192,244,244,88.143,88.412,s,p,0.26900000000000546
193,245,245,88.412,88.763,p,s,0.3509999999999991
194,246,246,88.763,89.833,s,p,1.0699999999999932
195,247,247,89.833,89.983,p,s,0.15000000000000568
196,248,248,89.983,90.87,s,p,0.8870000000000005
197,249,249,90.87,90.952,p,s,0.08199999999999363
198,250,250,90.952,91.329,s,p,0.37699999999999534
199,251,251,91.329,91.392,p,s,0.06300000000000239
200,252,252,91.392,92.377,s,p,0.9849999999999994
201,253,253,92.377,92.735,p,s,0.3580000000000041
202,254,254,92.735,94.389,s,p,1.6539999999999964
203,255,255,94.389,95.602,p,s,1.213000000000008
204,256,256,95.602,96.406,s,p,0.804000000000002
205,257,257,96.406,100.815,p,s,4.408999999999992
209,264,264,100.815,102.279,s,p,1.4639999999999986
210,265,265,102.279,102.866,p,s,0.5870000000000033
211,266,266,102.866,102.988,s,p,0.12199999999999989
212,267,267,102.988,103.096,p,s,0.10800000000000409
213,268,268,103.096,103.474,s,p,0.3780000000000001
