,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,5.223,s,,5.223
1,1,1,5.223,5.324,p,s,0.10099999999999998
2,2,2,5.324,5.773,s,p,0.44899999999999984
3,3,3,5.773,5.837,p,s,0.06400000000000006
4,4,4,5.837,6.99,s,p,1.1530000000000005
5,5,5,6.99,7.066,p,s,0.07599999999999962
6,6,6,7.066,7.176,s,p,0.11000000000000032
7,7,7,7.176,7.325,p,s,0.14900000000000002
8,8,8,7.325,8.416,s,p,1.0910000000000002
9,9,9,8.416,9.065,p,s,0.6489999999999991
10,10,10,9.065,12.721,s,p,3.6560000000000006
11,11,11,12.721,12.787,p,s,0.06600000000000072
12,12,12,12.787,13.282,s,p,0.4949999999999992
13,13,13,13.282,13.353,p,s,0.07099999999999973
14,14,14,13.353,13.467,s,p,0.11400000000000077
15,15,15,13.467,13.86,p,s,0.3929999999999989
16,16,16,13.86,15.0,s,p,1.1400000000000006
17,17,17,15.0,15.155,p,s,0.15499999999999936
18,18,18,15.155,17.778,s,p,2.6229999999999993
19,19,19,17.778,18.781,p,s,1.0030000000000001
20,20,20,18.781,20.729,s,p,1.9480000000000004
21,21,21,20.729,20.83,p,s,0.10099999999999909
22,22,22,20.83,22.335,s,p,1.5050000000000026
23,23,23,22.335,22.533,p,s,0.1980000000000004
24,24,24,22.533,31.414,s,p,8.881
25,25,25,31.414,31.931,p,s,0.5169999999999995
26,26,26,31.931,34.964,s,p,3.0329999999999977
27,27,27,34.964,35.195,p,s,0.23100000000000165
29,30,30,35.195,36.913,s,p,1.7179999999999964
30,31,31,36.913,37.006,p,s,0.09300000000000352
31,32,32,37.006,39.897,s,p,2.8909999999999982
32,33,33,39.897,39.985,p,s,0.08800000000000097
33,34,34,39.985,41.157,s,p,1.171999999999997
34,35,35,41.157,41.635,p,s,0.47800000000000153
35,36,36,41.635,42.392,s,p,0.757000000000005
36,37,37,42.392,42.525,p,s,0.13299999999999557
37,38,38,42.525,43.093,s,p,0.568000000000005
38,39,39,43.093,43.156,p,s,0.06299999999999528
39,40,40,43.156,44.116,s,p,0.9600000000000009
40,41,41,44.116,44.758,p,s,0.642000000000003
42,44,44,44.758,51.279,s,p,6.521000000000001
43,45,45,51.279,51.448,p,s,0.16899999999999693
44,46,46,51.448,52.918,s,p,1.4699999999999989
45,47,47,52.918,53.037,p,s,0.11899999999999977
46,48,48,53.037,53.44,s,p,0.4029999999999987
47,49,49,53.44,53.668,p,s,0.22800000000000153
48,50,50,53.668,57.918,s,p,4.25
49,51,51,57.918,57.991,p,s,0.0730000000000004
50,52,52,57.991,59.297,s,p,1.3059999999999974
51,53,53,59.297,59.448,p,s,0.15100000000000335
52,54,54,59.448,60.063,s,p,0.615000000000002
53,55,55,60.063,60.469,p,s,0.4059999999999988
54,56,56,60.469,63.396,s,p,2.9269999999999996
55,57,57,63.396,64.171,p,s,0.7750000000000057
56,58,58,64.171,65.061,s,p,0.8900000000000006
57,59,59,65.061,65.143,p,s,0.08199999999999363
58,60,60,65.143,65.564,s,p,0.42099999999999227
59,61,61,65.564,65.619,p,s,0.05500000000000682
60,62,62,65.619,66.372,s,p,0.7530000000000001
61,63,63,66.372,66.876,p,s,0.5040000000000049
62,64,64,66.876,68.208,s,p,1.3319999999999936
63,65,65,68.208,68.334,p,s,0.12600000000000477
64,66,66,68.334,72.007,s,p,3.673000000000002
66,69,69,72.007,72.081,p,s,0.07399999999999807
67,70,70,72.081,73.653,s,p,1.5720000000000027
68,71,71,73.653,73.715,p,s,0.06199999999999761
69,72,72,73.715,74.084,s,p,0.3689999999999998
70,73,73,74.084,74.405,p,s,0.32099999999999795
72,76,76,74.405,76.217,s,p,1.8119999999999976
73,77,77,76.217,76.815,p,s,0.597999999999999
74,78,78,76.815,78.215,s,p,1.4000000000000057
75,79,79,78.215,78.694,p,s,0.4789999999999992
76,80,80,78.694,80.371,s,p,1.6769999999999925
77,81,81,80.371,80.429,p,s,0.058000000000006935
78,82,82,80.429,81.44,s,p,1.0109999999999957
79,83,83,81.44,81.514,p,s,0.07399999999999807
80,84,84,81.514,82.657,s,p,1.1430000000000007
81,85,85,82.657,83.032,p,s,0.375
83,88,88,83.032,83.242,s,p,0.21000000000000796
84,89,89,83.242,83.532,p,s,0.28999999999999204
85,90,90,83.532,86.914,s,p,3.382000000000005
86,91,91,86.914,87.225,p,s,0.31099999999999284
87,92,92,87.225,89.389,s,p,2.1640000000000015
88,93,93,89.389,89.454,p,s,0.06499999999999773
89,94,94,89.454,89.791,s,p,0.3370000000000033
90,95,95,89.791,89.843,p,s,0.05200000000000671
91,96,96,89.843,91.631,s,p,1.7879999999999967
92,97,97,91.631,91.708,p,s,0.07699999999999818
93,98,98,91.708,92.339,s,p,0.6310000000000002
94,99,99,92.339,92.8,p,s,0.4609999999999985
95,100,100,92.8,93.161,s,p,0.3610000000000042
96,101,101,93.161,93.212,p,s,0.05100000000000193
97,102,102,93.212,96.641,s,p,3.429000000000002
