,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.686,s,,1.686
1,1,1,1.686,1.961,p,s,0.27500000000000013
2,2,2,1.961,2.685,s,p,0.724
3,3,3,2.685,2.757,p,s,0.07200000000000006
4,4,4,2.757,2.857,s,p,0.10000000000000009
5,5,5,2.857,2.948,p,s,0.09099999999999975
6,6,6,2.948,5.882,s,p,2.9339999999999997
7,7,7,5.882,5.934,p,s,0.05200000000000049
8,8,8,5.934,6.726,s,p,0.7919999999999998
9,9,9,6.726,7.2989999999999995,p,s,0.5729999999999995
10,10,10,7.2989999999999995,8.324,s,p,1.0250000000000004
11,11,11,8.324,8.938,p,s,0.6140000000000008
15,18,18,8.938,9.664,s,p,0.7259999999999991
16,19,19,9.664,9.86,p,s,0.19599999999999973
17,20,20,9.86,12.713,s,p,2.8529999999999998
18,21,21,12.713,13.326,p,s,0.6130000000000013
19,22,22,13.326,14.398,s,p,1.0719999999999992
20,23,23,14.398,14.756,p,s,0.35800000000000054
21,24,24,14.756,15.373,s,p,0.6169999999999991
22,25,25,15.373,15.587,p,s,0.2140000000000004
23,26,26,15.587,16.79,s,p,1.2029999999999994
24,27,27,16.79,17.833,p,s,1.0429999999999993
25,28,28,17.833,19.145,s,p,1.3120000000000012
26,29,29,19.145,19.208,p,s,0.06299999999999883
27,30,30,19.208,19.516,s,p,0.30799999999999983
28,31,31,19.516,19.674,p,s,0.15800000000000125
29,32,32,19.674,21.287,s,p,1.6129999999999995
30,33,33,21.287,21.712,p,s,0.4250000000000007
32,36,36,21.712,22.122,s,p,0.41000000000000014
33,37,37,22.122,22.439,p,s,0.31700000000000017
34,38,38,22.439,24.721,s,p,2.282
35,39,39,24.721,24.846,p,s,0.125
36,40,40,24.846,25.637999999999998,s,p,0.791999999999998
37,41,41,25.637999999999998,26.134,p,s,0.4960000000000022
39,44,44,26.134,27.725,s,p,1.591000000000001
40,45,45,27.725,27.778,p,s,0.05299999999999727
41,46,46,27.778,30.68,s,p,2.902000000000001
42,47,47,30.68,31.23,p,s,0.5500000000000007
43,48,48,31.23,32.319,s,p,1.0890000000000022
44,49,49,32.319,32.373,p,s,0.05399999999999494
45,50,50,32.373,33.304,s,p,0.9310000000000045
46,51,51,33.304,33.465,p,s,0.16100000000000136
47,52,52,33.465,34.263,s,p,0.7979999999999947
48,53,53,34.263,34.353,p,s,0.09000000000000341
49,54,54,34.353,34.721000000000004,s,p,0.3680000000000021
50,55,55,34.721000000000004,35.191,p,s,0.46999999999999886
51,56,56,35.191,35.33,s,p,0.1389999999999958
52,57,57,35.33,35.567,p,s,0.23700000000000188
53,58,58,35.567,37.354,s,p,1.786999999999999
54,59,59,37.354,37.467,p,s,0.11299999999999955
55,60,60,37.467,38.786,s,p,1.3190000000000026
56,61,61,38.786,38.849000000000004,p,s,0.06300000000000239
57,62,62,38.849000000000004,39.084,s,p,0.23499999999999943
58,63,63,39.084,39.358,p,s,0.2739999999999938
59,64,64,39.358,40.084,s,p,0.7260000000000062
60,65,65,40.084,40.405,p,s,0.32099999999999795
61,66,66,40.405,42.049,s,p,1.6439999999999984
62,67,67,42.049,42.589,p,s,0.5399999999999991
63,68,68,42.589,42.711,s,p,0.12199999999999989
64,69,69,42.711,43.054,p,s,0.3430000000000035
65,70,70,43.054,45.0,s,p,1.945999999999998
66,71,71,45.0,45.24,p,s,0.240000000000002
67,72,72,45.24,46.694,s,p,1.4540000000000006
68,73,73,46.694,46.764,p,s,0.07000000000000028
69,74,74,46.764,47.161,s,p,0.39699999999999847
70,75,75,47.161,47.255,p,s,0.0940000000000012
71,76,76,47.255,50.557,s,p,3.3019999999999996
72,77,77,50.557,51.11,p,s,0.5529999999999973
73,78,78,51.11,52.446,s,p,1.3359999999999985
74,79,79,52.446,52.704,p,s,0.25800000000000267
75,80,80,52.704,52.887,s,p,0.18299999999999983
76,81,81,52.887,53.05,p,s,0.1629999999999967
77,82,82,53.05,53.177,s,p,0.12700000000000244
78,83,83,53.177,53.379,p,s,0.20199999999999818
79,84,84,53.379,55.711,s,p,2.3320000000000007
80,85,85,55.711,55.774,p,s,0.06300000000000239
81,86,86,55.774,56.42,s,p,0.6460000000000008
82,87,87,56.42,56.657,p,s,0.23699999999999477
84,90,90,56.657,57.131,s,p,0.47400000000000375
85,91,91,57.131,57.55,p,s,0.41899999999999693
87,94,94,57.55,60.111,s,p,2.561
88,95,95,60.111,60.593,p,s,0.4820000000000064
89,96,96,60.593,60.84,s,p,0.2469999999999999
90,97,97,60.84,60.983,p,s,0.14299999999999358
91,98,98,60.983,61.6,s,p,0.6170000000000044
92,99,99,61.6,61.763,p,s,0.1629999999999967
