,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,0.94,s,,0.94
1,1,1,0.94,1.083,p,s,0.14300000000000002
2,2,2,1.083,2.075,s,p,0.9920000000000002
3,3,3,2.075,2.224,p,s,0.14900000000000002
4,4,4,2.224,2.549,s,p,0.32499999999999973
5,5,5,2.549,2.627,p,s,0.07799999999999985
6,6,6,2.627,3.936,s,p,1.3090000000000002
7,7,7,3.936,3.992,p,s,0.05600000000000005
8,8,8,3.992,4.304,s,p,0.3120000000000003
9,9,9,4.304,4.444,p,s,0.13999999999999968
10,10,10,4.444,5.25,s,p,0.806
11,11,11,5.25,5.936,p,s,0.6859999999999999
13,14,14,5.936,10.108,s,p,4.172000000000001
14,15,15,10.108,10.544,p,s,0.43599999999999994
15,16,16,10.544,10.737,s,p,0.19299999999999962
16,17,17,10.737,10.855,p,s,0.11800000000000033
17,18,18,10.855,12.469,s,p,1.613999999999999
18,19,19,12.469,13.095,p,s,0.6260000000000012
19,20,20,13.095,16.501,s,p,3.4060000000000006
20,21,21,16.501,16.853,p,s,0.3520000000000003
21,22,22,16.853,17.161,s,p,0.30799999999999983
22,23,23,17.161,17.213,p,s,0.0519999999999996
23,24,24,17.213,18.806,s,p,1.593
24,25,25,18.806,19.034,p,s,0.22799999999999798
25,26,26,19.034,20.238,s,p,1.2040000000000006
26,27,27,20.238,20.625,p,s,0.38700000000000045
27,28,28,20.625,22.625,s,p,2.0
28,29,29,22.625,22.86,p,s,0.23499999999999943
29,30,30,22.86,24.113,s,p,1.2530000000000001
30,31,31,24.113,24.165,p,s,0.0519999999999996
31,32,32,24.165,27.822,s,p,3.657
32,33,33,27.822,27.986,p,s,0.16400000000000148
33,34,34,27.986,29.054,s,p,1.0679999999999978
34,35,35,29.054,29.471,p,s,0.4170000000000016
35,36,36,29.471,31.107,s,p,1.6359999999999992
36,37,37,31.107,31.444,p,s,0.33699999999999974
37,38,38,31.444,32.772,s,p,1.3279999999999994
38,39,39,32.772,33.227,p,s,0.4549999999999983
39,40,40,33.227,34.943,s,p,1.716000000000001
40,41,41,34.943,35.565,p,s,0.6219999999999999
41,42,42,35.565,36.558,s,p,0.9930000000000021
42,43,43,36.558,36.634,p,s,0.07600000000000051
43,44,44,36.634,39.187,s,p,2.5529999999999973
44,45,45,39.187,39.33,p,s,0.14300000000000068
45,46,46,39.33,39.609,s,p,0.27900000000000347
46,47,47,39.609,39.858,p,s,0.24899999999999523
47,48,48,39.858,43.384,s,p,3.5260000000000034
48,49,49,43.384,44.221000000000004,p,s,0.8370000000000033
49,50,50,44.221000000000004,49.11,s,p,4.888999999999996
50,51,51,49.11,49.169,p,s,0.0589999999999975
51,52,52,49.169,49.78,s,p,0.6110000000000042
52,53,53,49.78,50.562,p,s,0.7819999999999965
54,56,56,50.562,51.149,s,p,0.5870000000000033
55,57,57,51.149,51.222,p,s,0.0730000000000004
56,58,58,51.222,52.246,s,p,1.024000000000001
57,59,59,52.246,53.07,p,s,0.8239999999999981
58,60,60,53.07,55.85,s,p,2.780000000000001
59,61,61,55.85,56.054,p,s,0.20400000000000063
60,62,62,56.054,59.285,s,p,3.2309999999999945
61,63,63,59.285,60.111,p,s,0.8260000000000005
62,64,64,60.111,62.755,s,p,2.6440000000000055
63,65,65,62.755,63.0,p,s,0.24499999999999744
64,66,66,63.0,64.197,s,p,1.1970000000000027
65,67,67,64.197,65.105,p,s,0.9080000000000013
66,68,68,65.105,68.543,s,p,3.4380000000000024
68,71,71,68.543,69.217,p,s,0.6739999999999924
70,74,74,69.217,70.439,s,p,1.2219999999999942
71,75,75,70.439,70.514,p,s,0.07500000000000284
72,76,76,70.514,72.742,s,p,2.2280000000000086
73,77,77,72.742,72.832,p,s,0.0899999999999892
74,78,78,72.832,75.093,s,p,2.26100000000001
