,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.485,s,,2.485
1,1,1,2.485,2.938,p,s,0.4530000000000003
2,2,2,2.938,5.443,s,p,2.5049999999999994
4,5,5,5.443,5.65,p,s,0.20700000000000074
5,6,6,5.65,7.345,s,p,1.6949999999999994
6,7,7,7.345,7.97,p,s,0.625
7,8,8,7.97,9.055,s,p,1.085
8,9,9,9.055,10.327,p,s,1.2720000000000002
9,10,10,10.327,14.522,s,p,4.195
10,11,11,14.522,16.198,p,s,1.6760000000000002
12,14,14,16.198,17.301000000000002,s,p,1.1030000000000015
13,15,15,17.301000000000002,17.438,p,s,0.1369999999999969
14,16,16,17.438,19.313,s,p,1.875
15,17,17,19.313,19.762,p,s,0.4490000000000016
16,18,18,19.762,21.406,s,p,1.6439999999999984
17,19,19,21.406,21.498,p,s,0.0920000000000023
18,20,20,21.498,21.948,s,p,0.4499999999999993
19,21,21,21.948,22.372,p,s,0.4239999999999995
20,22,22,22.372,22.77,s,p,0.3979999999999997
21,23,23,22.77,22.96,p,s,0.19000000000000128
22,24,24,22.96,23.354,s,p,0.39399999999999835
23,25,25,23.354,23.431,p,s,0.07700000000000173
24,26,26,23.431,23.657,s,p,0.2259999999999991
25,27,27,23.657,24.162,p,s,0.504999999999999
26,28,28,24.162,24.423,s,p,0.26099999999999923
27,29,29,24.423,24.555,p,s,0.13200000000000145
28,30,30,24.555,26.63,s,p,2.0749999999999993
29,31,31,26.63,26.826999999999998,p,s,0.19699999999999918
30,32,32,26.826999999999998,28.076,s,p,1.2490000000000023
31,33,33,28.076,28.597,p,s,0.5210000000000008
32,34,34,28.597,29.393,s,p,0.7959999999999994
33,35,35,29.393,29.454,p,s,0.06099999999999994
34,36,36,29.454,30.29,s,p,0.8359999999999985
35,37,37,30.29,30.378,p,s,0.08800000000000097
36,38,38,30.378,30.888,s,p,0.5100000000000016
37,39,39,30.888,31.124,p,s,0.2359999999999971
38,40,40,31.124,32.31,s,p,1.1860000000000035
39,41,41,32.31,32.477,p,s,0.1669999999999945
40,42,42,32.477,33.305,s,p,0.828000000000003
41,43,43,33.305,33.377,p,s,0.07200000000000273
42,44,44,33.377,35.177,s,p,1.7999999999999972
43,45,45,35.177,35.592,p,s,0.41499999999999915
44,46,46,35.592,36.441,s,p,0.8490000000000038
45,47,47,36.441,36.895,p,s,0.4540000000000006
46,48,48,36.895,39.028,s,p,2.1329999999999956
47,49,49,39.028,39.115,p,s,0.0870000000000033
48,50,50,39.115,40.379,s,p,1.2639999999999958
49,51,51,40.379,40.807,p,s,0.4280000000000044
50,52,52,40.807,41.407,s,p,0.5999999999999943
51,53,53,41.407,41.461,p,s,0.054000000000002046
52,54,54,41.461,42.55,s,p,1.0889999999999986
53,55,55,42.55,42.625,p,s,0.07500000000000284
54,56,56,42.625,43.44,s,p,0.8149999999999977
55,57,57,43.44,43.495,p,s,0.054999999999999716
56,58,58,43.495,44.291,s,p,0.7959999999999994
57,59,59,44.291,45.0,p,s,0.7090000000000032
59,62,62,45.0,46.966,s,p,1.966000000000001
60,63,63,46.966,47.824,p,s,0.857999999999997
61,64,64,47.824,49.848,s,p,2.024000000000001
62,65,65,49.848,50.302,p,s,0.4540000000000006
63,66,66,50.302,51.595,s,p,1.2929999999999993
64,67,67,51.595,51.722,p,s,0.12700000000000244
65,68,68,51.722,52.254,s,p,0.5319999999999965
66,69,69,52.254,52.308,p,s,0.054000000000002046
67,70,70,52.308,53.286,s,p,0.9780000000000015
68,71,71,53.286,53.482,p,s,0.19599999999999795
69,72,72,53.482,55.291,s,p,1.8089999999999975
70,73,73,55.291,55.85,p,s,0.5590000000000046
71,74,74,55.85,56.565,s,p,0.7149999999999963
72,75,75,56.565,56.978,p,s,0.4130000000000038
73,76,76,56.978,58.663,s,p,1.6849999999999952
74,77,77,58.663,59.411,p,s,0.7480000000000047
75,78,78,59.411,60.205,s,p,0.7939999999999969
76,79,79,60.205,60.428,p,s,0.22299999999999898
77,80,80,60.428,61.842,s,p,1.4140000000000015
78,81,81,61.842,61.91,p,s,0.06799999999999784
79,82,82,61.91,63.693,s,p,1.7830000000000013
