,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.37,s,,1.37
1,1,1,1.37,1.468,p,s,0.09799999999999986
2,2,2,1.468,3.38,s,p,1.912
3,3,3,3.38,3.453,p,s,0.07299999999999995
4,4,4,3.453,3.6870000000000003,s,p,0.23400000000000043
5,5,5,3.6870000000000003,3.773,p,s,0.08599999999999985
6,6,6,3.773,4.641,s,p,0.8679999999999999
7,7,7,4.641,4.953,p,s,0.3120000000000003
8,8,8,4.953,5.656000000000001,s,p,0.7030000000000003
9,9,9,5.656000000000001,6.41,p,s,0.7539999999999996
10,10,10,6.41,8.919,s,p,2.5090000000000003
11,11,11,8.919,9.595,p,s,0.6760000000000002
12,12,12,9.595,10.306000000000001,s,p,0.7110000000000003
13,13,13,10.306000000000001,10.785,p,s,0.4789999999999992
14,14,14,10.785,11.903,s,p,1.1180000000000003
15,15,15,11.903,12.534,p,s,0.6310000000000002
16,16,16,12.534,12.955,s,p,0.4209999999999994
17,17,17,12.955,13.376,p,s,0.4209999999999994
18,18,18,13.376,15.065,s,p,1.689
19,19,19,15.065,15.17,p,s,0.10500000000000043
20,20,20,15.17,15.92,s,p,0.75
21,21,21,15.92,16.256,p,s,0.3360000000000003
22,22,22,16.256,19.236,s,p,2.9800000000000004
23,23,23,19.236,19.386,p,s,0.14999999999999858
24,24,24,19.386,20.226,s,p,0.8399999999999999
25,25,25,20.226,20.461,p,s,0.23499999999999943
26,26,26,20.461,23.837,s,p,3.3760000000000012
27,27,27,23.837,23.925,p,s,0.08800000000000097
28,28,28,23.925,24.043,s,p,0.11799999999999855
29,29,29,24.043,24.215,p,s,0.1720000000000006
30,30,30,24.215,25.248,s,p,1.0330000000000013
31,31,31,25.248,25.326999999999998,p,s,0.07899999999999707
32,32,32,25.326999999999998,25.699,s,p,0.37200000000000344
33,33,33,25.699,26.087,p,s,0.3879999999999981
34,34,34,26.087,27.323,s,p,1.2360000000000007
35,35,35,27.323,27.376,p,s,0.053000000000000824
36,36,36,27.376,27.861,s,p,0.48499999999999943
37,37,37,27.861,27.929,p,s,0.06799999999999784
38,38,38,27.929,28.25,s,p,0.3210000000000015
39,39,39,28.25,28.398,p,s,0.1479999999999997
40,40,40,28.398,28.612000000000002,s,p,0.2140000000000022
41,41,41,28.612000000000002,29.123,p,s,0.5109999999999992
42,42,42,29.123,29.944,s,p,0.820999999999998
43,43,43,29.944,30.0,p,s,0.05600000000000094
44,44,44,30.0,30.705,s,p,0.7049999999999983
45,45,45,30.705,31.537,p,s,0.8320000000000007
46,46,46,31.537,33.658,s,p,2.121000000000002
47,47,47,33.658,33.75,p,s,0.09199999999999875
48,48,48,33.75,34.327,s,p,0.5769999999999982
49,49,49,34.327,34.848,p,s,0.5210000000000008
51,52,52,34.848,36.919,s,p,2.070999999999998
52,53,53,36.919,37.528,p,s,0.6090000000000018
53,54,54,37.528,38.52,s,p,0.9920000000000044
54,55,55,38.52,39.465,p,s,0.9450000000000003
55,56,56,39.465,41.745,s,p,2.279999999999994
56,57,57,41.745,41.928,p,s,0.18299999999999983
57,58,58,41.928,42.269,s,p,0.3410000000000011
58,59,59,42.269,42.632,p,s,0.36299999999999955
59,60,60,42.632,44.251,s,p,1.6189999999999998
60,61,61,44.251,44.311,p,s,0.060000000000002274
61,62,62,44.311,45.0,s,p,0.6890000000000001
62,63,63,45.0,45.532,p,s,0.5319999999999965
63,64,64,45.532,46.12,s,p,0.588000000000001
64,65,65,46.12,46.559,p,s,0.43900000000000006
65,66,66,46.559,47.389,s,p,0.8300000000000054
66,67,67,47.389,47.982,p,s,0.5929999999999964
67,68,68,47.982,50.389,s,p,2.4070000000000036
68,69,69,50.389,50.74,p,s,0.3509999999999991
69,70,70,50.74,52.747,s,p,2.006999999999998
70,71,71,52.747,52.848,p,s,0.10099999999999909
71,72,72,52.848,53.207,s,p,0.35900000000000176
72,73,73,53.207,54.225,p,s,1.0180000000000007
73,74,74,54.225,55.017,s,p,0.7920000000000016
74,75,75,55.017,55.487,p,s,0.46999999999999886
75,76,76,55.487,56.047,s,p,0.5599999999999952
76,77,77,56.047,56.131,p,s,0.08400000000000318
77,78,78,56.131,56.647,s,p,0.5159999999999982
78,79,79,56.647,56.719,p,s,0.07200000000000273
79,80,80,56.719,58.906,s,p,2.1869999999999976
80,81,81,58.906,59.035,p,s,0.12899999999999778
81,82,82,59.035,59.343,s,p,0.30800000000000693
82,83,83,59.343,60.096,p,s,0.752999999999993
83,84,84,60.096,60.801,s,p,0.7050000000000054
84,85,85,60.801,61.012,p,s,0.21099999999999852
85,86,86,61.012,63.575,s,p,2.5630000000000024
86,87,87,63.575,64.131,p,s,0.5559999999999974
87,88,88,64.131,66.813,s,p,2.682000000000002
88,89,89,66.813,66.936,p,s,0.12300000000000466
89,90,90,66.936,67.559,s,p,0.6229999999999905
90,91,91,67.559,67.812,p,s,0.2530000000000001
91,92,92,67.812,68.924,s,p,1.112000000000009
92,93,93,68.924,69.0,p,s,0.0759999999999934
93,94,94,69.0,70.427,s,p,1.4270000000000067
