,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.259,s,,1.259
1,1,1,1.259,1.392,p,s,0.133
2,2,2,1.392,1.819,s,p,0.42700000000000005
3,3,3,1.819,2.527,p,s,0.7080000000000002
4,4,4,2.527,3.298,s,p,0.7709999999999999
5,5,5,3.298,3.793,p,s,0.4950000000000001
6,6,6,3.793,5.24,s,p,1.447
7,7,7,5.24,5.367,p,s,0.12699999999999978
8,8,8,5.367,5.807,s,p,0.4400000000000004
9,9,9,5.807,5.878,p,s,0.07099999999999973
10,10,10,5.878,6.0,s,p,0.12199999999999989
11,11,11,6.0,6.127,p,s,0.12699999999999978
12,12,12,6.127,8.599,s,p,2.4720000000000004
13,13,13,8.599,8.888,p,s,0.2889999999999997
14,14,14,8.888,10.299,s,p,1.4109999999999996
15,15,15,10.299,10.603,p,s,0.30400000000000027
16,16,16,10.603,11.592,s,p,0.9890000000000008
17,17,17,11.592,12.261,p,s,0.6689999999999987
18,18,18,12.261,14.023,s,p,1.7620000000000005
19,19,19,14.023,14.41,p,s,0.38700000000000045
20,20,20,14.41,16.607,s,p,2.196999999999999
21,21,21,16.607,16.835,p,s,0.22800000000000153
22,22,22,16.835,17.927,s,p,1.0919999999999987
23,23,23,17.927,18.542,p,s,0.615000000000002
24,24,24,18.542,19.103,s,p,0.5609999999999999
25,25,25,19.103,19.248,p,s,0.14499999999999957
26,26,26,19.248,20.842,s,p,1.5939999999999976
27,27,27,20.842,21.51,p,s,0.6680000000000028
28,28,28,21.51,22.549,s,p,1.038999999999998
29,29,29,22.549,22.905,p,s,0.35600000000000165
30,30,30,22.905,23.168,s,p,0.2629999999999981
31,31,31,23.168,23.233,p,s,0.06500000000000128
32,32,32,23.233,23.703,s,p,0.46999999999999886
33,33,33,23.703,24.072,p,s,0.3689999999999998
34,34,34,24.072,26.562,s,p,2.490000000000002
35,35,35,26.562,26.632,p,s,0.07000000000000028
36,36,36,26.632,27.238,s,p,0.6059999999999981
37,37,37,27.238,27.924,p,s,0.6859999999999999
38,38,38,27.924,29.353,s,p,1.429000000000002
39,39,39,29.353,29.467,p,s,0.11399999999999721
40,40,40,29.467,30.879,s,p,1.4120000000000026
41,41,41,30.879,31.333,p,s,0.4539999999999971
42,42,42,31.333,31.474,s,p,0.1410000000000018
43,43,43,31.474,31.543,p,s,0.06899999999999906
44,44,44,31.543,33.954,s,p,2.4110000000000014
45,45,45,33.954,34.191,p,s,0.23700000000000188
46,46,46,34.191,36.266,s,p,2.0749999999999957
47,47,47,36.266,36.34,p,s,0.07400000000000517
48,48,48,36.34,37.274,s,p,0.9339999999999975
49,49,49,37.274,37.788,p,s,0.5139999999999958
50,50,50,37.788,38.558,s,p,0.7700000000000031
51,51,51,38.558,38.774,p,s,0.21600000000000108
52,52,52,38.774,40.228,s,p,1.4540000000000006
53,53,53,40.228,40.451,p,s,0.22299999999999898
54,54,54,40.451,42.309,s,p,1.857999999999997
55,55,55,42.309,42.397,p,s,0.08800000000000097
56,56,56,42.397,42.86,s,p,0.46300000000000097
57,57,57,42.86,42.987,p,s,0.12700000000000244
58,58,58,42.987,43.389,s,p,0.402000000000001
59,59,59,43.389,43.482,p,s,0.09299999999999642
60,60,60,43.482,45.063,s,p,1.581000000000003
61,61,61,45.063,45.198,p,s,0.134999999999998
62,62,62,45.198,46.988,s,p,1.7899999999999991
63,63,63,46.988,47.502,p,s,0.5140000000000029
65,66,66,47.502,48.981,s,p,1.4789999999999992
66,67,67,48.981,49.053,p,s,0.07199999999999562
67,68,68,49.053,49.29,s,p,0.23700000000000188
68,69,69,49.29,49.418,p,s,0.1280000000000001
69,70,70,49.418,49.989,s,p,0.570999999999998
70,71,71,49.989,50.911,p,s,0.9220000000000041
71,72,72,50.911,51.549,s,p,0.6379999999999981
72,73,73,51.549,51.668,p,s,0.11899999999999977
73,74,74,51.668,53.068,s,p,1.3999999999999986
74,75,75,53.068,53.271,p,s,0.20300000000000296
75,76,76,53.271,54.268,s,p,0.9969999999999999
76,77,77,54.268,54.572,p,s,0.30400000000000205
77,78,78,54.572,55.38,s,p,0.8079999999999998
78,79,79,55.38,55.622,p,s,0.24199999999999733
79,80,80,55.622,55.837,s,p,0.2150000000000034
80,81,81,55.837,56.785,p,s,0.9479999999999933
81,82,82,56.785,57.504,s,p,0.7190000000000012
82,83,83,57.504,58.303,p,s,0.7989999999999995
