,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.17,s,,2.17
1,1,1,2.17,2.505,p,s,0.33499999999999996
2,2,2,2.505,3.859,s,p,1.354
3,3,3,3.859,3.949,p,s,0.08999999999999986
4,4,4,3.949,6.361,s,p,2.412
5,5,5,6.361,6.433,p,s,0.07200000000000006
6,6,6,6.433,7.372,s,p,0.9390000000000001
7,7,7,7.372,8.008,p,s,0.6359999999999992
9,10,10,8.008,9.125,s,p,1.1170000000000009
10,11,11,9.125,9.19,p,s,0.0649999999999995
11,12,12,9.19,9.327,s,p,0.13700000000000045
12,13,13,9.327,9.429,p,s,0.10200000000000031
13,14,14,9.429,10.4,s,p,0.9710000000000001
14,15,15,10.4,10.481,p,s,0.08099999999999952
15,16,16,10.481,11.593,s,p,1.112
16,17,17,11.593,12.124,p,s,0.5310000000000006
17,18,18,12.124,14.169,s,p,2.045
18,19,19,14.169,14.606,p,s,0.4369999999999994
19,20,20,14.606,15.725,s,p,1.1189999999999998
20,21,21,15.725,16.153,p,s,0.42799999999999905
21,22,22,16.153,16.323,s,p,0.1700000000000017
22,23,23,16.323,16.451,p,s,0.1280000000000001
23,24,24,16.451,18.33,s,p,1.8789999999999978
24,25,25,18.33,19.135,p,s,0.8050000000000033
25,26,26,19.135,23.255,s,p,4.119999999999997
26,27,27,23.255,23.759999999999998,p,s,0.504999999999999
27,28,28,23.759999999999998,25.979,s,p,2.219000000000001
28,29,29,25.979,26.047,p,s,0.06800000000000139
29,30,30,26.047,27.459,s,p,1.411999999999999
30,31,31,27.459,27.509,p,s,0.05000000000000071
31,32,32,27.509,27.908,s,p,0.3990000000000009
32,33,33,27.908,28.049,p,s,0.14099999999999824
33,34,34,28.049,29.06,s,p,1.0109999999999992
34,35,35,29.06,29.261,p,s,0.2010000000000005
35,36,36,29.261,30.818,s,p,1.5570000000000022
36,37,37,30.818,31.312,p,s,0.4939999999999998
37,38,38,31.312,32.816,s,p,1.5040000000000013
38,39,39,32.816,33.342,p,s,0.5259999999999962
40,42,42,33.342,34.15,s,p,0.8079999999999998
41,43,43,34.15,34.212,p,s,0.06200000000000472
42,44,44,34.212,35.004,s,p,0.7919999999999945
43,45,45,35.004,35.273,p,s,0.26900000000000546
44,46,46,35.273,37.825,s,p,2.5519999999999996
45,47,47,37.825,37.925,p,s,0.09999999999999432
46,48,48,37.925,39.0,s,p,1.0750000000000028
47,49,49,39.0,39.477,p,s,0.47699999999999676
48,50,50,39.477,43.481,s,p,4.004000000000005
49,51,51,43.481,44.183,p,s,0.7019999999999982
51,54,54,44.183,45.361,s,p,1.1779999999999973
52,55,55,45.361,45.521,p,s,0.1600000000000037
53,56,56,45.521,46.554,s,p,1.0330000000000013
54,57,57,46.554,47.064,p,s,0.509999999999998
55,58,58,47.064,49.196,s,p,2.131999999999998
56,59,59,49.196,49.736,p,s,0.5399999999999991
57,60,60,49.736,52.423,s,p,2.6870000000000047
58,61,61,52.423,52.612,p,s,0.18900000000000006
59,62,62,52.612,54.769,s,p,2.1569999999999965
60,63,63,54.769,54.93,p,s,0.16100000000000136
61,64,64,54.93,57.777,s,p,2.8470000000000013
62,65,65,57.777,57.907,p,s,0.12999999999999545
63,66,66,57.907,58.625,s,p,0.7180000000000035
64,67,67,58.625,59.416,p,s,0.7909999999999968
65,68,68,59.416,61.197,s,p,1.781000000000006
66,69,69,61.197,61.264,p,s,0.06700000000000017
67,70,70,61.264,66.146,s,p,4.881999999999998
68,71,71,66.146,66.251,p,s,0.10500000000000398
69,72,72,66.251,67.317,s,p,1.0659999999999883
70,73,73,67.317,68.259,p,s,0.9420000000000073
71,74,74,68.259,68.938,s,p,0.679000000000002
72,75,75,68.938,69.0,p,s,0.06199999999999761
73,76,76,69.0,69.192,s,p,0.19199999999999307
74,77,77,69.192,69.398,p,s,0.20600000000000307
75,78,78,69.398,70.636,s,p,1.2379999999999995
76,79,79,70.636,70.891,p,s,0.25500000000000966
77,80,80,70.891,71.037,s,p,0.1460000000000008
78,81,81,71.037,71.28,p,s,0.242999999999995
79,82,82,71.28,74.17,s,p,2.8900000000000006
80,83,83,74.17,74.23,p,s,0.060000000000002274
81,84,84,74.23,74.697,s,p,0.46699999999999875
82,85,85,74.697,75.23,p,s,0.5330000000000013
83,86,86,75.23,78.281,s,p,3.051000000000002
84,87,87,78.281,78.497,p,s,0.21599999999999397
85,88,88,78.497,79.161,s,p,0.6640000000000015
86,89,89,79.161,79.891,p,s,0.730000000000004
88,92,92,79.891,82.267,s,p,2.3759999999999906
89,93,93,82.267,82.711,p,s,0.4440000000000026
90,94,94,82.711,85.056,s,p,2.344999999999999
91,95,95,85.056,85.263,p,s,0.20700000000000784
92,96,96,85.263,86.521,s,p,1.2579999999999956
93,97,97,86.521,87.585,p,s,1.063999999999993
95,100,100,87.585,88.856,s,p,1.2710000000000008
96,101,101,88.856,89.951,p,s,1.0949999999999989
97,102,102,89.951,93.115,s,p,3.1640000000000015
98,103,103,93.115,93.714,p,s,0.5990000000000038
99,104,104,93.714,94.332,s,p,0.617999999999995
100,105,105,94.332,94.391,p,s,0.05900000000001171
101,106,106,94.391,95.143,s,p,0.7519999999999953
102,107,107,95.143,95.326,p,s,0.18299999999999272
103,108,108,95.326,98.127,s,p,2.801000000000002
104,109,109,98.127,98.634,p,s,0.507000000000005
105,110,110,98.634,100.93,s,p,2.2960000000000065
106,111,111,100.93,101.035,p,s,0.10499999999998977
107,112,112,101.035,101.905,s,p,0.8700000000000045
