,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,0.165,s,,0.165
1,1,1,0.165,0.621,p,s,0.45599999999999996
4,6,6,0.621,2.202,s,p,1.581
5,7,7,2.202,2.331,p,s,0.129
6,8,8,2.331,3.42,s,p,1.089
7,9,9,3.42,3.537,p,s,0.11699999999999999
8,10,10,3.537,5.1419999999999995,s,p,1.6049999999999995
9,11,11,5.1419999999999995,5.35,p,s,0.20800000000000018
10,12,12,5.35,6.342,s,p,0.992
11,13,13,6.342,6.6370000000000005,p,s,0.2950000000000008
12,14,14,6.6370000000000005,7.619,s,p,0.9819999999999993
13,15,15,7.619,8.215,p,s,0.5960000000000001
14,16,16,8.215,9.485,s,p,1.2699999999999996
15,17,17,9.485,9.748,p,s,0.2629999999999999
16,18,18,9.748,11.335,s,p,1.5870000000000015
17,19,19,11.335,11.615,p,s,0.27999999999999936
18,20,20,11.615,12.327,s,p,0.7119999999999997
19,21,21,12.327,12.829,p,s,0.5020000000000007
20,22,22,12.829,14.192,s,p,1.3629999999999995
21,23,23,14.192,14.35,p,s,0.15799999999999947
22,24,24,14.35,14.47,s,p,0.120000000000001
23,25,25,14.47,14.615,p,s,0.14499999999999957
24,26,26,14.615,17.062,s,p,2.447000000000001
25,27,27,17.062,17.126,p,s,0.06400000000000006
26,28,28,17.126,17.334,s,p,0.2079999999999984
27,29,29,17.334,17.403,p,s,0.06899999999999906
28,30,30,17.403,17.668,s,p,0.26500000000000057
29,31,31,17.668,17.740000000000002,p,s,0.07200000000000273
30,32,32,17.740000000000002,17.901,s,p,0.1609999999999978
31,33,33,17.901,18.314,p,s,0.41300000000000026
32,34,34,18.314,19.85,s,p,1.5360000000000014
33,35,35,19.85,19.968,p,s,0.11799999999999855
34,36,36,19.968,21.901,s,p,1.9329999999999998
35,37,37,21.901,22.431,p,s,0.5300000000000011
36,38,38,22.431,23.797,s,p,1.3659999999999997
37,39,39,23.797,24.0,p,s,0.2029999999999994
39,42,42,24.0,26.618,s,p,2.6179999999999986
40,43,43,26.618,26.891,p,s,0.2729999999999997
41,44,44,26.891,28.168,s,p,1.277000000000001
42,45,45,28.168,28.237000000000002,p,s,0.06900000000000261
43,46,46,28.237000000000002,28.516,s,p,0.27899999999999636
44,47,47,28.516,28.742,p,s,0.22600000000000264
45,48,48,28.742,31.975,s,p,3.2330000000000005
46,49,49,31.975,32.363,p,s,0.3879999999999981
47,50,50,32.363,35.056,s,p,2.692999999999998
48,51,51,35.056,35.351,p,s,0.2950000000000017
49,52,52,35.351,36.968,s,p,1.6170000000000044
50,53,53,36.968,37.567,p,s,0.5989999999999966
52,56,56,37.567,38.411,s,p,0.8440000000000012
53,57,57,38.411,38.464,p,s,0.05299999999999727
54,58,58,38.464,39.09,s,p,0.6260000000000048
55,59,59,39.09,39.17,p,s,0.0799999999999983
56,60,60,39.17,41.277,s,p,2.1069999999999993
57,61,61,41.277,41.473,p,s,0.19599999999999795
58,62,62,41.473,41.927,s,p,0.4540000000000006
59,63,63,41.927,41.987,p,s,0.060000000000002274
60,64,64,41.987,43.103,s,p,1.1159999999999997
61,65,65,43.103,43.186,p,s,0.08299999999999841
62,66,66,43.186,44.329,s,p,1.1430000000000007
63,67,67,44.329,44.391,p,s,0.06199999999999761
64,68,68,44.391,44.646,s,p,0.25500000000000256
65,69,69,44.646,44.861,p,s,0.2149999999999963
66,70,70,44.861,45.053,s,p,0.19200000000000017
67,71,71,45.053,45.137,p,s,0.08400000000000318
68,72,72,45.137,45.587,s,p,0.45000000000000284
69,73,73,45.587,45.975,p,s,0.3879999999999981
70,74,74,45.975,51.129,s,p,5.153999999999996
71,75,75,51.129,51.588,p,s,0.4590000000000032
72,76,76,51.588,52.236,s,p,0.6479999999999961
73,77,77,52.236,52.441,p,s,0.2050000000000054
74,78,78,52.441,53.118,s,p,0.6769999999999996
75,79,79,53.118,53.184,p,s,0.0659999999999954
76,80,80,53.184,53.403,s,p,0.2190000000000012
77,81,81,53.403,53.662,p,s,0.25900000000000034
78,82,82,53.662,53.799,s,p,0.13700000000000045
79,83,83,53.799,54.0,p,s,0.2010000000000005
80,84,84,54.0,56.627,s,p,2.6270000000000024
81,85,85,56.627,56.882,p,s,0.25499999999999545
82,86,86,56.882,59.298,s,p,2.416000000000004
83,87,87,59.298,59.359,p,s,0.06099999999999994
84,88,88,59.359,59.546,s,p,0.1869999999999976
85,89,89,59.546,59.746,p,s,0.20000000000000284
86,90,90,59.746,60.0,s,p,0.2539999999999978
87,91,91,60.0,60.135,p,s,0.134999999999998
88,92,92,60.135,61.942,s,p,1.8070000000000022
89,93,93,61.942,62.146,p,s,0.20400000000000063
90,94,94,62.146,64.066,s,p,1.9200000000000017
91,95,95,64.066,64.157,p,s,0.09099999999999397
92,96,96,64.157,64.915,s,p,0.7580000000000098
93,97,97,64.915,64.978,p,s,0.06299999999998818
94,98,98,64.978,65.382,s,p,0.4040000000000106
95,99,99,65.382,65.965,p,s,0.5829999999999984
96,100,100,65.965,68.902,s,p,2.9369999999999976
97,101,101,68.902,68.968,p,s,0.0660000000000025
98,102,102,68.968,69.143,s,p,0.17499999999999716
99,103,103,69.143,69.64,p,s,0.4969999999999999
100,104,104,69.64,70.354,s,p,0.7139999999999986
101,105,105,70.354,70.462,p,s,0.10800000000000409
102,106,106,70.462,70.718,s,p,0.2560000000000002
103,107,107,70.718,71.089,p,s,0.3709999999999951
105,110,110,71.089,73.459,s,p,2.3700000000000045
106,111,111,73.459,73.575,p,s,0.11599999999999966
107,112,112,73.575,75.209,s,p,1.6340000000000003
