,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,0.147,s,,0.147
1,1,1,0.147,0.46,p,s,0.31300000000000006
3,4,4,0.46,2.901,s,p,2.441
4,5,5,2.901,3.5,p,s,0.5990000000000002
5,6,6,3.5,4.1259999999999994,s,p,0.6259999999999994
6,7,7,4.1259999999999994,4.27,p,s,0.14400000000000013
7,8,8,4.27,4.447,s,p,0.1770000000000005
8,9,9,4.447,4.506,p,s,0.05900000000000016
9,10,10,4.506,5.287,s,p,0.7809999999999997
10,11,11,5.287,5.3580000000000005,p,s,0.07100000000000062
11,12,12,5.3580000000000005,6.531,s,p,1.1729999999999992
12,13,13,6.531,6.656,p,s,0.125
13,14,14,6.656,7.293,s,p,0.6370000000000005
14,15,15,7.293,8.17,p,s,0.8769999999999998
16,18,18,8.17,9.099,s,p,0.9290000000000003
17,19,19,9.099,9.321,p,s,0.22199999999999953
18,20,20,9.321,9.646,s,p,0.32500000000000107
19,21,21,9.646,9.747,p,s,0.10099999999999909
20,22,22,9.747,11.501999999999999,s,p,1.754999999999999
21,23,23,11.501999999999999,11.676,p,s,0.17400000000000126
22,24,24,11.676,12.232,s,p,0.5559999999999992
23,25,25,12.232,12.3,p,s,0.06800000000000139
24,26,26,12.3,13.379999999999999,s,p,1.0799999999999983
25,27,27,13.379999999999999,13.805,p,s,0.4250000000000007
26,28,28,13.805,14.714,s,p,0.9090000000000007
27,29,29,14.714,15.281,p,s,0.5670000000000002
29,32,32,15.281,16.627,s,p,1.3459999999999983
30,33,33,16.627,16.834,p,s,0.20700000000000074
31,34,34,16.834,17.387999999999998,s,p,0.5539999999999985
32,35,35,17.387999999999998,18.229,p,s,0.8410000000000011
33,36,36,18.229,20.938,s,p,2.7089999999999996
34,37,37,20.938,20.992,p,s,0.054000000000002046
35,38,38,20.992,21.293,s,p,0.3009999999999984
36,39,39,21.293,21.563,p,s,0.2699999999999996
37,40,40,21.563,21.849,s,p,0.28600000000000136
38,41,41,21.849,21.912,p,s,0.06299999999999883
39,42,42,21.912,22.93,s,p,1.0180000000000007
40,43,43,22.93,22.981,p,s,0.05100000000000193
41,44,44,22.981,24.053,s,p,1.0719999999999992
42,45,45,24.053,24.14,p,s,0.08699999999999974
