,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.684,s,,1.684
1,1,1,1.684,1.769,p,s,0.08499999999999996
2,2,2,1.769,2.865,s,p,1.0960000000000003
3,3,3,2.865,3.0,p,s,0.1349999999999998
4,4,4,3.0,3.287,s,p,0.2869999999999999
5,5,5,3.287,3.346,p,s,0.05900000000000016
6,6,6,3.346,3.609,s,p,0.2629999999999999
7,7,7,3.609,3.668,p,s,0.05900000000000016
8,8,8,3.668,4.745,s,p,1.077
9,9,9,4.745,4.8,p,s,0.054999999999999716
10,10,10,4.8,6.628,s,p,1.8280000000000003
11,11,11,6.628,7.26,p,s,0.6319999999999997
12,12,12,7.26,7.989,s,p,0.7290000000000001
13,13,13,7.989,8.065,p,s,0.07599999999999962
14,14,14,8.065,9.676,s,p,1.6110000000000007
15,15,15,9.676,9.878,p,s,0.20199999999999996
16,16,16,9.878,11.111,s,p,1.2330000000000005
17,17,17,11.111,11.568999999999999,p,s,0.4579999999999984
18,18,18,11.568999999999999,12.5,s,p,0.9310000000000009
19,19,19,12.5,12.592,p,s,0.09200000000000053
20,20,20,12.592,12.943999999999999,s,p,0.35199999999999854
21,21,21,12.943999999999999,13.439,p,s,0.495000000000001
22,22,22,13.439,14.278,s,p,0.8390000000000004
23,23,23,14.278,14.338000000000001,p,s,0.0600000000000005
24,24,24,14.338000000000001,15.0,s,p,0.661999999999999
25,25,25,15.0,15.08,p,s,0.08000000000000007
26,26,26,15.08,15.507,s,p,0.4269999999999996
27,27,27,15.507,16.354,p,s,0.8469999999999995
28,28,28,16.354,18.588,s,p,2.2340000000000018
29,29,29,18.588,18.661,p,s,0.0730000000000004
30,30,30,18.661,18.826,s,p,0.16499999999999915
31,31,31,18.826,18.931,p,s,0.10500000000000043
32,32,32,18.931,19.211,s,p,0.2799999999999976
33,33,33,19.211,19.306,p,s,0.09500000000000242
34,34,34,19.306,19.482,s,p,0.17599999999999838
35,35,35,19.482,19.984,p,s,0.5020000000000024
36,36,36,19.984,21.999,s,p,2.014999999999997
37,37,37,21.999,22.063,p,s,0.06400000000000006
38,38,38,22.063,24.584,s,p,2.521000000000001
39,39,39,24.584,24.638,p,s,0.054000000000002046
40,40,40,24.638,24.789,s,p,0.1509999999999998
41,41,41,24.789,24.995,p,s,0.20599999999999952
42,42,42,24.995,26.662,s,p,1.666999999999998
43,43,43,26.662,26.751,p,s,0.08900000000000219
44,44,44,26.751,27.09,s,p,0.33899999999999864
45,45,45,27.09,27.156,p,s,0.06599999999999895
46,46,46,27.156,31.689,s,p,4.533000000000001
47,47,47,31.689,32.145,p,s,0.45600000000000307
48,48,48,32.145,34.73,s,p,2.5849999999999937
49,49,49,34.73,34.783,p,s,0.05300000000000438
50,50,50,34.783,35.405,s,p,0.6219999999999999
51,51,51,35.405,35.909,p,s,0.5039999999999978
52,52,52,35.909,37.763,s,p,1.8539999999999992
53,53,53,37.763,38.642,p,s,0.8790000000000049
54,54,54,38.642,40.411,s,p,1.7689999999999984
55,55,55,40.411,40.521,p,s,0.10999999999999943
56,56,56,40.521,42.096,s,p,1.5749999999999957
57,57,57,42.096,42.195,p,s,0.09900000000000375
58,58,58,42.195,42.533,s,p,0.33800000000000097
59,59,59,42.533,42.761,p,s,0.22800000000000153
61,62,62,42.761,45.763,s,p,3.0019999999999953
62,63,63,45.763,45.959,p,s,0.19600000000000506
63,64,64,45.959,46.308,s,p,0.34899999999999665
64,65,65,46.308,47.118,p,s,0.8100000000000023
65,66,66,47.118,48.785,s,p,1.6669999999999945
66,67,67,48.785,48.871,p,s,0.08600000000000563
67,68,68,48.871,49.095,s,p,0.22399999999999665
68,69,69,49.095,49.149,p,s,0.054000000000002046
69,70,70,49.149,52.601,s,p,3.451999999999998
71,73,73,52.601,52.653,p,s,0.0519999999999996
72,74,74,52.653,53.303,s,p,0.6499999999999986
73,75,75,53.303,54.0,p,s,0.6970000000000027
74,76,76,54.0,54.622,s,p,0.6219999999999999
75,77,77,54.622,54.758,p,s,0.13600000000000279
76,78,78,54.758,55.879,s,p,1.1209999999999951
77,79,79,55.879,56.417,p,s,0.5380000000000038
78,80,80,56.417,60.826,s,p,4.408999999999999
79,81,81,60.826,60.93,p,s,0.1039999999999992
80,82,82,60.93,62.764,s,p,1.8340000000000032
81,83,83,62.764,63.689,p,s,0.9249999999999972
82,84,84,63.689,67.587,s,p,3.8980000000000032
83,85,85,67.587,68.323,p,s,0.73599999999999
84,86,86,68.323,72.037,s,p,3.714000000000013
85,87,87,72.037,72.618,p,s,0.5809999999999889
86,88,88,72.618,73.517,s,p,0.8990000000000009
87,89,89,73.517,73.595,p,s,0.07800000000000296
88,90,90,73.595,73.971,s,p,0.3760000000000048
89,91,91,73.971,74.107,p,s,0.13599999999999568
90,92,92,74.107,74.739,s,p,0.632000000000005
91,93,93,74.739,74.831,p,s,0.09199999999999875
92,94,94,74.831,75.772,s,p,0.9410000000000025
93,95,95,75.772,75.935,p,s,0.1629999999999967
94,96,96,75.935,76.642,s,p,0.7069999999999936
95,97,97,76.642,76.969,p,s,0.3269999999999982
96,98,98,76.969,77.156,s,p,0.18700000000001182
97,99,99,77.156,77.229,p,s,0.07299999999999329
98,100,100,77.229,78.654,s,p,1.4249999999999972
99,101,101,78.654,78.817,p,s,0.1629999999999967
100,102,102,78.817,80.152,s,p,1.335000000000008
101,103,103,80.152,80.31700000000001,p,s,0.16500000000000625
103,106,106,80.31700000000001,80.528,s,p,0.21099999999999852
