,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.09,s,,1.09
1,1,1,1.09,1.141,p,s,0.050999999999999934
2,2,2,1.141,1.953,s,p,0.812
3,3,3,1.953,2.152,p,s,0.19900000000000007
4,4,4,2.152,2.936,s,p,0.7839999999999998
5,5,5,2.936,4.526,p,s,1.5899999999999999
6,6,6,4.526,5.093,s,p,0.5670000000000002
7,7,7,5.093,5.470000000000001,p,s,0.37700000000000067
8,8,8,5.470000000000001,6.675,s,p,1.2049999999999992
9,9,9,6.675,6.755,p,s,0.08000000000000007
10,10,10,6.755,7.595,s,p,0.8399999999999999
11,11,11,7.595,7.6530000000000005,p,s,0.05800000000000072
12,12,12,7.6530000000000005,8.031,s,p,0.3780000000000001
13,13,13,8.031,8.094,p,s,0.06299999999999883
14,14,14,8.094,8.571,s,p,0.4770000000000003
15,15,15,8.571,8.637,p,s,0.06600000000000072
16,16,16,8.637,9.059,s,p,0.4219999999999988
17,17,17,9.059,9.243,p,s,0.18400000000000105
18,18,18,9.243,9.501,s,p,0.2579999999999991
19,19,19,9.501,10.088000000000001,p,s,0.5870000000000015
21,22,22,10.088000000000001,11.732,s,p,1.6439999999999984
22,23,23,11.732,11.836,p,s,0.10400000000000098
23,24,24,11.836,12.738,s,p,0.9019999999999992
24,25,25,12.738,13.228,p,s,0.4900000000000002
25,26,26,13.228,13.884,s,p,0.6560000000000006
26,27,27,13.884,13.96,p,s,0.07600000000000051
27,28,28,13.96,15.07,s,p,1.1099999999999994
28,29,29,15.07,15.205,p,s,0.1349999999999998
29,30,30,15.205,16.282,s,p,1.077
30,31,31,16.282,17.184,p,s,0.902000000000001
31,32,32,17.184,17.646,s,p,0.46199999999999974
32,33,33,17.646,17.915,p,s,0.26899999999999835
33,34,34,17.915,19.044,s,p,1.1290000000000013
34,35,35,19.044,19.993,p,s,0.9489999999999981
35,36,36,19.993,20.439,s,p,0.4460000000000015
36,37,37,20.439,21.522,p,s,1.0829999999999984
37,38,38,21.522,24.017,s,p,2.495000000000001
38,39,39,24.017,24.068,p,s,0.05100000000000193
39,40,40,24.068,24.338,s,p,0.2699999999999996
40,41,41,24.338,24.47,p,s,0.1319999999999979
41,42,42,24.47,24.663,s,p,0.1930000000000014
42,43,43,24.663,24.917,p,s,0.25400000000000134
43,44,44,24.917,25.608,s,p,0.690999999999999
44,45,45,25.608,25.721,p,s,0.11299999999999955
45,46,46,25.721,25.896,s,p,0.1750000000000007
46,47,47,25.896,26.203,p,s,0.3069999999999986
47,48,48,26.203,27.661,s,p,1.458000000000002
48,49,49,27.661,27.963,p,s,0.3019999999999996
49,50,50,27.963,29.269,s,p,1.3059999999999974
50,51,51,29.269,29.334,p,s,0.06500000000000128
51,52,52,29.334,29.57,s,p,0.23600000000000065
52,53,53,29.57,29.884,p,s,0.31400000000000006
53,54,54,29.884,31.572,s,p,1.6879999999999988
54,55,55,31.572,31.655,p,s,0.08300000000000196
55,56,56,31.655,31.76,s,p,0.10500000000000043
56,57,57,31.76,32.339,p,s,0.5789999999999971
59,62,62,32.339,34.778,s,p,2.439
60,63,63,34.778,35.213,p,s,0.4350000000000023
61,64,64,35.213,37.501,s,p,2.2879999999999967
62,65,65,37.501,37.58,p,s,0.07900000000000063
63,66,66,37.58,38.569,s,p,0.9890000000000043
64,67,67,38.569,38.669,p,s,0.09999999999999432
65,68,68,38.669,39.442,s,p,0.7730000000000032
66,69,69,39.442,39.526,p,s,0.08400000000000318
67,70,70,39.526,39.905,s,p,0.3789999999999978
68,71,71,39.905,39.957,p,s,0.0519999999999996
69,72,72,39.957,40.57,s,p,0.6129999999999995
70,73,73,40.57,40.629,p,s,0.0589999999999975
71,74,74,40.629,41.003,s,p,0.37400000000000233
72,75,75,41.003,41.338,p,s,0.33500000000000085
73,76,76,41.338,42.755,s,p,1.4170000000000016
74,77,77,42.755,42.809,p,s,0.05399999999999494
75,78,78,42.809,42.955,s,p,0.1460000000000008
76,79,79,42.955,43.325,p,s,0.37000000000000455
77,80,80,43.325,45.226,s,p,1.9009999999999962
78,81,81,45.226,45.693,p,s,0.46699999999999875
79,82,82,45.693,46.628,s,p,0.9350000000000023
80,83,83,46.628,47.021,p,s,0.3930000000000007
81,84,84,47.021,48.0,s,p,0.9789999999999992
82,85,85,48.0,48.065,p,s,0.06499999999999773
83,86,86,48.065,50.218,s,p,2.153000000000006
84,87,87,50.218,50.433,p,s,0.2149999999999963
85,88,88,50.433,52.156,s,p,1.722999999999999
86,89,89,52.156,52.208,p,s,0.0519999999999996
87,90,90,52.208,52.36,s,p,0.15200000000000102
88,91,91,52.36,52.676,p,s,0.3160000000000025
89,92,92,52.676,53.366,s,p,0.6899999999999977
90,93,93,53.366,53.506,p,s,0.14000000000000057
91,94,94,53.506,54.167,s,p,0.6610000000000014
92,95,95,54.167,54.35,p,s,0.18299999999999983
93,96,96,54.35,55.464,s,p,1.1139999999999972
