,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.252,s,,2.252
1,1,1,2.252,2.47,p,s,0.21800000000000042
2,2,2,2.47,3.552,s,p,1.0819999999999999
3,3,3,3.552,3.6790000000000003,p,s,0.12700000000000022
4,4,4,3.6790000000000003,5.939,s,p,2.26
5,5,5,5.939,6.0,p,s,0.06099999999999994
6,6,6,6.0,6.767,s,p,0.7670000000000003
7,7,7,6.767,6.921,p,s,0.15399999999999991
8,8,8,6.921,7.741,s,p,0.8199999999999994
9,9,9,7.741,8.146,p,s,0.40500000000000114
10,10,10,8.146,8.825,s,p,0.6789999999999985
11,11,11,8.825,8.915,p,s,0.08999999999999986
12,12,12,8.915,9.803,s,p,0.8880000000000017
13,13,13,9.803,9.946,p,s,0.1429999999999989
14,14,14,9.946,11.613,s,p,1.6669999999999998
15,15,15,11.613,12.256,p,s,0.6430000000000007
16,16,16,12.256,13.213000000000001,s,p,0.9570000000000007
17,17,17,13.213000000000001,13.561,p,s,0.347999999999999
18,18,18,13.561,14.9,s,p,1.3390000000000004
19,19,19,14.9,14.998000000000001,p,s,0.09800000000000075
20,20,20,14.998000000000001,15.469,s,p,0.4709999999999983
21,21,21,15.469,16.096,p,s,0.6270000000000007
22,22,22,16.096,18.127,s,p,2.030999999999999
23,23,23,18.127,18.274,p,s,0.14700000000000202
24,24,24,18.274,19.119,s,p,0.8449999999999989
25,25,25,19.119,19.29,p,s,0.17099999999999937
26,26,26,19.29,19.515,s,p,0.22500000000000142
27,27,27,19.515,19.587,p,s,0.07199999999999918
28,28,28,19.587,19.896,s,p,0.30900000000000105
29,29,29,19.896,19.996,p,s,0.09999999999999787
30,30,30,19.996,20.186,s,p,0.19000000000000128
31,31,31,20.186,20.271,p,s,0.08500000000000085
32,32,32,20.271,22.565,s,p,2.2940000000000005
33,33,33,22.565,22.868,p,s,0.30299999999999727
34,34,34,22.868,24.472,s,p,1.6040000000000028
35,35,35,24.472,24.532,p,s,0.05999999999999872
36,36,36,24.532,24.802,s,p,0.2699999999999996
37,37,37,24.802,24.857,p,s,0.054999999999999716
38,38,38,24.857,25.422,s,p,0.5650000000000013
39,39,39,25.422,25.597,p,s,0.1750000000000007
40,40,40,25.597,25.983,s,p,0.38599999999999923
41,41,41,25.983,26.193,p,s,0.21000000000000085
42,42,42,26.193,28.802,s,p,2.608999999999998
43,43,43,28.802,28.992,p,s,0.19000000000000128
44,44,44,28.992,31.692,s,p,2.6999999999999993
45,45,45,31.692,31.799,p,s,0.10699999999999932
46,46,46,31.799,33.0,s,p,1.2010000000000005
47,47,47,33.0,33.218,p,s,0.21800000000000352
48,48,48,33.218,33.344,s,p,0.12599999999999767
49,49,49,33.344,33.419,p,s,0.07499999999999574
50,50,50,33.419,33.799,s,p,0.38000000000000256
51,51,51,33.799,33.91,p,s,0.1109999999999971
52,52,52,33.91,35.757,s,p,1.8470000000000013
53,53,53,35.757,35.81,p,s,0.05300000000000438
54,54,54,35.81,36.712,s,p,0.902000000000001
55,55,55,36.712,37.223,p,s,0.5109999999999957
57,58,58,37.223,39.036,s,p,1.8130000000000024
58,59,59,39.036,39.618,p,s,0.5820000000000007
59,60,60,39.618,42.917,s,p,3.2989999999999995
60,61,61,42.917,43.027,p,s,0.10999999999999943
61,62,62,43.027,43.253,s,p,0.2259999999999991
62,63,63,43.253,43.487,p,s,0.23400000000000176
63,64,64,43.487,45.027,s,p,1.5399999999999991
64,65,65,45.027,45.134,p,s,0.10699999999999932
65,66,66,45.134,46.432,s,p,1.2980000000000018
66,67,67,46.432,46.656,p,s,0.22399999999999665
67,68,68,46.656,47.011,s,p,0.355000000000004
68,69,69,47.011,47.621,p,s,0.6099999999999994
69,70,70,47.621,48.175,s,p,0.5539999999999949
70,71,71,48.175,49.024,p,s,0.8490000000000038
71,72,72,49.024,52.371,s,p,3.3470000000000013
72,73,73,52.371,52.443,p,s,0.07199999999999562
73,74,74,52.443,54.479,s,p,2.0360000000000014
74,75,75,54.479,54.94,p,s,0.4609999999999985
75,76,76,54.94,56.181,s,p,1.2409999999999997
76,77,77,56.181,56.796,p,s,0.615000000000002
77,78,78,56.796,58.232,s,p,1.436
78,79,79,58.232,58.292,p,s,0.060000000000002274
79,80,80,58.292,58.515,s,p,0.22299999999999898
80,81,81,58.515,59.117,p,s,0.6019999999999968
81,82,82,59.117,60.901,s,p,1.784000000000006
82,83,83,60.901,61.174,p,s,0.27299999999999613
