,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,1,1,0.091,0.156,p,,0.065
1,2,2,0.156,1.998,s,p,1.842
2,3,3,1.998,2.427,p,s,0.42900000000000005
3,4,4,2.427,2.632,s,p,0.20500000000000007
4,5,5,2.632,2.703,p,s,0.07099999999999973
5,6,6,2.703,3.488,s,p,0.7850000000000001
6,7,7,3.488,3.6310000000000002,p,s,0.14300000000000024
7,8,8,3.6310000000000002,4.069,s,p,0.4379999999999997
8,9,9,4.069,4.804,p,s,0.7350000000000003
9,10,10,4.804,7.7780000000000005,s,p,2.974
10,11,11,7.7780000000000005,7.84,p,s,0.06199999999999939
11,12,12,7.84,8.594,s,p,0.7539999999999996
12,13,13,8.594,9.405,p,s,0.8109999999999999
14,16,16,9.405,13.113,s,p,3.708
15,17,17,13.113,13.453,p,s,0.33999999999999986
16,18,18,13.453,14.531,s,p,1.0780000000000012
17,19,19,14.531,15.143,p,s,0.6120000000000001
18,20,20,15.143,16.766,s,p,1.6229999999999976
19,21,21,16.766,17.648,p,s,0.8820000000000014
20,22,22,17.648,18.356,s,p,0.708000000000002
21,23,23,18.356,18.686,p,s,0.3299999999999983
22,24,24,18.686,21.053,s,p,2.367000000000001
23,25,25,21.053,21.105,p,s,0.0519999999999996
24,26,26,21.105,21.689,s,p,0.5839999999999996
25,27,27,21.689,22.365,p,s,0.6759999999999984
26,28,28,22.365,22.686,s,p,0.3210000000000015
27,29,29,22.686,22.744,p,s,0.05799999999999983
28,30,30,22.744,23.753,s,p,1.0090000000000003
29,31,31,23.753,23.821,p,s,0.06800000000000139
30,32,32,23.821,24.276,s,p,0.4549999999999983
31,33,33,24.276,24.34,p,s,0.06400000000000006
32,34,34,24.34,24.939,s,p,0.5990000000000002
33,35,35,24.939,25.0,p,s,0.06099999999999994
34,36,36,25.0,25.346,s,p,0.3460000000000001
35,37,37,25.346,25.524,p,s,0.17800000000000082
36,38,38,25.524,26.108,s,p,0.5839999999999996
37,39,39,26.108,26.179,p,s,0.07099999999999795
38,40,40,26.179,27.87,s,p,1.6910000000000025
39,41,41,27.87,28.071,p,s,0.2010000000000005
40,42,42,28.071,29.204,s,p,1.1329999999999991
41,43,43,29.204,29.485,p,s,0.2809999999999988
42,44,44,29.485,29.943,s,p,0.45800000000000196
43,45,45,29.943,30.0,p,s,0.05699999999999861
44,46,46,30.0,30.668,s,p,0.6679999999999993
45,47,47,30.668,30.999,p,s,0.3309999999999995
46,48,48,30.999,32.173,s,p,1.174000000000003
47,49,49,32.173,32.466,p,s,0.29299999999999926
48,50,50,32.466,33.301,s,p,0.8350000000000009
49,51,51,33.301,33.762,p,s,0.4609999999999985
50,52,52,33.762,36.016,s,p,2.253999999999998
51,53,53,36.016,36.148,p,s,0.132000000000005
52,54,54,36.148,37.587,s,p,1.439
53,55,55,37.587,39.597,p,s,2.009999999999998
54,56,56,39.597,43.161,s,p,3.564
55,57,57,43.161,43.238,p,s,0.07699999999999818
56,58,58,43.238,43.4,s,p,0.16199999999999903
57,59,59,43.4,43.857,p,s,0.45700000000000074
58,60,60,43.857,45.797,s,p,1.9399999999999977
59,61,61,45.797,46.712,p,s,0.9150000000000063
60,62,62,46.712,50.477,s,p,3.7649999999999935
61,63,63,50.477,50.822,p,s,0.34500000000000597
62,64,64,50.822,52.329,s,p,1.506999999999998
63,65,65,52.329,52.684,p,s,0.3549999999999969
64,66,66,52.684,53.868,s,p,1.1840000000000046
65,67,67,53.868,54.645,p,s,0.777000000000001
66,68,68,54.645,55.936,s,p,1.2909999999999968
67,69,69,55.936,56.839,p,s,0.9029999999999987
68,70,70,56.839,59.764,s,p,2.9250000000000043
69,71,71,59.764,59.859,p,s,0.09499999999999886
70,72,72,59.859,62.454,s,p,2.594999999999999
71,73,73,62.454,62.91,p,s,0.45599999999999596
72,74,74,62.91,63.299,s,p,0.3890000000000029
73,75,75,63.299,63.377,p,s,0.07800000000000296
74,76,76,63.377,63.677,s,p,0.29999999999999716
75,77,77,63.677,64.691,p,s,1.014000000000003
76,78,78,64.691,65.694,s,p,1.0030000000000001
77,79,79,65.694,65.749,p,s,0.05499999999999261
78,80,80,65.749,66.395,s,p,0.6460000000000008
79,81,81,66.395,66.948,p,s,0.5529999999999973
80,82,82,66.948,69.0,s,p,2.0520000000000067
81,83,83,69.0,69.409,p,s,0.409000000000006
82,84,84,69.409,70.318,s,p,0.9089999999999918
83,85,85,70.318,71.62,p,s,1.3020000000000067
84,86,86,71.62,73.544,s,p,1.9239999999999924
85,87,87,73.544,73.855,p,s,0.31100000000000705
86,88,88,73.855,75.367,s,p,1.5120000000000005
87,89,89,75.367,77.372,p,s,2.0049999999999955
89,92,92,77.372,78.753,s,p,1.3810000000000002
90,93,93,78.753,78.905,p,s,0.15200000000000102
91,94,94,78.905,81.995,s,p,3.0900000000000034
92,95,95,81.995,82.765,p,s,0.769999999999996
93,96,96,82.765,86.286,s,p,3.521000000000001
94,97,97,86.286,86.824,p,s,0.5379999999999967
95,98,98,86.824,88.104,s,p,1.2800000000000011
96,99,99,88.104,88.251,p,s,0.14700000000000557
97,100,100,88.251,89.261,s,p,1.009999999999991
98,101,101,89.261,89.727,p,s,0.4660000000000082
99,102,102,89.727,90.76,s,p,1.0330000000000013
100,103,103,90.76,90.815,p,s,0.05499999999999261
101,104,104,90.815,90.991,s,p,0.17600000000000193
102,105,105,90.991,91.168,p,s,0.1770000000000067
103,106,106,91.168,92.663,s,p,1.4949999999999903
