,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.107,s,,1.107
1,1,1,1.107,1.535,p,s,0.42799999999999994
2,2,2,1.535,2.664,s,p,1.1290000000000002
3,3,3,2.664,3.511,p,s,0.847
4,4,4,3.511,3.738,s,p,0.22699999999999987
5,5,5,3.738,3.789,p,s,0.051000000000000156
6,6,6,3.789,4.938,s,p,1.1489999999999996
7,7,7,4.938,5.005,p,s,0.06700000000000017
8,8,8,5.005,7.227,s,p,2.2220000000000004
9,9,9,7.227,7.481,p,s,0.25399999999999956
10,10,10,7.481,8.634,s,p,1.1530000000000005
11,11,11,8.634,9.0,p,s,0.36599999999999966
12,12,12,9.0,9.713,s,p,0.7129999999999992
13,13,13,9.713,10.58,p,s,0.8670000000000009
14,14,14,10.58,12.075,s,p,1.4949999999999992
15,15,15,12.075,12.417,p,s,0.3420000000000005
16,16,16,12.417,13.082,s,p,0.6650000000000009
17,17,17,13.082,13.47,p,s,0.3879999999999999
18,18,18,13.47,15.49,s,p,2.0199999999999996
19,19,19,15.49,15.889,p,s,0.39899999999999913
20,20,20,15.889,17.254,s,p,1.365000000000002
21,21,21,17.254,17.88,p,s,0.6259999999999977
22,22,22,17.88,20.538,s,p,2.6580000000000013
23,23,23,20.538,21.126,p,s,0.588000000000001
24,24,24,21.126,21.472,s,p,0.3460000000000001
25,25,25,21.472,22.387,p,s,0.9149999999999991
26,26,26,22.387,23.923000000000002,s,p,1.5360000000000014
27,27,27,23.923000000000002,23.989,p,s,0.06599999999999895
28,28,28,23.989,25.164,s,p,1.1750000000000007
29,29,29,25.164,25.266,p,s,0.10199999999999676
30,30,30,25.266,26.251,s,p,0.985000000000003
31,31,31,26.251,26.396,p,s,0.14499999999999957
32,32,32,26.396,28.221,s,p,1.8249999999999993
33,33,33,28.221,28.279,p,s,0.05799999999999983
34,34,34,28.279,28.504,s,p,0.22500000000000142
35,35,35,28.504,29.104,p,s,0.5999999999999979
36,36,36,29.104,31.035,s,p,1.931000000000001
37,37,37,31.035,31.304,p,s,0.26899999999999835
38,38,38,31.304,31.83,s,p,0.5259999999999998
39,39,39,31.83,32.372,p,s,0.5420000000000016
40,40,40,32.372,32.675,s,p,0.30299999999999727
41,41,41,32.675,32.733,p,s,0.05799999999999983
42,42,42,32.733,33.139,s,p,0.4060000000000059
43,43,43,33.139,33.515,p,s,0.37599999999999767
45,46,46,33.515,33.968,s,p,0.45300000000000296
46,47,47,33.968,34.07,p,s,0.10199999999999676
47,48,48,34.07,36.027,s,p,1.9570000000000007
48,49,49,36.027,36.368,p,s,0.3410000000000011
49,50,50,36.368,37.106,s,p,0.7379999999999995
