,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.224,s,,1.224
1,1,1,1.224,1.317,p,s,0.09299999999999997
2,2,2,1.317,4.112,s,p,2.795
3,3,3,4.112,4.34,p,s,0.22799999999999976
4,4,4,4.34,5.021,s,p,0.681
5,5,5,5.021,5.68,p,s,0.6589999999999998
6,6,6,5.68,8.834,s,p,3.154
7,7,7,8.834,9.332,p,s,0.4980000000000011
9,10,10,9.332,10.128,s,p,0.7959999999999994
10,11,11,10.128,11.07,p,s,0.9420000000000002
11,12,12,11.07,11.438,s,p,0.3680000000000003
12,13,13,11.438,11.504999999999999,p,s,0.0669999999999984
13,14,14,11.504999999999999,12.054,s,p,0.5490000000000013
14,15,15,12.054,12.299,p,s,0.24499999999999922
15,16,16,12.299,13.572,s,p,1.2729999999999997
16,17,17,13.572,14.201,p,s,0.6290000000000013
17,18,18,14.201,15.722,s,p,1.520999999999999
18,19,19,15.722,15.773,p,s,0.051000000000000156
19,20,20,15.773,16.886,s,p,1.1129999999999995
20,21,21,16.886,17.384999999999998,p,s,0.4989999999999988
22,24,24,17.384999999999998,19.065,s,p,1.6800000000000033
23,25,25,19.065,19.162,p,s,0.09699999999999775
24,26,26,19.162,19.937,s,p,0.7750000000000021
25,27,27,19.937,20.017,p,s,0.0799999999999983
26,28,28,20.017,20.675,s,p,0.6580000000000013
27,29,29,20.675,20.781,p,s,0.1059999999999981
28,30,30,20.781,21.588,s,p,0.8070000000000022
29,31,31,21.588,21.946,p,s,0.35800000000000054
30,32,32,21.946,24.481,s,p,2.535
31,33,33,24.481,24.533,p,s,0.0519999999999996
32,34,34,24.533,26.576,s,p,2.0429999999999993
33,35,35,26.576,26.628,p,s,0.0519999999999996
34,36,36,26.628,27.358,s,p,0.7300000000000004
35,37,37,27.358,27.519,p,s,0.1609999999999978
37,40,40,27.519,28.297,s,p,0.7780000000000022
38,41,41,28.297,28.393,p,s,0.09600000000000009
39,42,42,28.393,28.775,s,p,0.3819999999999979
40,43,43,28.775,28.862000000000002,p,s,0.0870000000000033
41,44,44,28.862000000000002,29.255,s,p,0.39299999999999713
42,45,45,29.255,29.312,p,s,0.05700000000000216
43,46,46,29.312,30.014,s,p,0.7019999999999982
44,47,47,30.014,30.073,p,s,0.05900000000000105
45,48,48,30.073,30.681,s,p,0.6080000000000005
46,49,49,30.681,30.734,p,s,0.053000000000000824
47,50,50,30.734,31.254,s,p,0.5199999999999996
48,51,51,31.254,31.712,p,s,0.4579999999999984
49,52,52,31.712,33.257,s,p,1.5449999999999982
50,53,53,33.257,33.863,p,s,0.6060000000000016
51,54,54,33.863,35.332,s,p,1.4690000000000012
52,55,55,35.332,35.52,p,s,0.1880000000000024
53,56,56,35.52,37.262,s,p,1.7419999999999973
54,57,57,37.262,37.723,p,s,0.4609999999999985
55,58,58,37.723,41.097,s,p,3.3740000000000023
56,59,59,41.097,41.588,p,s,0.49099999999999966
57,60,60,41.588,43.454,s,p,1.8659999999999997
58,61,61,43.454,43.521,p,s,0.06700000000000017
59,62,62,43.521,44.514,s,p,0.9930000000000021
60,63,63,44.514,44.573,p,s,0.0589999999999975
61,64,64,44.573,44.711,s,p,0.13799999999999812
62,65,65,44.711,44.854,p,s,0.14300000000000068
63,66,66,44.854,45.2,s,p,0.34600000000000364
64,67,67,45.2,45.497,p,s,0.29699999999999704
65,68,68,45.497,47.829,s,p,2.3320000000000007
66,69,69,47.829,48.337,p,s,0.5080000000000027
67,70,70,48.337,48.878,s,p,0.5409999999999968
68,71,71,48.878,49.221000000000004,p,s,0.3430000000000035
69,72,72,49.221000000000004,49.599,s,p,0.377999999999993
70,73,73,49.599,49.66,p,s,0.06099999999999994
71,74,74,49.66,50.095,s,p,0.4350000000000023
72,75,75,50.095,50.62,p,s,0.5249999999999986
73,76,76,50.62,52.917,s,p,2.297000000000004
74,77,77,52.917,53.031,p,s,0.11399999999999721
75,78,78,53.031,53.676,s,p,0.6450000000000031
76,79,79,53.676,53.941,p,s,0.26500000000000057
77,80,80,53.941,56.547,s,p,2.6059999999999945
78,81,81,56.547,56.685,p,s,0.13800000000000523
79,82,82,56.685,56.891,s,p,0.20599999999999596
80,83,83,56.891,57.577,p,s,0.6859999999999999
81,84,84,57.577,58.264,s,p,0.6870000000000047
82,85,85,58.264,58.321,p,s,0.056999999999995055
83,86,86,58.321,59.927,s,p,1.6060000000000016
84,87,87,59.927,59.978,p,s,0.05100000000000193
85,88,88,59.978,60.264,s,p,0.28600000000000136
86,89,89,60.264,60.562,p,s,0.2979999999999947
87,90,90,60.562,61.659,s,p,1.0970000000000013
88,91,91,61.659,62.327,p,s,0.6679999999999993
89,92,92,62.327,64.236,s,p,1.909000000000006
90,93,93,64.236,64.389,p,s,0.1529999999999916
91,94,94,64.389,66.15,s,p,1.76100000000001
92,95,95,66.15,66.763,p,s,0.6129999999999995
93,96,96,66.763,67.593,s,p,0.8299999999999983
94,97,97,67.593,67.653,p,s,0.060000000000002274
95,98,98,67.653,67.87,s,p,0.21699999999999875
96,99,99,67.87,67.988,p,s,0.117999999999995
97,100,100,67.988,69.962,s,p,1.9740000000000038
98,101,101,69.962,70.036,p,s,0.07399999999999807
99,102,102,70.036,70.272,s,p,0.2360000000000042
100,103,103,70.272,70.361,p,s,0.08899999999999864
101,104,104,70.361,72.697,s,p,2.3359999999999985
102,105,105,72.697,72.766,p,s,0.06900000000000261
103,106,106,72.766,72.953,s,p,0.1869999999999976
