,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.317,s,,1.317
1,1,1,1.317,1.378,p,s,0.06099999999999994
2,2,2,1.378,2.4,s,p,1.022
3,3,3,2.4,2.534,p,s,0.1339999999999999
4,4,4,2.534,4.602,s,p,2.0680000000000005
5,5,5,4.602,4.66,p,s,0.05799999999999983
6,6,6,4.66,4.867,s,p,0.20699999999999985
7,7,7,4.867,4.925,p,s,0.05799999999999983
8,8,8,4.925,5.545,s,p,0.6200000000000001
9,9,9,5.545,5.595000000000001,p,s,0.05000000000000071
10,10,10,5.595000000000001,8.278,s,p,2.683
11,11,11,8.278,8.688,p,s,0.41000000000000014
12,12,12,8.688,10.275,s,p,1.5869999999999997
13,13,13,10.275,10.768,p,s,0.4930000000000003
14,14,14,10.768,11.624,s,p,0.8559999999999999
15,15,15,11.624,11.873000000000001,p,s,0.24900000000000055
16,16,16,11.873000000000001,13.049,s,p,1.1759999999999984
17,17,17,13.049,13.386,p,s,0.33699999999999974
18,18,18,13.386,14.182,s,p,0.7960000000000012
19,19,19,14.182,15.099,p,s,0.9169999999999998
20,20,20,15.099,15.607,s,p,0.5079999999999991
21,21,21,15.607,16.0,p,s,0.3930000000000007
22,22,22,16.0,16.695,s,p,0.6950000000000003
23,23,23,16.695,16.828,p,s,0.13299999999999912
24,24,24,16.828,19.187,s,p,2.3590000000000018
25,25,25,19.187,19.275,p,s,0.08799999999999741
26,26,26,19.275,19.573,s,p,0.2980000000000018
27,27,27,19.573,19.68,p,s,0.10699999999999932
28,28,28,19.68,19.966,s,p,0.28600000000000136
29,29,29,19.966,20.025,p,s,0.0589999999999975
30,30,30,20.025,20.338,s,p,0.3130000000000024
31,31,31,20.338,20.429,p,s,0.09099999999999753
32,32,32,20.429,20.55,s,p,0.12100000000000222
33,33,33,20.55,20.792,p,s,0.24200000000000088
34,34,34,20.792,21.17,s,p,0.3780000000000001
35,35,35,21.17,21.225,p,s,0.054999999999999716
36,36,36,21.225,24.287,s,p,3.0619999999999976
37,37,37,24.287,24.721,p,s,0.43400000000000105
38,38,38,24.721,26.372,s,p,1.6509999999999998
39,39,39,26.372,26.559,p,s,0.18700000000000117
40,40,40,26.559,28.885,s,p,2.3260000000000005
41,41,41,28.885,29.16,p,s,0.2749999999999986
42,42,42,29.16,29.812,s,p,0.652000000000001
43,43,43,29.812,29.985,p,s,0.17299999999999827
44,44,44,29.985,33.333,s,p,3.347999999999999
45,45,45,33.333,33.488,p,s,0.15500000000000114
46,46,46,33.488,33.933,s,p,0.4450000000000003
47,47,47,33.933,34.411,p,s,0.47800000000000153
48,48,48,34.411,37.261,s,p,2.8500000000000014
49,49,49,37.261,37.337,p,s,0.07600000000000051
50,50,50,37.337,38.557,s,p,1.2199999999999989
51,51,51,38.557,38.957,p,s,0.3999999999999986
52,52,52,38.957,40.481,s,p,1.524000000000001
53,53,53,40.481,40.77,p,s,0.2890000000000015
54,54,54,40.77,41.606,s,p,0.8359999999999985
55,55,55,41.606,41.748,p,s,0.1419999999999959
56,56,56,41.748,42.464,s,p,0.7160000000000011
57,57,57,42.464,42.565,p,s,0.10099999999999909
58,58,58,42.565,42.897,s,p,0.33200000000000074
59,59,59,42.897,43.135,p,s,0.23799999999999955
60,60,60,43.135,43.872,s,p,0.7370000000000019
61,61,61,43.872,44.08,p,s,0.2079999999999984
62,62,62,44.08,45.313,s,p,1.233000000000004
63,63,63,45.313,45.374,p,s,0.06099999999999994
64,64,64,45.374,45.839,s,p,0.4649999999999963
65,65,65,45.839,45.896,p,s,0.05700000000000216
66,66,66,45.896,46.253,s,p,0.3569999999999993
67,67,67,46.253,46.348,p,s,0.09499999999999886
68,68,68,46.348,46.841,s,p,0.4930000000000021
69,69,69,46.841,47.623,p,s,0.7819999999999965
70,70,70,47.623,48.514,s,p,0.8910000000000053
71,71,71,48.514,48.684,p,s,0.1699999999999946
72,72,72,48.684,51.0,s,p,2.3160000000000025
73,73,73,51.0,51.314,p,s,0.31400000000000006
74,74,74,51.314,51.815,s,p,0.5009999999999977
75,75,75,51.815,52.176,p,s,0.3610000000000042
76,76,76,52.176,53.262,s,p,1.0859999999999985
77,77,77,53.262,53.407,p,s,0.14499999999999602
79,80,80,53.407,54.368,s,p,0.9610000000000056
80,81,81,54.368,54.421,p,s,0.05299999999999727
81,82,82,54.421,55.771,s,p,1.3500000000000014
82,83,83,55.771,56.059,p,s,0.2879999999999967
83,84,84,56.059,56.661,s,p,0.6020000000000039
84,85,85,56.661,56.745,p,s,0.08399999999999608
85,86,86,56.745,57.387,s,p,0.642000000000003
86,87,87,57.387,57.861,p,s,0.47399999999999665
87,88,88,57.861,60.175,s,p,2.314
88,89,89,60.175,60.242,p,s,0.06700000000000017
89,90,90,60.242,60.488,s,p,0.24600000000000222
90,91,91,60.488,60.545,p,s,0.05700000000000216
91,92,92,60.545,60.93,s,p,0.384999999999998
92,93,93,60.93,61.197,p,s,0.267000000000003
93,94,94,61.197,62.066,s,p,0.8689999999999998
94,95,95,62.066,62.125,p,s,0.0589999999999975
95,96,96,62.125,63.673,s,p,1.5480000000000018
96,97,97,63.673,63.837,p,s,0.16400000000000148
98,100,100,63.837,64.166,s,p,0.3289999999999935
99,101,101,64.166,64.829,p,s,0.6629999999999967
100,102,102,64.829,65.803,s,p,0.9740000000000038
101,103,103,65.803,65.866,p,s,0.06300000000000239
102,104,104,65.866,66.149,s,p,0.28300000000000125
103,105,105,66.149,66.291,p,s,0.1419999999999959
104,106,106,66.291,66.824,s,p,0.5330000000000013
105,107,107,66.824,66.957,p,s,0.13299999999999557
106,108,108,66.957,68.415,s,p,1.4580000000000126
107,109,109,68.415,68.781,p,s,0.36599999999999966
108,110,110,68.781,69.619,s,p,0.8379999999999939
109,111,111,69.619,69.742,p,s,0.12300000000000466
110,112,112,69.742,70.186,s,p,0.4440000000000026
111,113,113,70.186,70.741,p,s,0.5549999999999926
112,114,114,70.741,72.891,s,p,2.1500000000000057
113,115,115,72.891,72.998,p,s,0.10699999999999932
114,116,116,72.998,74.735,s,p,1.7369999999999948
115,117,117,74.735,75.119,p,s,0.38400000000000034
116,118,118,75.119,75.677,s,p,0.5580000000000069
117,119,119,75.677,75.823,p,s,0.14599999999998658
118,120,120,75.823,76.558,s,p,0.7350000000000136
119,121,121,76.558,76.813,p,s,0.25499999999999545
120,122,122,76.813,78.782,s,p,1.968999999999994
121,123,123,78.782,78.837,p,s,0.05500000000000682
122,124,124,78.837,78.958,s,p,0.12099999999999511
123,125,125,78.958,79.26,p,s,0.3020000000000067
124,126,126,79.26,79.39,s,p,0.12999999999999545
125,127,127,79.39,79.453,p,s,0.06300000000000239
126,128,128,79.453,82.0609977324263,s,p,2.6079977324262984
