,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.324,s,,1.324
1,1,1,1.324,1.395,p,s,0.07099999999999995
2,2,2,1.395,2.826,s,p,1.431
3,3,3,2.826,4.159,p,s,1.3329999999999997
4,4,4,4.159,4.351,s,p,0.19200000000000017
5,5,5,4.351,4.458,p,s,0.1070000000000002
6,6,6,4.458,5.449,s,p,0.9909999999999997
7,7,7,5.449,5.51,p,s,0.06099999999999994
8,8,8,5.51,6.086,s,p,0.5760000000000005
9,9,9,6.086,6.164,p,s,0.0779999999999994
10,10,10,6.164,8.585,s,p,2.421000000000001
11,11,11,8.585,8.642,p,s,0.05699999999999861
12,12,12,8.642,9.107,s,p,0.46499999999999986
13,13,13,9.107,9.543,p,s,0.43599999999999994
15,16,16,9.543,10.52,s,p,0.9770000000000003
16,17,17,10.52,11.429,p,s,0.9090000000000007
17,18,18,11.429,12.412,s,p,0.9830000000000005
18,19,19,12.412,12.583,p,s,0.17099999999999937
19,20,20,12.583,13.603,s,p,1.0199999999999996
20,21,21,13.603,13.707,p,s,0.10400000000000098
21,22,22,13.707,15.769,s,p,2.0619999999999994
22,23,23,15.769,16.804,p,s,1.0349999999999984
25,28,28,16.804,17.745,s,p,0.9410000000000025
26,29,29,17.745,18.129,p,s,0.38400000000000034
28,32,32,18.129,18.266,s,p,0.1369999999999969
29,33,33,18.266,18.455,p,s,0.18900000000000006
30,34,34,18.455,20.752,s,p,2.2970000000000006
31,35,35,20.752,21.129,p,s,0.37700000000000244
33,38,38,21.129,21.278,s,p,0.14899999999999736
34,39,39,21.278,21.51,p,s,0.23200000000000287
35,40,40,21.51,22.059,s,p,0.5489999999999995
36,41,41,22.059,22.574,p,s,0.5150000000000006
37,42,42,22.574,24.819,s,p,2.2449999999999974
38,43,43,24.819,24.955,p,s,0.13599999999999923
39,44,44,24.955,25.399,s,p,0.4440000000000026
40,45,45,25.399,25.457,p,s,0.05799999999999983
41,46,46,25.457,26.604,s,p,1.1469999999999985
42,47,47,26.604,26.727,p,s,0.12300000000000111
43,48,48,26.727,26.945,s,p,0.21799999999999997
44,49,49,26.945,27.177,p,s,0.23199999999999932
45,50,50,27.177,27.534,s,p,0.3569999999999993
46,51,51,27.534,28.272,p,s,0.7379999999999995
47,52,52,28.272,30.301,s,p,2.029
48,53,53,30.301,30.378,p,s,0.07700000000000173
49,54,54,30.378,32.12,s,p,1.7419999999999973
50,55,55,32.12,32.17,p,s,0.05000000000000426
51,56,56,32.17,33.72,s,p,1.5499999999999972
52,57,57,33.72,33.907,p,s,0.1869999999999976
53,58,58,33.907,35.074,s,p,1.1670000000000016
54,59,59,35.074,35.126,p,s,0.0519999999999996
55,60,60,35.126,38.666,s,p,3.539999999999999
56,61,61,38.666,38.935,p,s,0.26900000000000546
58,64,64,38.935,40.492,s,p,1.556999999999995
59,65,65,40.492,40.855,p,s,0.36299999999999955
60,66,66,40.855,42.212,s,p,1.3570000000000064
61,67,67,42.212,42.689,p,s,0.47699999999999676
63,70,70,42.689,43.333,s,p,0.6439999999999984
64,71,71,43.333,43.394,p,s,0.06099999999999994
65,72,72,43.394,44.678,s,p,1.283999999999999
66,73,73,44.678,44.745,p,s,0.06700000000000017
67,74,74,44.745,46.579,s,p,1.8340000000000032
68,75,75,46.579,46.723,p,s,0.14399999999999835
69,76,76,46.723,46.889,s,p,0.16600000000000392
70,77,77,46.889,47.062,p,s,0.1729999999999947
71,78,78,47.062,48.975,s,p,1.9130000000000038
72,79,79,48.975,49.397,p,s,0.42199999999999704
74,82,82,49.397,49.669,s,p,0.27199999999999847
75,83,83,49.669,49.858,p,s,0.18900000000000006
76,84,84,49.858,50.457,s,p,0.5990000000000038
77,85,85,50.457,50.86,p,s,0.4029999999999987
78,86,86,50.86,54.745,s,p,3.884999999999998
79,87,87,54.745,54.959,p,s,0.21400000000000574
80,88,88,54.959,55.569,s,p,0.6099999999999994
81,89,89,55.569,55.623,p,s,0.05399999999999494
82,90,90,55.623,56.854,s,p,1.2310000000000016
83,91,91,56.854,56.923,p,s,0.06900000000000261
84,92,92,56.923,58.609,s,p,1.686
85,93,93,58.609,58.859,p,s,0.25
87,96,96,58.859,59.681,s,p,0.8219999999999956
88,97,97,59.681,60.412,p,s,0.7310000000000016
89,98,98,60.412,65.069,s,p,4.657000000000004
90,99,99,65.069,65.307,p,s,0.23799999999999955
91,100,100,65.307,66.108,s,p,0.8010000000000019
92,101,101,66.108,66.197,p,s,0.08899999999999864
93,102,102,66.197,67.038,s,p,0.840999999999994
94,103,103,67.038,67.126,p,s,0.08800000000000807
95,104,104,67.126,68.177,s,p,1.051000000000002
96,105,105,68.177,68.234,p,s,0.05699999999998795
97,106,106,68.234,68.527,s,p,0.29300000000000637
98,107,107,68.527,68.901,p,s,0.3739999999999952
99,108,108,68.901,69.204,s,p,0.30299999999999727
100,109,109,69.204,69.46,p,s,0.2560000000000002
102,112,112,69.46,70.279,s,p,0.8190000000000026
103,113,113,70.279,70.404,p,s,0.125
104,114,114,70.404,70.841,s,p,0.4369999999999976
105,115,115,70.841,70.974,p,s,0.13300000000000978
106,116,116,70.974,71.672,s,p,0.6979999999999933
107,117,117,71.672,72.091,p,s,0.41899999999999693
108,118,118,72.091,72.297,s,p,0.20600000000000307
109,119,119,72.297,72.468,p,s,0.17100000000000648
110,120,120,72.468,73.905,s,p,1.4369999999999976
111,121,121,73.905,73.958,p,s,0.05299999999999727
112,122,122,73.958,75.067,s,p,1.1089999999999947
113,123,123,75.067,75.132,p,s,0.06500000000001194
114,124,124,75.132,76.072,s,p,0.9399999999999977
115,125,125,76.072,76.233,p,s,0.16100000000000136
116,126,126,76.233,78.847,s,p,2.61399999999999
117,127,127,78.847,78.962,p,s,0.1150000000000091
118,128,128,78.962,79.69,s,p,0.7279999999999944
119,129,129,79.69,80.307,p,s,0.6170000000000044
121,132,132,80.307,80.421,s,p,0.11400000000000432
122,133,133,80.421,80.892,p,s,0.4709999999999894
123,134,134,80.892,81.908,s,p,1.0160000000000053
124,135,135,81.908,81.976,p,s,0.06799999999999784
125,136,136,81.976,84.833,s,p,2.8569999999999993
126,137,137,84.833,85.169,p,s,0.3359999999999985
127,138,138,85.169,86.478,s,p,1.3089999999999975
128,139,139,86.478,87.494,p,s,1.0160000000000053
131,144,144,87.494,88.432,s,p,0.9380000000000024
132,145,145,88.432,88.669,p,s,0.23699999999999477
133,146,146,88.669,92.083,s,p,3.4140000000000015
134,147,147,92.083,92.863,p,s,0.7800000000000011
135,148,148,92.863,93.37,s,p,0.507000000000005
136,149,149,93.37,93.454,p,s,0.08399999999998897
137,150,150,93.454,93.802,s,p,0.3480000000000132
138,151,151,93.802,93.881,p,s,0.07899999999999352
139,152,152,93.881,94.216,s,p,0.33499999999999375
140,153,153,94.216,94.508,p,s,0.2920000000000016
141,154,154,94.508,96.275,s,p,1.7670000000000101
142,155,155,96.275,96.35,p,s,0.07499999999998863
143,156,156,96.35,97.026,s,p,0.6760000000000019
144,157,157,97.026,97.442,p,s,0.4159999999999968
145,158,158,97.442,97.657,s,p,0.2150000000000034
146,159,159,97.657,97.727,p,s,0.07000000000000739
147,160,160,97.727,98.178,s,p,0.4509999999999934
148,161,161,98.178,98.235,p,s,0.05700000000000216
149,162,162,98.235,100.864,s,p,2.629000000000005
