,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,1.897,s,,1.897
1,1,1,1.897,2.037,p,s,0.1399999999999999
2,2,2,2.037,4.429,s,p,2.3920000000000003
3,3,3,4.429,4.49,p,s,0.06099999999999994
4,4,4,4.49,5.869,s,p,1.3789999999999996
5,5,5,5.869,5.941,p,s,0.07200000000000006
6,6,6,5.941,6.834,s,p,0.8929999999999998
7,7,7,6.834,7.221,p,s,0.38700000000000045
8,8,8,7.221,7.329,s,p,0.10799999999999965
9,9,9,7.329,7.48,p,s,0.1510000000000007
10,10,10,7.48,8.65,s,p,1.17
11,11,11,8.65,9.148,p,s,0.49799999999999933
12,12,12,9.148,9.93,s,p,0.782
13,13,13,9.93,9.999,p,s,0.06900000000000084
14,14,14,9.999,10.893,s,p,0.8940000000000001
15,15,15,10.893,10.998,p,s,0.10499999999999865
16,16,16,10.998,12.941,s,p,1.9430000000000014
17,17,17,12.941,13.019,p,s,0.0779999999999994
18,18,18,13.019,13.126,s,p,0.10699999999999932
19,19,19,13.126,13.538,p,s,0.4120000000000008
20,20,20,13.538,14.394,s,p,0.8559999999999999
21,21,21,14.394,14.975,p,s,0.5809999999999995
23,24,24,14.975,16.692,s,p,1.7170000000000005
24,25,25,16.692,17.228,p,s,0.5360000000000014
26,28,28,17.228,20.2,s,p,2.9719999999999978
27,29,29,20.2,20.252,p,s,0.0519999999999996
28,30,30,20.252,20.508,s,p,0.2560000000000002
29,31,31,20.508,20.633,p,s,0.125
30,32,32,20.633,20.823999999999998,s,p,0.19099999999999895
31,33,33,20.823999999999998,21.0,p,s,0.17600000000000193
32,34,34,21.0,21.34,s,p,0.33999999999999986
33,35,35,21.34,21.401,p,s,0.06099999999999994
34,36,36,21.401,22.926,s,p,1.5249999999999986
35,37,37,22.926,23.008,p,s,0.08200000000000074
36,38,38,23.008,24.269,s,p,1.2609999999999992
37,39,39,24.269,24.338,p,s,0.06900000000000261
38,40,40,24.338,25.776,s,p,1.4379999999999988
39,41,41,25.776,25.933,p,s,0.15700000000000003
40,42,42,25.933,28.812,s,p,2.8790000000000013
41,43,43,28.812,29.127,p,s,0.3149999999999977
43,46,46,29.127,30.41,s,p,1.2830000000000013
44,47,47,30.41,30.62,p,s,0.21000000000000085
45,48,48,30.62,33.56,s,p,2.9400000000000013
46,49,49,33.56,33.656,p,s,0.09599999999999653
47,50,50,33.656,33.986,s,p,0.3299999999999983
48,51,51,33.986,34.063,p,s,0.07700000000000529
49,52,52,34.063,35.799,s,p,1.735999999999997
50,53,53,35.799,35.923,p,s,0.12400000000000233
51,54,54,35.923,37.703,s,p,1.7800000000000011
52,55,55,37.703,37.956,p,s,0.2530000000000001
54,58,58,37.956,38.078,s,p,0.12199999999999989
55,59,59,38.078,38.201,p,s,0.12299999999999756
56,60,60,38.201,40.379,s,p,2.1779999999999973
57,61,61,40.379,41.058,p,s,0.679000000000002
59,64,64,41.058,45.151,s,p,4.0930000000000035
60,65,65,45.151,45.34,p,s,0.18900000000000006
61,66,66,45.34,47.138,s,p,1.7979999999999947
62,67,67,47.138,47.386,p,s,0.24800000000000466
64,70,70,47.386,49.726,s,p,2.3399999999999963
65,71,71,49.726,50.025999999999996,p,s,0.29999999999999716
66,72,72,50.025999999999996,50.219,s,p,0.19300000000000495
67,73,73,50.219,50.316,p,s,0.09700000000000131
68,74,74,50.316,54.351,s,p,4.034999999999997
69,75,75,54.351,54.515,p,s,0.16400000000000148
70,76,76,54.515,57.166,s,p,2.6509999999999962
71,77,77,57.166,57.688,p,s,0.5220000000000056
73,80,80,57.688,59.621,s,p,1.9329999999999998
74,81,81,59.621,60.065,p,s,0.4439999999999955
76,84,84,60.065,60.199,s,p,0.13400000000000034
77,85,85,60.199,60.288,p,s,0.08899999999999864
78,86,86,60.288,63.025,s,p,2.737000000000002
79,87,87,63.025,63.097,p,s,0.07200000000000273
80,88,88,63.097,63.551,s,p,0.4540000000000006
81,89,89,63.551,63.881,p,s,0.3299999999999983
82,90,90,63.881,67.358,s,p,3.477000000000004
83,91,91,67.358,67.796,p,s,0.4380000000000024
84,92,92,67.796,69.337,s,p,1.5409999999999968
85,93,93,69.337,69.397,p,s,0.060000000000002274
86,94,94,69.397,69.713,s,p,0.3159999999999883
87,95,95,69.713,69.924,p,s,0.21100000000001273
88,96,96,69.924,70.095,s,p,0.17099999999999227
89,97,97,70.095,70.23,p,s,0.13500000000000512
90,98,98,70.23,72.869,s,p,2.638999999999996
91,99,99,72.869,73.292,p,s,0.4230000000000018
93,102,102,73.292,74.081,s,p,0.7890000000000015
94,103,103,74.081,74.169,p,s,0.08799999999999386
95,104,104,74.169,76.494,s,p,2.325000000000003
96,105,105,76.494,76.681,p,s,0.1869999999999976
97,106,106,76.681,77.255,s,p,0.5739999999999981
98,107,107,77.255,77.37,p,s,0.1150000000000091
99,108,108,77.37,77.475,s,p,0.10499999999998977
100,109,109,77.475,77.571,p,s,0.09600000000000364
101,110,110,77.571,78.843,s,p,1.2720000000000056
102,111,111,78.843,79.066,p,s,0.22299999999999898
103,112,112,79.066,81.316,s,p,2.25
104,113,113,81.316,81.544,p,s,0.22799999999999443
105,114,114,81.544,81.743,s,p,0.19899999999999807
106,115,115,81.743,81.842,p,s,0.09900000000000375
107,116,116,81.842,84.27,s,p,2.4279999999999973
108,117,117,84.27,84.375,p,s,0.10500000000000398
109,118,118,84.375,84.568,s,p,0.19299999999999784
