,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,0.183,s,,0.183
1,1,1,0.183,1.139,p,s,0.956
4,6,6,1.139,1.324,s,p,0.18500000000000005
5,7,7,1.324,1.641,p,s,0.31699999999999995
6,8,8,1.641,3.613,s,p,1.972
7,9,9,3.613,3.75,p,s,0.137
8,10,10,3.75,4.719,s,p,0.9690000000000003
9,11,11,4.719,4.813,p,s,0.09399999999999942
10,12,12,4.813,7.245,s,p,2.4320000000000004
11,13,13,7.245,7.441,p,s,0.19599999999999973
12,14,14,7.441,8.321,s,p,0.8799999999999999
13,15,15,8.321,8.911,p,s,0.5899999999999999
15,18,18,8.911,11.679,s,p,2.7680000000000007
16,19,19,11.679,11.988,p,s,0.3089999999999993
18,22,22,11.988,12.789,s,p,0.8010000000000002
19,23,23,12.789,13.399000000000001,p,s,0.6100000000000012
20,24,24,13.399000000000001,13.907,s,p,0.5079999999999991
21,25,25,13.907,14.016,p,s,0.10899999999999999
22,26,26,14.016,15.0,s,p,0.984
23,27,27,15.0,15.118,p,s,0.11800000000000033
25,30,30,15.118,15.691,s,p,0.5730000000000004
26,31,31,15.691,16.212,p,s,0.520999999999999
27,32,32,16.212,19.969,s,p,3.7570000000000014
28,33,33,19.969,20.364,p,s,0.3949999999999996
29,34,34,20.364,23.562,s,p,3.1980000000000004
30,35,35,23.562,23.656,p,s,0.09399999999999764
31,36,36,23.656,24.365,s,p,0.7089999999999996
32,37,37,24.365,24.654,p,s,0.2890000000000015
34,40,40,24.654,27.0,s,p,2.346
35,41,41,27.0,27.099,p,s,0.0990000000000002
36,42,42,27.099,29.044,s,p,1.9450000000000003
37,43,43,29.044,29.458,p,s,0.4139999999999979
38,44,44,29.458,30.044,s,p,0.5860000000000021
39,45,45,30.044,30.098,p,s,0.053999999999998494
40,46,46,30.098,31.891,s,p,1.7929999999999993
41,47,47,31.891,32.045,p,s,0.15400000000000347
42,48,48,32.045,32.478,s,p,0.43299999999999983
43,49,49,32.478,32.693,p,s,0.2149999999999963
44,50,50,32.693,33.23,s,p,0.536999999999999
45,51,51,33.23,33.527,p,s,0.29700000000000415
46,52,52,33.527,37.223,s,p,3.695999999999998
48,55,55,37.223,37.775,p,s,0.5519999999999996
49,56,56,37.775,38.688,s,p,0.9130000000000038
50,57,57,38.688,38.819,p,s,0.13100000000000023
51,58,58,38.819,41.588,s,p,2.7689999999999984
52,59,59,41.588,41.783,p,s,0.19500000000000028
53,60,60,41.783,43.102,s,p,1.3189999999999955
54,61,61,43.102,43.275,p,s,0.17300000000000182
55,62,62,43.275,44.374,s,p,1.0990000000000038
56,63,63,44.374,44.446,p,s,0.07199999999999562
57,64,64,44.446,45.463,s,p,1.017000000000003
58,65,65,45.463,45.554,p,s,0.09100000000000108
59,66,66,45.554,46.017,s,p,0.46300000000000097
60,67,67,46.017,46.475,p,s,0.4579999999999984
61,68,68,46.475,48.093,s,p,1.618000000000002
62,69,69,48.093,48.165,p,s,0.07199999999999562
63,70,70,48.165,48.504,s,p,0.33899999999999864
64,71,71,48.504,48.578,p,s,0.07400000000000517
65,72,72,48.578,51.958,s,p,3.3799999999999955
66,73,73,51.958,52.504,p,s,0.5459999999999994
67,74,74,52.504,53.082,s,p,0.578000000000003
68,75,75,53.082,53.138,p,s,0.055999999999997385
69,76,76,53.138,53.604,s,p,0.4660000000000011
70,77,77,53.604,53.766,p,s,0.16199999999999903
71,78,78,53.766,54.167,s,p,0.40100000000000335
72,79,79,54.167,54.269,p,s,0.10199999999999676
73,80,80,54.269,54.816,s,p,0.5470000000000041
74,81,81,54.816,55.396,p,s,0.5799999999999983
75,82,82,55.396,56.394,s,p,0.9979999999999976
76,83,83,56.394,56.503,p,s,0.10900000000000176
77,84,84,56.503,58.158,s,p,1.6550000000000011
78,85,85,58.158,58.538,p,s,0.37999999999999545
79,86,86,58.538,60.467,s,p,1.929000000000002
80,87,87,60.467,60.528,p,s,0.06099999999999994
81,88,88,60.528,60.968,s,p,0.44000000000000483
82,89,89,60.968,61.074,p,s,0.10599999999999454
83,90,90,61.074,61.916,s,p,0.8419999999999987
84,91,91,61.916,62.38,p,s,0.46400000000000574
85,92,92,62.38,66.656,s,p,4.276000000000003
86,93,93,66.656,67.546,p,s,0.8900000000000006
87,94,94,67.546,70.875,s,p,3.3289999999999935
88,95,95,70.875,71.187,p,s,0.3119999999999976
89,96,96,71.187,71.797,s,p,0.6099999999999994
90,97,97,71.797,71.863,p,s,0.0660000000000025
91,98,98,71.863,72.054,s,p,0.1910000000000025
92,99,99,72.054,72.442,p,s,0.387999999999991
93,100,100,72.442,74.008,s,p,1.5660000000000025
94,101,101,74.008,74.243,p,s,0.23499999999999943
95,102,102,74.243,77.507,s,p,3.26400000000001
