,level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0,0.0,2.333,s,,2.333
1,1,1,2.333,2.703,p,s,0.36999999999999966
2,2,2,2.703,3.9210000000000003,s,p,1.2180000000000004
3,3,3,3.9210000000000003,4.047,p,s,0.12599999999999945
4,4,4,4.047,4.9559999999999995,s,p,0.9089999999999998
5,5,5,4.9559999999999995,5.018,p,s,0.06200000000000028
6,6,6,5.018,7.57,s,p,2.5520000000000005
7,7,7,7.57,7.759,p,s,0.18900000000000006
8,8,8,7.759,9.035,s,p,1.2759999999999998
9,9,9,9.035,9.158,p,s,0.12299999999999933
10,10,10,9.158,9.287,s,p,0.12900000000000134
11,11,11,9.287,9.45,p,s,0.16299999999999848
12,12,12,9.45,10.144,s,p,0.6940000000000008
13,13,13,10.144,10.199,p,s,0.054999999999999716
14,14,14,10.199,12.061,s,p,1.862
15,15,15,12.061,12.119,p,s,0.05799999999999983
16,16,16,12.119,13.774000000000001,s,p,1.6550000000000011
17,17,17,13.774000000000001,13.942,p,s,0.16799999999999926
18,18,18,13.942,15.0,s,p,1.0579999999999998
19,19,19,15.0,15.313,p,s,0.3130000000000006
21,22,22,15.313,16.243,s,p,0.9299999999999979
22,23,23,16.243,16.296,p,s,0.053000000000000824
23,24,24,16.296,17.455,s,p,1.158999999999999
24,25,25,17.455,17.855,p,s,0.40000000000000213
25,26,26,17.855,20.473,s,p,2.6179999999999986
26,27,27,20.473,20.564,p,s,0.09100000000000108
27,28,28,20.564,20.881,s,p,0.31700000000000017
28,29,29,20.881,20.958,p,s,0.07699999999999818
29,30,30,20.958,21.701,s,p,0.7430000000000021
30,31,31,21.701,21.821,p,s,0.120000000000001
31,32,32,21.821,21.979,s,p,0.1579999999999977
32,33,33,21.979,22.154,p,s,0.1750000000000007
33,34,34,22.154,24.407,s,p,2.253
34,35,35,24.407,24.492,p,s,0.08500000000000085
35,36,36,24.492,24.648,s,p,0.1559999999999988
36,37,37,24.648,24.847,p,s,0.19900000000000162
37,38,38,24.847,25.676,s,p,0.8289999999999971
38,39,39,25.676,25.747,p,s,0.0710000000000015
39,40,40,25.747,27.138,s,p,1.3910000000000018
40,41,41,27.138,28.259,p,s,1.1209999999999987
41,42,42,28.259,31.387999999999998,s,p,3.128999999999998
42,43,43,31.387999999999998,31.608,p,s,0.22000000000000242
43,44,44,31.608,31.806,s,p,0.1980000000000004
44,45,45,31.806,32.03,p,s,0.2240000000000002
45,46,46,32.03,34.416,s,p,2.3859999999999957
46,47,47,34.416,34.473,p,s,0.05700000000000216
47,48,48,34.473,35.253,s,p,0.7800000000000011
48,49,49,35.253,35.359,p,s,0.10600000000000165
49,50,50,35.359,40.152,s,p,4.792999999999999
50,51,51,40.152,40.241,p,s,0.08899999999999864
51,52,52,40.241,41.814,s,p,1.5730000000000004
52,53,53,41.814,41.905,p,s,0.09100000000000108
53,54,54,41.905,42.622,s,p,0.7169999999999987
54,55,55,42.622,42.767,p,s,0.14500000000000313
55,56,56,42.767,43.684,s,p,0.9169999999999945
56,57,57,43.684,43.743,p,s,0.059000000000004604
57,58,58,43.743,45.0,s,p,1.256999999999998
58,59,59,45.0,45.4,p,s,0.3999999999999986
60,62,62,45.4,45.971,s,p,0.570999999999998
61,63,63,45.971,46.022,p,s,0.05100000000000193
62,64,64,46.022,47.496,s,p,1.4740000000000038
63,65,65,47.496,47.934,p,s,0.4379999999999953
64,66,66,47.934,50.95,s,p,3.0160000000000053
65,67,67,50.95,51.054,p,s,0.1039999999999992
66,68,68,51.054,52.162,s,p,1.107999999999997
67,69,69,52.162,52.234,p,s,0.07200000000000273
68,70,70,52.234,52.58,s,p,0.34599999999999653
69,71,71,52.58,52.742,p,s,0.16199999999999903
70,72,72,52.742,55.992,s,p,3.25
71,73,73,55.992,56.499,p,s,0.507000000000005
72,74,74,56.499,57.054,s,p,0.5549999999999997
73,75,75,57.054,57.113,p,s,0.0589999999999975
74,76,76,57.113,57.745,s,p,0.6319999999999979
75,77,77,57.745,57.801,p,s,0.05600000000000449
76,78,78,57.801,58.743,s,p,0.9420000000000002
77,79,79,58.743,59.036,p,s,0.29299999999999926
78,80,80,59.036,59.14,s,p,0.1039999999999992
79,81,81,59.14,59.629,p,s,0.4889999999999972
80,82,82,59.629,63.79,s,p,4.161000000000001
81,83,83,63.79,63.869,p,s,0.07900000000000063
82,84,84,63.869,64.07,s,p,0.2009999999999934
83,85,85,64.07,64.188,p,s,0.11800000000000921
84,86,86,64.188,65.657,s,p,1.468999999999994
85,87,87,65.657,65.741,p,s,0.08400000000000318
86,88,88,65.741,67.285,s,p,1.543999999999997
87,89,89,67.285,67.403,p,s,0.11800000000000921
88,90,90,67.403,67.627,s,p,0.22399999999998954
89,91,91,67.627,67.732,p,s,0.10500000000000398
90,92,92,67.732,69.661,s,p,1.929000000000002
91,93,93,69.661,70.15,p,s,0.4890000000000043
92,94,94,70.15,73.402,s,p,3.2519999999999953
93,95,95,73.402,73.497,p,s,0.09499999999999886
94,96,96,73.497,73.65,s,p,0.1530000000000058
95,97,97,73.65,73.832,p,s,0.18199999999998795
96,98,98,73.832,76.177,s,p,2.345000000000013
97,99,99,76.177,76.251,p,s,0.07399999999999807
98,100,100,76.251,77.4,s,p,1.149000000000001
99,101,101,77.4,78.0,p,s,0.5999999999999943
101,104,104,78.0,81.219,s,p,3.218999999999994
102,105,105,81.219,81.374,p,s,0.15500000000000114
103,106,106,81.374,81.555,s,p,0.1810000000000116
104,107,107,81.555,81.675,p,s,0.11999999999999034
105,108,108,81.675,83.235,s,p,1.5600000000000023
106,109,109,83.235,84.0,p,s,0.7650000000000006
107,110,110,84.0,84.6,s,p,0.5999999999999943
108,111,111,84.6,84.666,p,s,0.0660000000000025
109,112,112,84.666,85.212,s,p,0.5460000000000065
