Metric,Predictor,Coefficient,Std Error,z-value,p-value,Model Type
Speech_Rate,Group[T.AWS],-34.80578313418847,11.559599267470755,-3.010985271101356,0.0026040148357665428,Weighted GLM
Pause_Duration_s,Group[T.AWS],0.5879421331549415,0.2046730377181124,2.8725920116781065,0.004071195053866848,Weighted GLM
Mean_Speech_s_ms,Group[T.AWS],37.20535487527209,95.45957020370598,0.389749867885197,0.6967215174830956,GLM
CV_Pause,Group[T.AWS],-0.004022504277715319,0.05053650354988694,-0.07959601466580524,0.936558564997242,GLM
CV_Speech,Group[T.AWS],0.08946119626382187,0.028948391058558617,3.090368514189758,0.0019990829436592836,GLM
long_p_durations_mean_ms,Group[T.AWS],29.99796807807038,33.8607358225794,0.8859219195723087,0.3756596035057138,GLM
short_p_durations_mean_ms,Group[T.AWS],4.873900584319253,2.1940046072205384,2.221463240450404,0.026319601806713767,GLM
long_p_durations_cv,Group[T.AWS],0.12954469949338784,0.08281627525475464,1.5642420417350325,0.11776073744287328,Weighted GLM
short_p_durations_cv,Group[T.AWS],-0.006304512364325655,0.012137663387104071,-0.5194173016055152,0.6034697686621576,GLM
log_Mean_Pause_s_ms,Group[T.AWS],0.16405099681811902,0.08161057370663412,2.010168405479342,0.04441336809941552,GLM
Pause_Events,Group_AWS,0.36496885720377176,0.14586316153006032,2.5021318157056185,0.012344795291502515,Negative Binomial
long_p_count,Group_AWS,0.5465700084270754,0.16047031254246433,3.406050625609891,0.0006590995603791456,Negative Binomial
short_p_count,Group_AWS,0.11017199935238062,0.1450327225243649,0.7596354631891584,0.4474725150448351,Negative Binomial
