level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.157,s,,2.157
1,1,2.157,2.526,p,s,0.3689999999999998
4,4,2.526,3.097,s,p,0.5710000000000002
5,5,3.097,3.148,p,s,0.051000000000000156
6,6,3.148,4.279,s,p,1.1309999999999998
7,7,4.279,4.346,p,s,0.06700000000000017
8,8,4.346,4.54,s,p,0.19399999999999995
9,9,4.54,5.46,p,s,0.9199999999999999
10,10,5.46,6.415,s,p,0.9550000000000001
11,11,6.415,6.931,p,s,0.516
12,12,6.931,8.375,s,p,1.444
13,13,8.375,8.53,p,s,0.15499999999999936
14,14,8.53,9.185,s,p,0.6550000000000011
15,15,9.185,9.725999999999999,p,s,0.5409999999999986
18,18,9.725999999999999,10.732,s,p,1.0060000000000002
19,19,10.732,11.583,p,s,0.8510000000000009
20,20,11.583,11.795,s,p,0.21199999999999974
21,21,11.795,12.183,p,s,0.3879999999999999
22,22,12.183,13.011,s,p,0.8279999999999994
23,23,13.011,13.309,p,s,0.29800000000000004
24,24,13.309,13.984,s,p,0.6750000000000007
25,25,13.984,14.055,p,s,0.07099999999999973
26,26,14.055,14.628,s,p,0.5730000000000004
27,27,14.628,15.146,p,s,0.5180000000000007
28,28,15.146,15.262,s,p,0.11599999999999966
29,29,15.262,15.331,p,s,0.06899999999999906
30,30,15.331,17.456,s,p,2.125
31,31,17.456,18.114,p,s,0.6580000000000013
32,32,18.114,18.459,s,p,0.34499999999999886
33,33,18.459,18.521,p,s,0.062000000000001165
34,34,18.521,18.753,s,p,0.23199999999999932
35,35,18.753,20.348,p,s,1.5949999999999989
36,36,20.348,20.556,s,p,0.20800000000000196
37,37,20.556,20.686,p,s,0.129999999999999
38,38,20.686,22.312,s,p,1.6260000000000012
39,39,22.312,22.659,p,s,0.34699999999999775
40,40,22.659,23.771,s,p,1.1120000000000019
41,41,23.771,23.875,p,s,0.1039999999999992
42,42,23.875,24.279,s,p,0.4039999999999999
43,43,24.279,24.367,p,s,0.08800000000000097
44,44,24.367,24.852,s,p,0.48499999999999943
45,45,24.852,24.916,p,s,0.06400000000000006
46,46,24.916,26.611,s,p,1.6950000000000003
47,47,26.611,27.0,p,s,0.38899999999999935
48,48,27.0,27.434,s,p,0.43400000000000105
49,49,27.434,28.431,p,s,0.9969999999999999
50,50,28.431,29.311,s,p,0.879999999999999
51,51,29.311,29.921,p,s,0.6099999999999994
54,54,29.921,30.044,s,p,0.12300000000000111
55,55,30.044,30.373,p,s,0.3290000000000006
58,58,30.373,31.139,s,p,0.7659999999999982
59,59,31.139,31.307,p,s,0.16799999999999926
60,60,31.307,32.191,s,p,0.8840000000000039
61,61,32.191,32.269,p,s,0.07799999999999585
62,62,32.269,32.71,s,p,0.4410000000000025
63,63,32.71,32.803,p,s,0.09299999999999642
64,64,32.803,33.242,s,p,0.43900000000000006
65,65,33.242,33.446,p,s,0.20400000000000063
66,66,33.446,33.911,s,p,0.4650000000000034
67,67,33.911,34.28,p,s,0.3689999999999998
68,68,34.28,34.445,s,p,0.16499999999999915
69,69,34.445,34.614,p,s,0.16899999999999693
70,70,34.614,36.036,s,p,1.4220000000000041
71,71,36.036,36.135,p,s,0.09899999999999665
72,72,36.135,36.851,s,p,0.7160000000000011
73,73,36.851,37.475,p,s,0.6240000000000023
76,76,37.475,38.445,s,p,0.9699999999999989
77,77,38.445,38.653,p,s,0.2079999999999984
78,78,38.653,38.814,s,p,0.16100000000000136
79,79,38.814,39.161,p,s,0.3470000000000013
80,80,39.161,39.651,s,p,0.490000000000002
81,81,39.651,39.784,p,s,0.13299999999999557
84,84,39.784,40.204,s,p,0.4200000000000017
85,85,40.204,40.485,p,s,0.2809999999999988
86,86,40.485,41.364,s,p,0.8789999999999978
87,87,41.364,42.395,p,s,1.031000000000006
88,88,42.395,42.846,s,p,0.4509999999999934
89,89,42.846,42.998,p,s,0.15200000000000102
90,90,42.998,44.516,s,p,1.5180000000000007
91,91,44.516,45.0,p,s,0.48400000000000176
92,92,45.0,47.082,s,p,2.0820000000000007
93,93,47.082,47.624,p,s,0.5420000000000016
96,96,47.624,48.681,s,p,1.056999999999995
97,97,48.681,48.754,p,s,0.0730000000000004
98,98,48.754,50.127,s,p,1.3730000000000047
99,99,50.127,50.512,p,s,0.384999999999998
102,102,50.512,52.003,s,p,1.4909999999999997
103,103,52.003,52.895,p,s,0.892000000000003
104,104,52.895,54.308,s,p,1.4129999999999967
105,105,54.308,54.945,p,s,0.6370000000000005
106,106,54.945,55.785,s,p,0.8399999999999963
107,107,55.785,56.141,p,s,0.35600000000000165
108,108,56.141,57.045,s,p,0.9040000000000035
109,109,57.045,57.965,p,s,0.9200000000000017
110,110,57.965,58.886,s,p,0.9209999999999994
111,111,58.886,60.611,p,s,1.7249999999999943
116,116,60.611,61.959,s,p,1.348000000000006
117,117,61.959,62.547,p,s,0.5879999999999939
120,120,62.547,63.47,s,p,0.9230000000000018
121,121,63.47,64.106,p,s,0.6359999999999957
122,122,64.106,65.462,s,p,1.3560000000000088
123,123,65.462,65.583,p,s,0.12099999999999511
124,124,65.583,66.347,s,p,0.7639999999999958
125,125,66.347,67.362,p,s,1.0150000000000006
126,126,67.362,68.878,s,p,1.5160000000000053
127,127,68.878,69.728,p,s,0.8499999999999943
128,128,69.728,70.492,s,p,0.76400000000001
129,129,70.492,70.615,p,s,0.12299999999999045
130,130,70.615,71.45,s,p,0.835000000000008
131,131,71.45,71.641,p,s,0.1910000000000025
132,132,71.641,73.223,s,p,1.5819999999999936
