level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,2.275,s,,2.275,s,0
1,1,2.275,2.336,p,s,0.060999999999999936,p,0
2,2,2.336,2.4730000000000003,s,p,0.13699999999999998,p,1
3,3,2.4730000000000003,2.565,p,s,0.09200000000000008,p,0
4,4,2.565,4.045,s,p,1.48,s,0
5,5,4.045,4.102,p,s,0.05700000000000039,p,0
6,6,4.102,5.5939999999999985,s,p,1.491999999999999,s,0
7,7,5.5939999999999985,6.307,p,s,0.7130000000000011,p,0
12,12,6.307,8.908999999999997,s,p,2.6019999999999985,s,0
13,13,8.908999999999997,9.584,p,s,0.6750000000000007,p,0
18,18,9.584,10.436,s,p,0.8520000000000003,s,0
19,19,10.436,10.772,p,s,0.3360000000000003,p,0
20,20,10.772,11.859000000000002,s,p,1.0869999999999995,s,0
21,21,11.859000000000002,12.06,p,s,0.2010000000000005,p,0
22,22,12.06,12.245999999999999,s,p,0.18599999999999994,s,0
23,23,12.245999999999999,12.331,p,s,0.08499999999999908,p,0
24,24,12.331,13.467,s,p,1.136000000000001,s,0
25,25,13.467,13.577,p,s,0.10999999999999943,p,0
26,26,13.577,15.642000000000001,s,p,2.0649999999999995,s,0
27,27,15.642000000000001,15.705,p,s,0.06300000000000061,p,0
28,28,15.705,16.178,s,p,0.4730000000000008,s,0
29,29,16.178,16.25,p,s,0.07199999999999918,p,0
30,30,16.25,16.46,s,p,0.21000000000000085,p,1
31,31,16.46,16.691,p,s,0.2309999999999981,p,0
34,34,16.691,16.824,s,p,0.13300000000000267,p,1
35,35,16.824,16.886,p,s,0.06199999999999761,p,0
36,36,16.886,17.087,s,p,0.2010000000000005,p,1
37,37,17.087,17.158,p,s,0.0710000000000015,p,0
38,38,17.158,18.11,s,p,0.9519999999999982,s,0
39,39,18.11,18.171,p,s,0.060999999999999936,p,0
40,40,18.171,18.570999999999998,s,p,0.4000000000000021,s,0
41,41,18.570999999999998,19.741,p,s,1.1699999999999982,p,0
46,46,19.741,19.893,s,p,0.15200000000000102,p,1
47,47,19.893,19.983,p,s,0.08999999999999986,p,0
48,48,19.983,20.172,s,p,0.18900000000000008,s,0
49,49,20.172,20.311,p,s,0.13899999999999935,p,0
50,50,20.311,21.3,s,p,0.9890000000000008,s,0
51,51,21.3,21.799,p,s,0.4989999999999988,p,0
54,54,21.799,22.491999999999997,s,p,0.6930000000000014,s,0
55,55,22.491999999999997,22.706,p,s,0.21399999999999866,p,0
56,56,22.706,23.495,s,p,0.7890000000000015,s,0
57,57,23.495,23.76,p,s,0.26499999999999696,p,0
60,60,23.76,23.895,s,p,0.13500000000000156,p,1
61,61,23.895,24.176,p,s,0.2809999999999988,p,0
62,62,24.176,24.544,s,p,0.3680000000000021,s,0
63,63,24.544,24.596999999999998,p,s,0.05300000000000082,p,0
64,64,24.596999999999998,25.594,s,p,0.997,s,0
65,65,25.594,25.794,p,s,0.1999999999999993,p,0
66,66,25.794,26.284000000000002,s,p,0.4899999999999984,s,0
67,67,26.284000000000002,26.539,p,s,0.25500000000000256,p,0
68,68,26.539,27.415,s,p,0.8759999999999977,s,0
69,69,27.415,27.701,p,s,0.28600000000000136,p,0
72,72,27.701,28.811999999999998,s,p,1.1110000000000009,s,0
73,73,28.811999999999998,29.237,p,s,0.4250000000000007,p,0
78,78,29.237,29.633000000000003,s,p,0.3959999999999973,s,0
79,79,29.633000000000003,29.698,p,s,0.06500000000000128,p,0
80,80,29.698,30.814,s,p,1.1159999999999997,s,0
81,81,30.814,31.158,p,s,0.3440000000000012,p,0
84,84,31.158,31.561999999999998,s,p,0.4039999999999999,s,0
85,85,31.561999999999998,31.643,p,s,0.08099999999999953,p,0
86,86,31.643,32.139,s,p,0.4960000000000022,s,0
87,87,32.139,32.379,p,s,0.2399999999999949,p,0
90,90,32.379,32.648,s,p,0.26900000000000546,s,0
91,91,32.648,33.349000000000004,p,s,0.7009999999999934,p,0
94,94,33.349000000000004,34.364000000000004,s,p,1.0150000000000006,s,0
95,95,34.364000000000004,34.754,p,s,0.39000000000000057,p,0
96,96,34.754,36.849000000000004,s,p,2.0949999999999993,s,0
97,97,36.849000000000004,37.178000000000004,p,s,0.3290000000000006,p,0
100,100,37.178000000000004,37.301,s,p,0.12300000000000465,s,0
101,101,37.301,37.361,p,s,0.059999999999995175,p,0
102,102,37.361,37.658,s,p,0.2970000000000041,p,1
103,103,37.658,37.726,p,s,0.06799999999999784,p,0
104,104,37.726,38.083,s,p,0.3569999999999993,s,0
105,105,38.083,38.141,p,s,0.05799999999999982,p,0
106,106,38.141,38.65,s,p,0.5090000000000003,s,0
107,107,38.65,38.762,p,s,0.11200000000000188,p,0
108,108,38.762,39.998000000000005,s,p,1.235999999999997,s,0
109,109,39.998000000000005,40.363,p,s,0.365000000000002,p,0
112,112,40.363,42.788000000000004,s,p,2.424999999999997,s,0
113,113,42.788000000000004,42.993,p,s,0.2050000000000054,p,0
114,114,42.993,43.725,s,p,0.7319999999999993,s,0
115,115,43.725,44.068000000000005,p,s,0.3429999999999964,p,0
116,116,44.068000000000005,45.152,s,p,1.0840000000000032,s,0
117,117,45.152,45.313,p,s,0.16100000000000134,p,0
118,118,45.313,47.195,s,p,1.881999999999998,s,0
119,119,47.195,47.297,p,s,0.10199999999999676,p,0
120,120,47.297,47.468999999999994,s,p,0.17200000000000415,s,0
121,121,47.468999999999994,47.556000000000004,p,s,0.08699999999999619,p,0
122,122,47.556000000000004,47.668,s,p,0.11200000000000188,p,1
123,123,47.668,48.248999999999995,p,s,0.5810000000000031,p,0
124,124,48.248999999999995,49.361000000000004,s,p,1.1119999999999948,s,0
125,125,49.361000000000004,49.472,p,s,0.1110000000000042,p,0
126,126,49.472,51.0,s,p,1.5279999999999987,s,0
127,127,51.0,51.111000000000004,p,s,0.1109999999999971,p,0
128,128,51.111000000000004,51.461000000000006,s,p,0.3500000000000014,s,0
129,129,51.461000000000006,51.588,p,s,0.12700000000000244,p,0
130,130,51.588,51.75,s,p,0.16199999999999906,p,1
131,131,51.75,51.91,p,s,0.1599999999999966,p,0
132,132,51.91,53.108999999999995,s,p,1.1990000000000052,s,0
133,133,53.108999999999995,53.846,p,s,0.7370000000000019,p,0
138,138,53.846,55.446000000000005,s,p,1.5999999999999943,s,0
139,139,55.446000000000005,55.668,p,s,0.2220000000000013,p,0
140,140,55.668,55.776,s,p,0.10800000000000408,p,1
141,141,55.776,55.847,p,s,0.07099999999999795,p,0
142,142,55.847,56.055,s,p,0.2079999999999984,s,0
143,143,56.055,56.217,p,s,0.16199999999999906,p,0
144,144,56.217,57.313,s,p,1.0960000000000036,s,0
145,145,57.313,57.775,p,s,0.4619999999999962,p,0
148,148,57.775,58.273,s,p,0.4980000000000047,s,0
149,149,58.273,58.988,p,s,0.7149999999999963,p,0
