level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,4.115,s,s,,4.115,0
1,1,4.115,4.199,p,p,s,0.08399999999999963,0
2,2,4.199,4.436,s,s,p,0.2370000000000001,0
3,3,4.436,4.513999999999999,p,p,s,0.07800000000000029,0
4,4,4.513999999999999,8.350999999999999,s,s,p,3.836999999999999,0
5,5,8.350999999999999,8.424,p,p,s,0.0730000000000004,0
6,6,8.424,9.522,s,s,p,1.0980000000000008,0
7,7,9.522,9.667,p,p,s,0.14499999999999955,0
8,8,9.667,12.293,s,s,p,2.6259999999999994,0
9,9,12.293,12.636,p,p,s,0.343,0
10,10,12.636,14.049000000000001,s,s,p,1.4130000000000005,0
11,11,14.049000000000001,14.185,p,p,s,0.13600000000000098,0
12,12,14.185,16.488,s,s,p,2.302999999999999,0
13,13,16.488,16.570999999999998,p,p,s,0.08300000000000196,0
14,14,16.570999999999998,17.448,s,s,p,0.8769999999999989,0
15,15,17.448,17.500999999999998,p,p,s,0.05300000000000082,0
16,16,17.500999999999998,18.198,s,s,p,0.6969999999999992,0
17,17,18.198,18.336,p,p,s,0.13799999999999812,0
18,18,18.336,18.547,s,s,p,0.21100000000000207,0
19,19,18.547,18.958,p,p,s,0.4109999999999978,1
22,22,18.958,20.21,s,s,p,1.2520000000000024,0
23,23,20.21,20.289,p,p,s,0.07900000000000063,0
24,24,20.289,21.683000000000003,s,s,p,1.3939999999999984,0
25,25,21.683000000000003,21.885,p,p,s,0.20200000000000173,0
26,26,21.885,23.31,s,s,p,1.4249999999999972,0
27,27,23.31,23.541,p,p,s,0.23100000000000165,0
28,28,23.541,25.625,s,s,p,2.084,0
29,29,25.625,25.71,p,p,s,0.08500000000000085,0
30,30,25.71,26.643,s,s,p,0.9329999999999998,0
31,31,26.643,27.189,p,p,s,0.5459999999999994,0
36,36,27.189,30.432,s,s,p,3.2429999999999986,0
37,37,30.432,30.511,p,p,s,0.07900000000000063,0
38,38,30.511,32.342,s,s,p,1.8309999999999995,0
39,39,32.342,32.659,p,p,s,0.31700000000000017,0
42,42,32.659,34.34,s,s,p,1.6810000000000045,0
43,43,34.34,34.665,p,p,s,0.3249999999999957,0
44,44,34.665,36.545,s,s,p,1.8800000000000023,0
45,45,36.545,36.614000000000004,p,p,s,0.06899999999999551,0
46,46,36.614000000000004,37.025,s,s,p,0.41100000000000136,0
47,47,37.025,37.083,p,p,s,0.05799999999999982,0
48,48,37.083,37.911,s,s,p,0.828000000000003,0
49,49,37.911,38.8,p,p,s,0.8889999999999958,1
58,58,38.8,40.660997732426296,s,s,p,1.8609977324263056,0
