level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.762,s,,2.762
3,3,2.762,3.898,p,s,1.1360000000000001
10,10,3.898,4.443,s,p,0.5449999999999995
11,11,4.443,4.895,p,s,0.45199999999999996
12,12,4.895,5.543,s,p,0.6480000000000006
13,13,5.543,5.6370000000000005,p,s,0.0940000000000003
14,14,5.6370000000000005,7.111,s,p,1.4739999999999993
15,15,7.111,7.277,p,s,0.16600000000000037
16,16,7.277,7.381,s,p,0.10400000000000009
17,17,7.381,10.114,p,s,2.7330000000000005
26,26,10.114,10.875,s,p,0.7609999999999992
27,27,10.875,11.019,p,s,0.14400000000000013
28,28,11.019,12.135,s,p,1.1159999999999997
29,29,12.135,12.865,p,s,0.7300000000000004
34,34,12.865,13.019,s,p,0.15399999999999991
35,35,13.019,13.27,p,s,0.25099999999999945
36,36,13.27,13.809,s,p,0.5389999999999997
37,37,13.809,14.190999999999999,p,s,0.3819999999999997
40,40,14.190999999999999,15.19,s,p,0.9990000000000006
41,41,15.19,16.0,p,s,0.8100000000000005
46,46,16.0,16.381,s,p,0.3810000000000002
47,47,16.381,16.457,p,s,0.07600000000000051
48,48,16.457,16.908,s,p,0.4510000000000005
49,49,16.908,17.465,p,s,0.5569999999999986
52,52,17.465,18.0,s,p,0.5350000000000001
53,53,18.0,18.292,p,s,0.2920000000000016
56,56,18.292,18.654,s,p,0.3619999999999983
57,57,18.654,18.874,p,s,0.21999999999999886
58,58,18.874,19.485,s,p,0.6110000000000007
59,59,19.485,20.123,p,s,0.6380000000000017
62,62,20.123,21.992,s,p,1.8689999999999998
63,63,21.992,22.156,p,s,0.16399999999999793
64,64,22.156,22.376,s,p,0.22000000000000242
65,65,22.376,22.549,p,s,0.17299999999999827
66,66,22.549,22.979,s,p,0.4299999999999997
67,67,22.979,23.523,p,s,0.5440000000000005
72,72,23.523,25.254,s,p,1.7310000000000016
73,73,25.254,25.634,p,s,0.379999999999999
74,74,25.634,26.132,s,p,0.4980000000000011
75,75,26.132,27.409,p,s,1.2769999999999975
80,80,27.409,27.658,s,p,0.24900000000000233
81,81,27.658,27.751,p,s,0.09299999999999997
82,82,27.751,28.003,s,p,0.2519999999999989
83,83,28.003,29.802,p,s,1.7989999999999995
86,86,29.802,30.376,s,p,0.5740000000000016
87,87,30.376,31.232,p,s,0.8559999999999981
88,88,31.232,32.095,s,p,0.8629999999999995
89,89,32.095,32.785,p,s,0.6899999999999977
92,92,32.785,33.61,s,p,0.8250000000000028
93,93,33.61,33.744,p,s,0.13400000000000034
94,94,33.744,35.58,s,p,1.8359999999999985
95,95,35.58,36.4,p,s,0.8200000000000003
96,96,36.4,36.793,s,p,0.3930000000000007
97,97,36.793,36.844,p,s,0.05100000000000193
98,98,36.844,36.961,s,p,0.11699999999999733
99,99,36.961,37.351,p,s,0.39000000000000057
100,100,37.351,38.368,s,p,1.017000000000003
101,101,38.368,38.761,p,s,0.3930000000000007
102,102,38.761,39.522,s,p,0.7609999999999957
103,103,39.522,40.108,p,s,0.5859999999999985
104,104,40.108,40.527,s,p,0.41900000000000404
105,105,40.527,40.584,p,s,0.05700000000000216
106,106,40.584,41.025999999999996,s,p,0.44199999999999307
107,107,41.025999999999996,41.141,p,s,0.11500000000000199
108,108,41.141,42.069,s,p,0.9280000000000044
109,109,42.069,44.037,p,s,1.9679999999999964
112,112,44.037,44.185,s,p,0.14800000000000324
113,113,44.185,44.650999999999996,p,s,0.465999999999994
114,114,44.650999999999996,44.781,s,p,0.13000000000000256
115,115,44.781,46.573,p,s,1.7920000000000016
122,122,46.573,47.077,s,p,0.5039999999999978
123,123,47.077,47.373,p,s,0.2959999999999994
124,124,47.373,48.0,s,p,0.6270000000000024
125,125,48.0,48.085,p,s,0.08500000000000085
126,126,48.085,48.219,s,p,0.13400000000000034
127,127,48.219,48.961,p,s,0.7419999999999973
128,128,48.961,49.079,s,p,0.1180000000000021
129,129,49.079,49.427,p,s,0.347999999999999
130,130,49.427,49.71,s,p,0.28300000000000125
