level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.204,s,,2.204
1,1,2.204,2.573,p,s,0.3689999999999998
4,4,2.573,4.622,s,p,2.049
5,5,4.622,5.4030000000000005,p,s,0.7810000000000006
8,8,5.4030000000000005,8.172,s,p,2.769
9,9,8.172,8.561,p,s,0.38899999999999935
12,12,8.561,10.36,s,p,1.7989999999999995
13,13,10.36,10.763,p,s,0.40300000000000047
14,14,10.763,13.404,s,p,2.641
15,15,13.404,13.477,p,s,0.0730000000000004
16,16,13.477,13.593,s,p,0.11599999999999966
17,17,13.593,13.896,p,s,0.3030000000000008
18,18,13.896,15.464,s,p,1.5679999999999996
19,19,15.464,15.983,p,s,0.5190000000000001
20,20,15.983,16.983,s,p,1.0
21,21,16.983,17.048000000000002,p,s,0.06500000000000128
22,22,17.048000000000002,18.093,s,p,1.0449999999999982
23,23,18.093,18.166,p,s,0.0730000000000004
24,24,18.166,19.563,s,p,1.3969999999999985
25,25,19.563,19.619,p,s,0.05600000000000094
26,26,19.619,20.106,s,p,0.4870000000000019
27,27,20.106,20.764,p,s,0.6579999999999977
30,30,20.764,21.579,s,p,0.8150000000000013
31,31,21.579,21.758,p,s,0.1789999999999985
32,32,21.758,24.243,s,p,2.4849999999999994
33,33,24.243,24.321,p,s,0.07800000000000296
34,34,24.321,25.882,s,p,1.561
35,35,25.882,26.231,p,s,0.3490000000000002
36,36,26.231,26.836,s,p,0.6049999999999969
37,37,26.836,26.903,p,s,0.06700000000000017
38,38,26.903,28.589,s,p,1.686
39,39,28.589,29.168,p,s,0.5790000000000006
42,42,29.168,32.133,s,p,2.9650000000000034
43,43,32.133,32.841,p,s,0.7079999999999984
48,48,32.841,33.126,s,p,0.2849999999999966
49,49,33.126,33.295,p,s,0.16900000000000404
50,50,33.295,35.057,s,p,1.7620000000000005
51,51,35.057,35.679,p,s,0.6219999999999999
56,56,35.679,38.332,s,p,2.6529999999999987
57,57,38.332,38.436,p,s,0.1039999999999992
58,58,38.436,39.27,s,p,0.8340000000000032
59,59,39.27,39.727,p,s,0.45699999999999363
60,60,39.727,40.83,s,p,1.1030000000000015
61,61,40.83,40.886,p,s,0.05600000000000449
62,62,40.886,41.025,s,p,0.1389999999999958
63,63,41.025,41.092,p,s,0.06700000000000017
64,64,41.092,42.272,s,p,1.1799999999999997
65,65,42.272,42.356,p,s,0.08400000000000318
66,66,42.356,43.377,s,p,1.0210000000000008
67,67,43.377,43.445,p,s,0.06799999999999784
68,68,43.445,45.47299319727891,s,p,2.02799319727891
