level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,3.455,s,,3.455,s,0
1,1,3.455,4.039,p,s,0.5839999999999996,p,0
4,4,4.039,5.6979999999999995,s,p,1.6590000000000007,s,0
5,5,5.6979999999999995,5.754,p,s,0.05599999999999916,p,0
6,6,5.754,6.242000000000001,s,p,0.4880000000000004,s,0
7,7,6.242000000000001,6.5729999999999995,p,s,0.3310000000000004,p,0
12,12,6.5729999999999995,7.157,s,p,0.5839999999999996,s,0
13,13,7.157,7.382000000000001,p,s,0.22499999999999964,p,0
14,14,7.382000000000001,9.062000000000001,s,p,1.6799999999999995,s,0
15,15,9.062000000000001,9.139,p,s,0.07699999999999996,p,0
16,16,9.139,10.965,s,p,1.8260000000000003,s,0
17,17,10.965,11.052,p,s,0.08699999999999974,p,0
18,18,11.052,11.33,s,p,0.2780000000000005,s,0
19,19,11.33,11.384,p,s,0.05400000000000027,p,0
20,20,11.384,11.562999999999999,s,p,0.17900000000000027,s,0
21,21,11.562999999999999,12.088,p,s,0.5249999999999986,p,0
24,24,12.088,12.970999999999998,s,p,0.8830000000000009,s,0
25,25,12.970999999999998,13.036,p,s,0.0649999999999995,p,0
26,26,13.036,13.572000000000001,s,p,0.5359999999999996,s,0
27,27,13.572000000000001,13.87,p,s,0.2980000000000018,p,0
28,28,13.87,15.520999999999999,s,p,1.6509999999999998,s,0
29,29,15.520999999999999,15.755,p,s,0.234,p,0
30,30,15.755,16.734,s,p,0.9790000000000011,s,0
31,31,16.734,16.813,p,s,0.07899999999999707,p,0
32,32,16.813,17.157,s,p,0.3440000000000012,s,0
33,33,17.157,17.343,p,s,0.18599999999999994,p,0
34,34,17.343,17.489,s,p,0.1460000000000008,p,1
35,35,17.489,17.665,p,s,0.17599999999999838,p,0
36,36,17.665,20.081,s,p,2.4160000000000004,s,0
37,37,20.081,20.555,p,s,0.4740000000000002,p,0
38,38,20.555,22.177,s,p,1.622,s,0
39,39,22.177,22.73,p,s,0.5530000000000008,p,0
40,40,22.73,23.756999999999998,s,p,1.027000000000001,s,0
41,41,23.756999999999998,23.854,p,s,0.09699999999999777,p,0
42,42,23.854,24.699,s,p,0.8450000000000024,s,0
43,43,24.699,24.803,p,s,0.1039999999999992,p,0
44,44,24.803,25.733,s,p,0.9299999999999996,s,0
45,45,25.733,26.175,p,s,0.44200000000000017,p,0
48,48,26.175,27.454,s,p,1.2790000000000001,s,0
49,49,27.454,27.539,p,s,0.08500000000000085,p,0
50,50,27.539,29.541,s,p,2.001999999999999,s,0
51,51,29.541,30.086,p,s,0.5449999999999982,p,0
54,54,30.086,32.41,s,p,2.323999999999998,s,0
55,55,32.41,33.352,p,s,0.9420000000000002,p,0
58,58,33.352,35.049,s,p,1.6970000000000027,s,0
59,59,35.049,35.244,p,s,0.19500000000000028,p,0
60,60,35.244,36.774,s,p,1.5300000000000011,s,0
61,61,36.774,37.291,p,s,0.5169999999999959,p,0
62,62,37.291,38.376,s,p,1.0850000000000009,s,0
63,63,38.376,38.486,p,s,0.10999999999999943,p,0
64,64,38.486,39.932993197278904,s,p,1.446993197278914,s,0
