level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,3.455,s,s,,3.455,0
1,1,3.455,4.039,p,p,s,0.5839999999999996,0
4,4,4.039,5.6979999999999995,s,s,p,1.6590000000000007,0
5,5,5.6979999999999995,5.754,p,p,s,0.05599999999999916,0
6,6,5.754,6.242000000000001,s,s,p,0.4880000000000004,0
7,7,6.242000000000001,6.5729999999999995,p,p,s,0.3310000000000004,0
12,12,6.5729999999999995,7.157,s,s,p,0.5839999999999996,0
13,13,7.157,7.382000000000001,p,p,s,0.22499999999999964,0
14,14,7.382000000000001,9.062000000000001,s,s,p,1.6799999999999995,0
15,15,9.062000000000001,9.139,p,p,s,0.07699999999999996,0
16,16,9.139,10.965,s,s,p,1.8260000000000003,0
17,17,10.965,11.052,p,p,s,0.08699999999999974,0
18,18,11.052,11.33,s,s,p,0.2780000000000005,0
19,19,11.33,11.384,p,p,s,0.05400000000000027,0
20,20,11.384,11.562999999999999,s,s,p,0.17900000000000027,0
21,21,11.562999999999999,12.088,p,p,s,0.5249999999999986,0
24,24,12.088,12.970999999999998,s,s,p,0.8830000000000009,0
25,25,12.970999999999998,13.036,p,p,s,0.0649999999999995,0
26,26,13.036,13.572000000000001,s,s,p,0.5359999999999996,0
27,27,13.572000000000001,13.87,p,p,s,0.2980000000000018,0
28,28,13.87,15.520999999999999,s,s,p,1.6509999999999998,0
29,29,15.520999999999999,15.755,p,p,s,0.234,0
30,30,15.755,16.734,s,s,p,0.9790000000000011,0
31,31,16.734,16.813,p,p,s,0.07899999999999707,0
32,32,16.813,17.157,s,s,p,0.3440000000000012,0
33,33,17.157,17.665,p,p,s,0.5079999999999991,1
36,36,17.665,20.081,s,s,p,2.4160000000000004,0
37,37,20.081,20.555,p,p,s,0.4740000000000002,0
38,38,20.555,22.177,s,s,p,1.622,0
39,39,22.177,22.73,p,p,s,0.5530000000000008,0
40,40,22.73,23.756999999999998,s,s,p,1.027000000000001,0
41,41,23.756999999999998,23.854,p,p,s,0.09699999999999777,0
42,42,23.854,24.699,s,s,p,0.8450000000000024,0
43,43,24.699,24.803,p,p,s,0.1039999999999992,0
44,44,24.803,25.733,s,s,p,0.9299999999999996,0
45,45,25.733,26.175,p,p,s,0.44200000000000017,0
48,48,26.175,27.454,s,s,p,1.2790000000000001,0
49,49,27.454,27.539,p,p,s,0.08500000000000085,0
50,50,27.539,29.541,s,s,p,2.001999999999999,0
51,51,29.541,30.086,p,p,s,0.5449999999999982,0
54,54,30.086,32.41,s,s,p,2.323999999999998,0
55,55,32.41,33.352,p,p,s,0.9420000000000002,0
58,58,33.352,35.049,s,s,p,1.6970000000000027,0
59,59,35.049,35.244,p,p,s,0.19500000000000028,0
60,60,35.244,36.774,s,s,p,1.5300000000000011,0
61,61,36.774,37.291,p,p,s,0.5169999999999959,0
62,62,37.291,38.376,s,s,p,1.0850000000000009,0
63,63,38.376,38.486,p,p,s,0.10999999999999943,0
64,64,38.486,39.932993197278904,s,s,p,1.446993197278914,0
