level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.309,s,,2.309
1,1,2.309,2.592,p,s,0.2829999999999999
2,2,2.592,4.052,s,p,1.4599999999999995
3,3,4.052,4.74,p,s,0.6880000000000006
4,4,4.74,7.395,s,p,2.6549999999999994
5,5,7.395,7.873,p,s,0.47800000000000065
6,6,7.873,9.69,s,p,1.8169999999999993
7,7,9.69,10.179,p,s,0.48900000000000077
12,12,10.179,12.516,s,p,2.3369999999999997
13,13,12.516,12.919,p,s,0.40300000000000047
14,14,12.919,14.231,s,p,1.3119999999999994
15,15,14.231,14.716000000000001,p,s,0.4850000000000012
16,16,14.716000000000001,15.236,s,p,0.5199999999999996
17,17,15.236,15.496,p,s,0.2599999999999998
18,18,15.496,15.919,s,p,0.42300000000000004
19,19,15.919,16.205,p,s,0.2859999999999978
22,22,16.205,17.662,s,p,1.4570000000000007
23,23,17.662,18.0,p,s,0.33800000000000097
26,26,18.0,19.5,s,p,1.5
27,27,19.5,20.062,p,s,0.5620000000000012
28,28,20.062,22.65,s,p,2.5879999999999974
29,29,22.65,23.072,p,s,0.4220000000000006
32,32,23.072,24.723,s,p,1.6509999999999998
33,33,24.723,25.145,p,s,0.4220000000000006
34,34,25.145,27.147,s,p,2.001999999999999
35,35,27.147,27.477,p,s,0.33000000000000185
36,36,27.477,28.634,s,p,1.157
37,37,28.634,28.828,p,s,0.19399999999999906
38,38,28.828,28.979,s,p,0.1509999999999998
39,39,28.979,29.379,p,s,0.40000000000000213
40,40,29.379,31.018,s,p,1.6389999999999993
41,41,31.018,31.569,p,s,0.5509999999999984
42,42,31.569,33.5,s,p,1.931000000000001
43,43,33.5,33.817,p,s,0.31700000000000017
44,44,33.817,34.571,s,p,0.7539999999999978
45,45,34.571,34.926,p,s,0.355000000000004
46,46,34.926,36.5,s,p,1.573999999999998
47,47,36.5,36.816,p,s,0.3160000000000025
50,50,36.816,38.336,s,p,1.519999999999996
51,51,38.336,38.671,p,s,0.33500000000000085
54,54,38.671,39.485,s,p,0.8140000000000001
55,55,39.485,39.541,p,s,0.055999999999997385
56,56,39.541,39.796,s,p,0.25500000000000256
57,57,39.796,39.863,p,s,0.06700000000000017
58,58,39.863,41.159,s,p,1.2959999999999994
