level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,2.309,s,s,,2.309,0
1,1,2.309,2.592,p,p,s,0.2829999999999999,0
2,2,2.592,4.052,s,s,p,1.4599999999999995,0
3,3,4.052,4.74,p,p,s,0.6880000000000006,0
4,4,4.74,7.395,s,s,p,2.655,0
5,5,7.395,7.872999999999999,p,p,s,0.4780000000000007,0
6,6,7.872999999999999,9.69,s,s,p,1.8169999999999995,0
7,7,9.69,10.179,p,p,s,0.4890000000000008,0
12,12,10.179,12.515999999999998,s,s,p,2.337,0
13,13,12.515999999999998,12.919,p,p,s,0.4030000000000005,0
14,14,12.919,14.231,s,s,p,1.3119999999999994,0
15,15,14.231,14.716,p,p,s,0.4850000000000012,0
16,16,14.716,15.235999999999999,s,s,p,0.5199999999999996,0
17,17,15.235999999999999,15.495999999999999,p,p,s,0.2599999999999998,0
18,18,15.495999999999999,15.919,s,s,p,0.423,0
19,19,15.919,16.205,p,p,s,0.2859999999999978,0
22,22,16.205,17.662,s,s,p,1.4570000000000007,0
23,23,17.662,18.0,p,p,s,0.33800000000000097,0
26,26,18.0,19.5,s,s,p,1.5,0
27,27,19.5,20.062,p,p,s,0.5620000000000012,0
28,28,20.062,22.65,s,s,p,2.5879999999999974,0
29,29,22.65,23.072,p,p,s,0.4220000000000006,0
32,32,23.072,24.723000000000003,s,s,p,1.6509999999999998,0
33,33,24.723000000000003,25.145,p,p,s,0.4220000000000006,0
34,34,25.145,27.147,s,s,p,2.001999999999999,0
35,35,27.147,27.476999999999997,p,p,s,0.33000000000000185,0
36,36,27.476999999999997,28.634,s,s,p,1.157,0
37,37,28.634,29.379,p,p,s,0.745000000000001,1
40,40,29.379,31.018,s,s,p,1.6389999999999991,0
41,41,31.018,31.569000000000003,p,p,s,0.5509999999999984,0
42,42,31.569000000000003,33.5,s,s,p,1.931000000000001,0
43,43,33.5,33.817,p,p,s,0.31700000000000017,0
44,44,33.817,34.571,s,s,p,0.7539999999999978,0
45,45,34.571,34.926,p,p,s,0.3550000000000039,0
46,46,34.926,36.5,s,s,p,1.5739999999999978,0
47,47,36.5,36.816,p,p,s,0.3160000000000025,0
50,50,36.816,38.336,s,s,p,1.5199999999999958,0
51,51,38.336,38.671,p,p,s,0.33500000000000085,0
54,54,38.671,39.485,s,s,p,0.8140000000000001,0
55,55,39.485,39.541,p,p,s,0.05599999999999738,0
56,56,39.541,39.796,s,s,p,0.25500000000000256,0
57,57,39.796,39.863,p,p,s,0.06700000000000017,0
58,58,39.863,41.159,s,s,p,1.2959999999999994,0
