level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.37,s,,1.37
1,1,1.37,1.517,p,s,0.1469999999999998
2,2,1.517,2.884,s,p,1.367
3,3,2.884,3.309,p,s,0.42500000000000027
6,6,3.309,4.668,s,p,1.359
7,7,4.668,5.1129999999999995,p,s,0.4449999999999994
10,10,5.1129999999999995,6.518,s,p,1.4050000000000002
11,11,6.518,7.005,p,s,0.4870000000000001
14,14,7.005,8.47,s,p,1.4650000000000007
15,15,8.47,8.66,p,s,0.1899999999999995
16,16,8.66,10.015,s,p,1.3550000000000004
17,17,10.015,10.483,p,s,0.46799999999999997
18,18,10.483,12.8,s,p,2.317
19,19,12.8,13.072,p,s,0.27199999999999847
20,20,13.072,14.396,s,p,1.3240000000000016
21,21,14.396,14.522,p,s,0.12599999999999945
24,24,14.522,16.204,s,p,1.6820000000000004
25,25,16.204,17.008,p,s,0.8039999999999985
28,28,17.008,17.348,s,p,0.33999999999999986
29,29,17.348,17.519,p,s,0.17099999999999937
30,30,17.519,18.763,s,p,1.2440000000000033
31,31,18.763,19.458,p,s,0.6949999999999967
36,36,19.458,20.484,s,p,1.0260000000000034
37,37,20.484,20.594,p,s,0.10999999999999943
38,38,20.594,22.581,s,p,1.9869999999999983
39,39,22.581,22.935,p,s,0.3539999999999992
42,42,22.935,23.254,s,p,0.3190000000000026
43,43,23.254,23.686,p,s,0.4319999999999986
44,44,23.686,24.498,s,p,0.8120000000000012
45,45,24.498,25.344,p,s,0.8460000000000001
50,50,25.344,26.386,s,p,1.041999999999998
51,51,26.386,26.518,p,s,0.13200000000000145
52,52,26.518,28.545,s,p,2.027000000000001
53,53,28.545,28.996,p,s,0.45099999999999696
58,58,28.996,30.517,s,p,1.5210000000000008
59,59,30.517,30.847,p,s,0.33000000000000185
60,60,30.847,31.499,s,p,0.6519999999999975
61,61,31.499,31.853,p,s,0.35400000000000276
62,62,31.853,32.234,s,p,0.3810000000000002
63,63,32.234,32.516,p,s,0.2819999999999965
64,64,32.516,33.372,s,p,0.8560000000000016
65,65,33.372,33.627,p,s,0.25500000000000256
68,68,33.627,34.892,s,p,1.2650000000000006
69,69,34.892,34.962,p,s,0.07000000000000028
70,70,34.962,35.833,s,p,0.8709999999999951
71,71,35.833,36.0,p,s,0.1670000000000016
72,72,36.0,36.854,s,p,0.8539999999999992
73,73,36.854,36.969,p,s,0.11500000000000199
74,74,36.969,37.518,s,p,0.5489999999999995
75,75,37.518,37.769,p,s,0.25099999999999767
78,78,37.769,38.757,s,p,0.9879999999999995
79,79,38.757,39.221,p,s,0.46399999999999864
82,82,39.221,39.773,s,p,0.5520000000000067
83,83,39.773,40.001,p,s,0.22799999999999443
84,84,40.001,42.065,s,p,2.064
85,85,42.065,42.473,p,s,0.40800000000000125
86,86,42.473,42.58,s,p,0.10699999999999932
87,87,42.58,42.899,p,s,0.3190000000000026
90,90,42.899,43.795,s,p,0.8960000000000008
91,91,43.795,44.106,p,s,0.31099999999999994
92,92,44.106,44.837,s,p,0.7310000000000016
93,93,44.837,45.522,p,s,0.6849999999999952
98,98,45.522,46.069,s,p,0.5470000000000041
99,99,46.069,46.583,p,s,0.5139999999999958
104,104,46.583,47.492,s,p,0.9089999999999989
105,105,47.492,47.549,p,s,0.05700000000000216
106,106,47.549,48.024,s,p,0.4750000000000014
107,107,48.024,48.511,p,s,0.4870000000000019
110,110,48.511,52.349,s,p,3.837999999999994
