level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.928,s,,1.928
1,1,1.928,2.123,p,s,0.19500000000000028
2,2,2.123,3.609,s,p,1.4859999999999998
3,3,3.609,4.325,p,s,0.7160000000000002
6,6,4.325,6.82,s,p,2.495
7,7,6.82,7.415,p,s,0.5949999999999998
8,8,7.415,9.371,s,p,1.9560000000000004
9,9,9.371,9.966,p,s,0.5949999999999989
12,12,9.966,11.629,s,p,1.6630000000000003
13,13,11.629,11.863,p,s,0.23399999999999999
14,14,11.863,12.825,s,p,0.9619999999999997
15,15,12.825,13.544,p,s,0.7190000000000012
16,16,13.544,15.196,s,p,1.6519999999999992
17,17,15.196,16.082,p,s,0.886000000000001
20,20,16.082,19.347,s,p,3.2650000000000006
21,21,19.347,19.434,p,s,0.08699999999999974
22,22,19.434,19.76,s,p,0.3260000000000005
23,23,19.76,20.233,p,s,0.472999999999999
24,24,20.233,22.033,s,p,1.8000000000000007
25,25,22.033,22.433,p,s,0.3999999999999986
26,26,22.433,23.429,s,p,0.9959999999999987
27,27,23.429,23.901,p,s,0.4720000000000013
28,28,23.901,24.421,s,p,0.5199999999999996
29,29,24.421,25.125,p,s,0.7040000000000006
34,34,25.125,25.741,s,p,0.6159999999999997
35,35,25.741,25.921,p,s,0.17999999999999972
36,36,25.921,27.162,s,p,1.2409999999999997
37,37,27.162,27.587,p,s,0.4250000000000007
38,38,27.587,28.834,s,p,1.2469999999999999
39,39,28.834,28.989,p,s,0.15500000000000114
40,40,28.989,29.271,s,p,0.28200000000000003
41,41,29.271,29.368,p,s,0.09699999999999775
42,42,29.368,30.186,s,p,0.8180000000000014
43,43,30.186,30.631,p,s,0.4450000000000003
44,44,30.631,31.765,s,p,1.1340000000000003
45,45,31.765,32.287,p,s,0.5219999999999985
48,48,32.287,33.183,s,p,0.8960000000000008
49,49,33.183,33.656,p,s,0.472999999999999
50,50,33.656,34.66,s,p,1.0039999999999978
51,51,34.66,35.045,p,s,0.3850000000000051
54,54,35.045,36.224,s,p,1.178999999999995
55,55,36.224,36.465,p,s,0.24100000000000676
56,56,36.465,37.377,s,p,0.911999999999999
57,57,37.377,38.464,p,s,1.0869999999999962
58,58,38.464,38.81,s,p,0.34600000000000364
59,59,38.81,38.938,p,s,0.1280000000000001
60,60,38.938,39.488,s,p,0.5499999999999972
61,61,39.488,40.441,p,s,0.953000000000003
62,62,40.441,41.503,s,p,1.0619999999999976
63,63,41.503,41.719,p,s,0.21600000000000108
64,64,41.719,42.497,s,p,0.7779999999999987
65,65,42.497,42.855,p,s,0.357999999999997
66,66,42.855,43.63,s,p,0.7750000000000057
67,67,43.63,43.698,p,s,0.06799999999999784
68,68,43.698,44.763,s,p,1.0649999999999977
69,69,44.763,44.824,p,s,0.06099999999999994
70,70,44.824,45.456,s,p,0.632000000000005
71,71,45.456,45.868,p,s,0.41199999999999903
72,72,45.868,46.744,s,p,0.8759999999999977
73,73,46.744,47.153,p,s,0.4089999999999989
74,74,47.153,49.493,s,p,2.3400000000000034
