level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.659,s,,1.659
1,1,1.659,1.78,p,s,0.121
2,2,1.78,3.285,s,p,1.5050000000000001
3,3,3.285,3.775,p,s,0.48999999999999977
4,4,3.775,5.739,s,p,1.964
5,5,5.739,6.228,p,s,0.4889999999999999
6,6,6.228,7.744,s,p,1.516
7,7,7.744,8.349,p,s,0.6050000000000004
10,10,8.349,10.659,s,p,2.3100000000000005
11,11,10.659,11.189,p,s,0.5299999999999994
12,12,11.189,12.377,s,p,1.1880000000000006
13,13,12.377,12.793,p,s,0.4159999999999986
14,14,12.793,15.58,s,p,2.787000000000001
15,15,15.58,16.484,p,s,0.9040000000000017
16,16,16.484,18.645,s,p,2.160999999999998
17,17,18.645,19.145,p,s,0.5
18,18,19.145,20.376,s,p,1.2310000000000016
19,19,20.376,20.814,p,s,0.43799999999999883
20,20,20.814,22.363,s,p,1.5489999999999995
21,21,22.363,22.752,p,s,0.38899999999999935
22,22,22.752,23.708,s,p,0.9559999999999995
23,23,23.708,24.064,p,s,0.35600000000000165
24,24,24.064,25.425,s,p,1.3610000000000007
25,25,25.425,25.509,p,s,0.08399999999999963
26,26,25.509,25.858,s,p,0.3490000000000002
27,27,25.858,26.305,p,s,0.4469999999999992
28,28,26.305,28.359,s,p,2.054000000000002
29,29,28.359,28.868,p,s,0.5089999999999968
30,30,28.868,29.616,s,p,0.7480000000000011
31,31,29.616,29.766,p,s,0.14999999999999858
32,32,29.766,30.281,s,p,0.5150000000000006
33,33,30.281,30.719,p,s,0.4380000000000024
34,34,30.719,32.011,s,p,1.2920000000000016
35,35,32.011,32.447,p,s,0.43599999999999994
36,36,32.447,34.762,s,p,2.3149999999999977
