level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,1.351,s,,1.351,s,0
1,1,1.351,1.815,p,s,0.464,p,0
4,4,1.815,2.041,s,p,0.226,s,0
5,5,2.041,2.327,p,s,0.28600000000000003,p,0
6,6,2.327,3.903,s,p,1.5759999999999998,s,0
7,7,3.903,3.985,p,s,0.08199999999999985,p,0
8,8,3.985,5.2780000000000005,s,p,1.2930000000000006,s,0
9,9,5.2780000000000005,5.819,p,s,0.5409999999999995,p,0
10,10,5.819,6.521,s,p,0.7020000000000001,s,0
11,11,6.521,7.627999999999999,p,s,1.1070000000000002,p,0
14,14,7.627999999999999,8.019,s,p,0.391,s,0
15,15,8.019,8.129,p,s,0.10999999999999943,p,0
16,16,8.129,8.758,s,p,0.6289999999999996,s,0
17,17,8.758,9.154,p,s,0.3960000000000008,p,0
18,18,9.154,10.651,s,p,1.497,s,0
19,19,10.651,10.741,p,s,0.08999999999999986,p,0
20,20,10.741,11.324000000000002,s,p,0.5830000000000002,s,0
21,21,11.324000000000002,12.642000000000001,p,s,1.3179999999999996,p,0
24,24,12.642000000000001,15.0,s,p,2.3580000000000005,s,0
25,25,15.0,15.319,p,s,0.31900000000000084,p,0
28,28,15.319,17.192999999999998,s,p,1.8740000000000008,s,0
29,29,17.192999999999998,17.67,p,s,0.4770000000000003,p,0
30,30,17.67,18.678,s,p,1.0079999999999991,s,0
31,31,18.678,18.746,p,s,0.06799999999999784,p,0
32,32,18.746,18.979,s,p,0.2330000000000005,s,0
33,33,18.979,19.08,p,s,0.10099999999999908,p,0
34,34,19.08,19.185,s,p,0.10500000000000044,s,0
35,35,19.185,19.755,p,s,0.5700000000000003,p,0
36,36,19.755,20.256,s,p,0.5010000000000012,s,0
37,37,20.256,20.77,p,s,0.5139999999999993,p,0
38,38,20.77,22.395,s,p,1.625,s,0
39,39,22.395,22.624000000000002,p,s,0.2289999999999992,p,0
40,40,22.624000000000002,23.153000000000002,s,p,0.5289999999999999,s,0
41,41,23.153000000000002,23.898000000000003,p,s,0.745000000000001,p,0
44,44,23.898000000000003,24.15,s,p,0.2519999999999989,s,0
45,45,24.15,24.605999999999998,p,s,0.4560000000000031,p,0
46,46,24.605999999999998,25.623,s,p,1.0169999999999997,s,0
47,47,25.623,25.715,p,s,0.09199999999999876,p,0
48,48,25.715,25.945,s,p,0.23000000000000045,s,0
49,49,25.945,26.0,p,s,0.054999999999999716,p,0
50,50,26.0,26.811,s,p,0.8109999999999999,s,0
51,51,26.811,26.866,p,s,0.054999999999999716,p,0
52,52,26.866,27.273000000000003,s,p,0.407,s,0
53,53,27.273000000000003,27.451999999999998,p,s,0.17900000000000205,p,0
54,54,27.451999999999998,27.979,s,p,0.5269999999999975,s,0
55,55,27.979,28.078000000000003,p,s,0.0990000000000002,p,0
56,56,28.078000000000003,28.35,s,p,0.27200000000000196,s,0
57,57,28.35,28.735,p,s,0.384999999999998,p,0
