level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.567,s,,1.567
1,1,1.567,1.683,p,s,0.1160000000000001
2,2,1.683,2.538,s,p,0.8549999999999998
3,3,2.538,2.62,p,s,0.0820000000000003
4,4,2.62,3.731,s,p,1.1109999999999998
5,5,3.731,3.809,p,s,0.07800000000000029
6,6,3.809,4.9830000000000005,s,p,1.1740000000000004
7,7,4.9830000000000005,5.575,p,s,0.5919999999999996
8,8,5.575,5.8260000000000005,s,p,0.25100000000000033
9,9,5.8260000000000005,5.965,p,s,0.13899999999999935
10,10,5.965,8.793,s,p,2.8279999999999994
11,11,8.793,9.612,p,s,0.8190000000000008
12,12,9.612,11.57,s,p,1.9580000000000002
13,13,11.57,12.186,p,s,0.6159999999999997
16,16,12.186,13.727,s,p,1.5410000000000004
17,17,13.727,13.83,p,s,0.10299999999999976
18,18,13.83,14.64,s,p,0.8100000000000005
19,19,14.64,14.954,p,s,0.31400000000000006
20,20,14.954,15.677,s,p,0.722999999999999
21,21,15.677,15.778,p,s,0.10100000000000087
22,22,15.778,16.475,s,p,0.697000000000001
23,23,16.475,16.862000000000002,p,s,0.38700000000000045
24,24,16.862000000000002,17.216,s,p,0.3539999999999992
25,25,17.216,17.417,p,s,0.2010000000000005
26,26,17.417,18.0,s,p,0.5829999999999984
27,27,18.0,18.086,p,s,0.08599999999999852
28,28,18.086,18.74,s,p,0.6539999999999999
29,29,18.74,19.149,p,s,0.4090000000000025
30,30,19.149,19.32,s,p,0.17099999999999937
31,31,19.32,19.443,p,s,0.12300000000000111
32,32,19.443,20.322,s,p,0.8789999999999978
33,33,20.322,20.981,p,s,0.6590000000000025
36,36,20.981,22.259,s,p,1.2779999999999987
37,37,22.259,22.355,p,s,0.09600000000000009
38,38,22.355,23.943,s,p,1.588000000000001
39,39,23.943,24.0,p,s,0.05699999999999861
40,40,24.0,25.201999999999998,s,p,1.2019999999999982
41,41,25.201999999999998,26.08,p,s,0.8780000000000001
42,42,26.08,28.074,s,p,1.9940000000000033
43,43,28.074,28.546,p,s,0.47199999999999775
44,44,28.546,29.634999999999998,s,p,1.0889999999999986
45,45,29.634999999999998,30.227,p,s,0.5920000000000023
46,46,30.227,30.66,s,p,0.43299999999999983
47,47,30.66,30.73,p,s,0.07000000000000028
48,48,30.73,31.166,s,p,0.43599999999999994
49,49,31.166,31.22,p,s,0.053999999999998494
50,50,31.22,32.873,s,p,1.6529999999999987
51,51,32.873,34.104,p,s,1.2310000000000016
52,52,34.104,36.118,s,p,2.014000000000003
53,53,36.118,36.218,p,s,0.10000000000000142
54,54,36.218,36.944,s,p,0.7259999999999991
55,55,36.944,37.025,p,s,0.08099999999999596
56,56,37.025,37.669,s,p,0.6439999999999984
57,57,37.669,38.303,p,s,0.6340000000000003
58,58,38.303,40.468,s,p,2.1650000000000063
59,59,40.468,41.152,p,s,0.6839999999999975
62,62,41.152,43.585,s,p,2.433
63,63,43.585,44.329,p,s,0.7439999999999998
64,64,44.329,45.576,s,p,1.2469999999999999
65,65,45.576,46.234,p,s,0.6580000000000013
66,66,46.234,46.931,s,p,0.6969999999999956
67,67,46.931,47.841,p,s,0.9100000000000037
70,70,47.841,49.767,s,p,1.926000000000002
71,71,49.767,50.56,p,s,0.7929999999999993
74,74,50.56,52.895,s,p,2.335000000000001
75,75,52.895,52.965,p,s,0.07000000000000028
76,76,52.965,53.136,s,p,0.17099999999999937
77,77,53.136,53.289,p,s,0.1529999999999987
78,78,53.289,54.045,s,p,0.7560000000000002
79,79,54.045,54.115,p,s,0.07000000000000028
