level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,0.9159999999999999,s,s,,0.9159999999999999,0
1,1,0.9159999999999999,1.156,p,p,s,0.2399999999999999,0
2,2,1.156,2.352,s,s,p,1.196,0
3,3,2.352,2.469,p,p,s,0.117,0
4,4,2.469,4.212,s,s,p,1.743,0
5,5,4.212,4.817,p,p,s,0.6050000000000004,1
8,8,4.817,6.0,s,s,p,1.1829999999999998,0
9,9,6.0,6.397,p,p,s,0.39700000000000013,0
10,10,6.397,7.996,s,s,p,1.5990000000000002,0
11,11,7.996,8.404,p,p,s,0.4079999999999995,1
14,14,8.404,10.096,s,s,p,1.6920000000000002,0
15,15,10.096,10.259,p,p,s,0.16300000000000026,0
16,16,10.259,10.729000000000001,s,s,p,0.4699999999999989,0
17,17,10.729000000000001,11.135,p,p,s,0.4060000000000006,1
20,20,11.135,11.912,s,s,p,0.7769999999999992,0
21,21,11.912,12.742,p,p,s,0.8300000000000018,0
22,22,12.742,12.895999999999999,s,s,p,0.15399999999999991,0
23,23,12.895999999999999,12.960999999999999,p,p,s,0.0649999999999995,0
24,24,12.960999999999999,13.945,s,s,p,0.9840000000000001,0
25,25,13.945,14.024,p,p,s,0.07900000000000063,0
26,26,14.024,14.754000000000001,s,s,p,0.7299999999999986,0
27,27,14.754000000000001,15.33,p,p,s,0.5760000000000005,0
28,28,15.33,15.856,s,s,p,0.5259999999999998,0
29,29,15.856,16.066,p,p,s,0.20999999999999908,0
30,30,16.066,17.245,s,s,p,1.179000000000002,0
31,31,17.245,17.803,p,p,s,0.5579999999999998,0
34,34,17.803,18.833,s,s,p,1.0299999999999976,0
35,35,18.833,18.945999999999998,p,p,s,0.1130000000000031,0
36,36,18.945999999999998,19.783,s,s,p,0.8369999999999997,0
37,37,19.783,19.965,p,p,s,0.1819999999999986,0
38,38,19.965,20.211,s,s,p,0.24599999999999864,0
39,39,20.211,20.55,p,p,s,0.3390000000000022,1
42,42,20.55,21.423000000000002,s,s,p,0.8729999999999976,0
43,43,21.423000000000002,21.478,p,p,s,0.05500000000000327,0
44,44,21.478,23.061999999999998,s,s,p,1.5839999999999996,0
45,45,23.061999999999998,23.13,p,p,s,0.06799999999999784,0
46,46,23.13,23.92,s,s,p,0.7900000000000027,0
47,47,23.92,24.439,p,p,s,0.5189999999999984,1
50,50,24.439,24.845,s,s,p,0.4059999999999988,0
51,51,24.845,25.179000000000002,p,p,s,0.33399999999999963,0
52,52,25.179000000000002,26.81,s,s,p,1.6310000000000002,0
53,53,26.81,26.928,p,p,s,0.1180000000000021,0
54,54,26.928,28.471,s,s,p,1.5429999999999993,0
55,55,28.471,29.291,p,p,s,0.8200000000000003,1
58,58,29.291,31.184,s,s,p,1.893000000000001,0
59,59,31.184,31.643,p,p,s,0.45899999999999963,1
62,62,31.643,32.272,s,s,p,0.6289999999999978,0
63,63,32.272,33.202,p,p,s,0.9299999999999996,0
64,64,33.202,33.952,s,s,p,0.75,0
65,65,33.952,34.214,p,p,s,0.26200000000000045,0
66,66,34.214,35.895,s,s,p,1.6810000000000045,0
67,67,35.895,35.981,p,p,s,0.08599999999999852,0
68,68,35.981,36.787,s,s,p,0.8059999999999974,0
69,69,36.787,36.853,p,p,s,0.0660000000000025,0
70,70,36.853,37.543,s,s,p,0.6899999999999977,0
71,71,37.543,37.88,p,p,s,0.3370000000000033,1
74,74,37.88,39.821,s,s,p,1.9409999999999956,0
75,75,39.821,40.227,p,p,s,0.4059999999999988,1
78,78,40.227,42.361000000000004,s,s,p,2.1340000000000003,0
79,79,42.361000000000004,42.881,p,p,s,0.5200000000000031,0
82,82,42.881,44.486999999999995,s,s,p,1.6060000000000016,0
83,83,44.486999999999995,45.107,p,p,s,0.6199999999999974,0
86,86,45.107,46.79,s,s,p,1.6829999999999998,0
87,87,46.79,47.463,p,p,s,0.6730000000000018,0
88,88,47.463,48.483999999999995,s,s,p,1.0210000000000008,0
89,89,48.483999999999995,48.64,p,p,s,0.1559999999999988,0
90,90,48.64,49.016000000000005,s,s,p,0.3759999999999977,0
91,91,49.016000000000005,49.411,p,p,s,0.3950000000000031,0
92,92,49.411,50.468999999999994,s,s,p,1.0579999999999998,0
93,93,50.468999999999994,50.998999999999995,p,p,s,0.5300000000000011,0
94,94,50.998999999999995,51.534,s,s,p,0.5349999999999966,0
95,95,51.534,51.825,p,p,s,0.2910000000000039,0
96,96,51.825,53.552,s,s,p,1.7269999999999968,0
