level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.876,s,,1.876
1,1,1.876,1.987,p,s,0.11100000000000021
2,2,1.987,2.097,s,p,0.10999999999999988
3,3,2.097,2.18,p,s,0.08300000000000018
4,4,2.18,2.671,s,p,0.49099999999999966
5,5,2.671,2.743,p,s,0.07200000000000006
6,6,2.743,3.021,s,p,0.278
7,7,3.021,3.275,p,s,0.254
8,8,3.275,4.47,s,p,1.1949999999999998
9,9,4.47,5.386,p,s,0.9160000000000004
10,10,5.386,5.938000000000001,s,p,0.5520000000000005
11,11,5.938000000000001,5.989,p,s,0.05099999999999927
12,12,5.989,6.152,s,p,0.16300000000000026
13,13,6.152,6.381,p,s,0.2290000000000001
14,14,6.381,6.965,s,p,0.5839999999999996
15,15,6.965,7.019,p,s,0.05400000000000027
16,16,7.019,7.272,s,p,0.2530000000000001
17,17,7.272,7.873,p,s,0.601
18,18,7.873,8.19,s,p,0.3169999999999993
19,19,8.19,8.44,p,s,0.25
20,20,8.44,8.936,s,p,0.49600000000000044
21,21,8.936,9.073,p,s,0.13700000000000045
22,22,9.073,9.909,s,p,0.8360000000000003
23,23,9.909,9.992,p,s,0.08300000000000018
24,24,9.992,11.448,s,p,1.4559999999999995
25,25,11.448,11.608,p,s,0.16000000000000014
26,26,11.608,11.868,s,p,0.2599999999999998
27,27,11.868,12.134,p,s,0.266
28,28,12.134,14.026,s,p,1.8919999999999995
29,29,14.026,14.256,p,s,0.23000000000000043
32,32,14.256,15.354,s,p,1.097999999999999
33,33,15.354,15.421,p,s,0.06700000000000017
34,34,15.421,16.105,s,p,0.684000000000001
35,35,16.105,16.156,p,s,0.05099999999999838
36,36,16.156,17.146,s,p,0.990000000000002
37,37,17.146,17.594,p,s,0.4480000000000004
38,38,17.594,17.7,s,p,0.1059999999999981
39,39,17.7,18.742,p,s,1.0420000000000016
40,40,18.742,21.929,s,p,3.1869999999999976
41,41,21.929,22.418,p,s,0.48900000000000077
42,42,22.418,24.062,s,p,1.644000000000002
43,43,24.062,24.235,p,s,0.17299999999999827
44,44,24.235,24.515,s,p,0.28000000000000114
45,45,24.515,24.877,p,s,0.3619999999999983
48,48,24.877,25.416,s,p,0.5390000000000015
49,49,25.416,25.552,p,s,0.13599999999999923
50,50,25.552,25.668,s,p,0.11599999999999966
51,51,25.668,26.183,p,s,0.5150000000000006
52,52,26.183,28.495,s,p,2.312000000000001
53,53,28.495,28.91,p,s,0.41499999999999915
54,54,28.91,30.329,s,p,1.4190000000000005
55,55,30.329,30.934,p,s,0.6050000000000004
56,56,30.934,31.879,s,p,0.9450000000000003
57,57,31.879,32.378,p,s,0.4989999999999988
58,58,32.378,33.441,s,p,1.0630000000000024
59,59,33.441,33.884,p,s,0.44299999999999784
60,60,33.884,34.273,s,p,0.3890000000000029
61,61,34.273,34.376,p,s,0.10299999999999443
62,62,34.376,34.766,s,p,0.39000000000000057
63,63,34.766,34.9,p,s,0.13400000000000034
64,64,34.9,35.001,s,p,0.10099999999999909
65,65,35.001,35.394,p,s,0.3930000000000007
66,66,35.394,35.896,s,p,0.5020000000000024
67,67,35.896,36.0,p,s,0.1039999999999992
68,68,36.0,36.131,s,p,0.13100000000000023
69,69,36.131,36.237,p,s,0.10600000000000165
70,70,36.237,36.863,s,p,0.6259999999999977
71,71,36.863,36.942,p,s,0.07900000000000063
72,72,36.942,38.775,s,p,1.8329999999999984
73,73,38.775,39.091,p,s,0.3160000000000025
74,74,39.091,39.585,s,p,0.4939999999999998
75,75,39.585,39.944,p,s,0.35900000000000176
76,76,39.944,41.052,s,p,1.107999999999997
77,77,41.052,41.171,p,s,0.11899999999999977
78,78,41.171,42.177,s,p,1.0060000000000002
79,79,42.177,42.268,p,s,0.09100000000000108
80,80,42.268,43.048,s,p,0.7800000000000011
81,81,43.048,43.387,p,s,0.33899999999999864
84,84,43.387,44.737,s,p,1.3500000000000014
85,85,44.737,47.39,p,s,2.6529999999999987
86,86,47.39,47.757,s,p,0.36699999999999733
87,87,47.757,47.822,p,s,0.06500000000000483
88,88,47.822,48.0,s,p,0.17799999999999727
89,89,48.0,48.051,p,s,0.05100000000000193
90,90,48.051,48.684,s,p,0.6329999999999956
91,91,48.684,48.902,p,s,0.21800000000000352
92,92,48.902,51.347,s,p,2.4450000000000003
93,93,51.347,51.407,p,s,0.05999999999999517
94,94,51.407,51.514,s,p,0.10700000000000642
95,95,51.514,51.639,p,s,0.125
96,96,51.639,53.467,s,p,1.8279999999999959
