level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,2.138,s,,2.138
1,1,2.138,2.21,p,s,0.07200000000000006
2,2,2.21,2.564,s,p,0.3540000000000001
3,3,2.564,2.629,p,s,0.06499999999999995
4,4,2.629,3.945,s,p,1.3159999999999998
5,5,3.945,4.119,p,s,0.17399999999999993
6,6,4.119,4.3580000000000005,s,p,0.23900000000000077
7,7,4.3580000000000005,4.912,p,s,0.5539999999999994
8,8,4.912,6.303,s,p,1.391
9,9,6.303,6.454,p,s,0.1509999999999998
10,10,6.454,6.858,s,p,0.4039999999999999
11,11,6.858,6.964,p,s,0.10600000000000076
12,12,6.964,7.62,s,p,0.6559999999999997
13,13,7.62,8.105,p,s,0.4850000000000003
14,14,8.105,8.907,s,p,0.8019999999999996
15,15,8.907,8.974,p,s,0.06700000000000017
16,16,8.974,9.853,s,p,0.8789999999999996
17,17,9.853,10.165,p,s,0.3119999999999994
18,18,10.165,11.077,s,p,0.9120000000000008
19,19,11.077,11.458,p,s,0.3810000000000002
20,20,11.458,11.79,s,p,0.33199999999999896
21,21,11.79,11.89,p,s,0.10000000000000142
22,22,11.89,13.788,s,p,1.8979999999999997
23,23,13.788,14.322,p,s,0.5339999999999989
24,24,14.322,15.698,s,p,1.3760000000000012
25,25,15.698,16.024,p,s,0.3260000000000005
26,26,16.024,16.8,s,p,0.7759999999999998
27,27,16.8,16.865,p,s,0.06499999999999773
28,28,16.865,17.306,s,p,0.4410000000000025
29,29,17.306,17.369,p,s,0.06299999999999883
30,30,17.369,17.526,s,p,0.15700000000000003
31,31,17.526,17.624,p,s,0.09799999999999898
32,32,17.624,18.33,s,p,0.7059999999999995
33,33,18.33,18.735,p,s,0.40500000000000114
36,36,18.735,19.429,s,p,0.6939999999999991
37,37,19.429,19.48,p,s,0.05100000000000193
38,38,19.48,19.814,s,p,0.33399999999999963
39,39,19.814,19.865,p,s,0.05099999999999838
40,40,19.865,20.257,s,p,0.392000000000003
41,41,20.257,20.794,p,s,0.536999999999999
42,42,20.794,21.747,s,p,0.9529999999999994
43,43,21.747,22.036,p,s,0.2890000000000015
44,44,22.036,24.322,s,p,2.285999999999998
45,45,24.322,24.393,p,s,0.0710000000000015
46,46,24.393,24.861,s,p,0.46799999999999997
47,47,24.861,25.043,p,s,0.1819999999999986
48,48,25.043,25.953,s,p,0.9100000000000001
49,49,25.953,26.693,p,s,0.740000000000002
52,52,26.693,27.112,s,p,0.41899999999999693
53,53,27.112,27.185,p,s,0.0730000000000004
54,54,27.185,27.686,s,p,0.5010000000000012
55,55,27.686,27.758,p,s,0.07199999999999918
56,56,27.758,28.146,s,p,0.3880000000000017
57,57,28.146,28.208,p,s,0.06199999999999761
58,58,28.208,28.849,s,p,0.6410000000000018
59,59,28.849,29.462,p,s,0.6129999999999995
60,60,29.462,30.355,s,p,0.8930000000000007
61,61,30.355,30.432,p,s,0.07699999999999818
62,62,30.432,31.84,s,p,1.4080000000000013
63,63,31.84,32.208,p,s,0.36799999999999855
66,66,32.208,32.858,s,p,0.6499999999999986
67,67,32.858,32.991,p,s,0.13300000000000267
68,68,32.991,33.11,s,p,0.11899999999999977
69,69,33.11,33.262,p,s,0.15200000000000102
70,70,33.262,34.273,s,p,1.0110000000000028
71,71,34.273,34.849,p,s,0.5759999999999934
72,72,34.849,35.591,s,p,0.7420000000000044
73,73,35.591,35.663,p,s,0.07199999999999562
74,74,35.663,36.0,s,p,0.3370000000000033
75,75,36.0,36.114,p,s,0.11399999999999721
76,76,36.114,37.121,s,p,1.007000000000005
77,77,37.121,37.214,p,s,0.09299999999999642
78,78,37.214,37.765,s,p,0.5510000000000019
79,79,37.765,37.848,p,s,0.08299999999999841
80,80,37.848,37.964,s,p,0.11599999999999966
81,81,37.964,38.546,p,s,0.5820000000000007
82,82,38.546,39.0,s,p,0.4540000000000006
83,83,39.0,39.152,p,s,0.15200000000000102
84,84,39.152,40.785,s,p,1.6329999999999956
85,85,40.785,40.858,p,s,0.0730000000000004
86,86,40.858,41.683,s,p,0.8250000000000028
87,87,41.683,42.215,p,s,0.5320000000000036
88,88,42.215,43.25,s,p,1.0349999999999966
89,89,43.25,43.685,p,s,0.4350000000000023
90,90,43.685,44.102,s,p,0.4169999999999945
91,91,44.102,44.498,p,s,0.3960000000000008
92,92,44.498,44.742,s,p,0.24399999999999977
93,93,44.742,44.959,p,s,0.21700000000000585
94,94,44.959,45.093,s,p,0.13400000000000034
95,95,45.093,46.225,p,s,1.131999999999998
98,98,46.225,47.157,s,p,0.931999999999995
99,99,47.157,47.232,p,s,0.07500000000000284
100,100,47.232,48.064,s,p,0.8320000000000007
101,101,48.064,48.116,p,s,0.0519999999999996
102,102,48.116,48.476,s,p,0.35999999999999943
103,103,48.476,48.538,p,s,0.06199999999999761
104,104,48.538,48.764,s,p,0.2260000000000062
105,105,48.764,48.898,p,s,0.13400000000000034
106,106,48.898,49.647,s,p,0.7489999999999952
107,107,49.647,49.879,p,s,0.23199999999999932
108,108,49.879,50.169,s,p,0.28999999999999915
109,109,50.169,50.258,p,s,0.08900000000000574
110,110,50.258,50.619,s,p,0.3609999999999971
111,111,50.619,50.762,p,s,0.14300000000000068
112,112,50.762,51.603,s,p,0.8410000000000011
113,113,51.603,51.669,p,s,0.0659999999999954
114,114,51.669,52.046,s,p,0.37700000000000244
115,115,52.046,52.097,p,s,0.05100000000000193
116,116,52.097,52.243,s,p,0.1460000000000008
