level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,2.138,s,s,,2.138,0
1,1,2.138,2.21,p,p,s,0.07200000000000006,0
2,2,2.21,2.5639999999999996,s,s,p,0.3540000000000001,0
3,3,2.5639999999999996,2.6289999999999996,p,p,s,0.06499999999999995,0
4,4,2.6289999999999996,3.945,s,s,p,1.3159999999999998,0
5,5,3.945,4.119,p,p,s,0.17399999999999993,0
6,6,4.119,4.3580000000000005,s,s,p,0.2390000000000008,0
7,7,4.3580000000000005,4.912,p,p,s,0.5539999999999994,0
8,8,4.912,6.303,s,s,p,1.391,0
9,9,6.303,6.454,p,p,s,0.1509999999999998,0
10,10,6.454,6.858,s,s,p,0.4039999999999999,0
11,11,6.858,6.9639999999999995,p,p,s,0.10600000000000076,0
12,12,6.9639999999999995,7.62,s,s,p,0.6559999999999997,0
13,13,7.62,8.105,p,p,s,0.4850000000000003,0
14,14,8.105,8.907,s,s,p,0.8019999999999996,0
15,15,8.907,8.974,p,p,s,0.06700000000000017,0
16,16,8.974,9.853,s,s,p,0.8789999999999996,0
17,17,9.853,10.165,p,p,s,0.3119999999999994,0
18,18,10.165,11.077,s,s,p,0.9120000000000008,0
19,19,11.077,11.458,p,p,s,0.3810000000000002,0
20,20,11.458,11.79,s,s,p,0.33199999999999896,0
21,21,11.79,11.89,p,p,s,0.10000000000000142,0
22,22,11.89,13.788,s,s,p,1.898,0
23,23,13.788,14.322000000000001,p,p,s,0.5339999999999989,0
24,24,14.322000000000001,15.698,s,s,p,1.3760000000000012,0
25,25,15.698,16.024,p,p,s,0.3260000000000005,0
26,26,16.024,16.8,s,s,p,0.7759999999999998,0
27,27,16.8,16.865,p,p,s,0.06499999999999773,0
28,28,16.865,17.305999999999997,s,s,p,0.4410000000000025,0
29,29,17.305999999999997,17.369,p,p,s,0.06299999999999882,0
30,30,17.369,17.526,s,s,p,0.15700000000000006,0
31,31,17.526,17.624000000000002,p,p,s,0.09799999999999898,0
32,32,17.624000000000002,18.33,s,s,p,0.7059999999999995,0
33,33,18.33,18.735,p,p,s,0.4050000000000011,0
36,36,18.735,19.429000000000002,s,s,p,0.6939999999999991,0
37,37,19.429000000000002,19.48,p,p,s,0.05100000000000193,0
38,38,19.48,19.814,s,s,p,0.33399999999999963,0
39,39,19.814,19.865,p,p,s,0.05099999999999838,0
40,40,19.865,20.257,s,s,p,0.39200000000000296,0
41,41,20.257,20.794,p,p,s,0.5369999999999989,0
42,42,20.794,21.747,s,s,p,0.9529999999999994,0
43,43,21.747,22.035999999999998,p,p,s,0.2890000000000015,0
44,44,22.035999999999998,24.322,s,s,p,2.285999999999998,0
45,45,24.322,24.393,p,p,s,0.0710000000000015,0
46,46,24.393,24.861,s,s,p,0.468,0
47,47,24.861,25.043000000000003,p,p,s,0.1819999999999986,0
48,48,25.043000000000003,25.953000000000003,s,s,p,0.91,0
49,49,25.953000000000003,26.693,p,p,s,0.7400000000000021,0
52,52,26.693,27.112,s,s,p,0.4189999999999969,0
53,53,27.112,27.185,p,p,s,0.0730000000000004,0
54,54,27.185,27.686,s,s,p,0.5010000000000012,0
55,55,27.686,27.758000000000003,p,p,s,0.07199999999999918,0
56,56,27.758000000000003,28.146,s,s,p,0.3880000000000017,0
57,57,28.146,28.208000000000002,p,p,s,0.06199999999999761,0
58,58,28.208000000000002,28.849,s,s,p,0.6410000000000018,0
59,59,28.849,29.462,p,p,s,0.6129999999999995,0
60,60,29.462,30.355,s,s,p,0.8930000000000007,0
61,61,30.355,30.432,p,p,s,0.07699999999999818,0
62,62,30.432,31.84,s,s,p,1.4080000000000013,0
63,63,31.84,32.208,p,p,s,0.36799999999999855,0
66,66,32.208,32.858000000000004,s,s,p,0.6499999999999986,0
67,67,32.858000000000004,32.991,p,p,s,0.13300000000000267,0
68,68,32.991,33.11,s,s,p,0.11899999999999974,0
69,69,33.11,33.262,p,p,s,0.15200000000000102,0
70,70,33.262,34.273,s,s,p,1.0110000000000028,0
71,71,34.273,34.849000000000004,p,p,s,0.5759999999999934,0
72,72,34.849000000000004,35.591,s,s,p,0.7420000000000044,0
73,73,35.591,35.663000000000004,p,p,s,0.07199999999999562,0
74,74,35.663000000000004,36.0,s,s,p,0.3370000000000033,0
75,75,36.0,36.114000000000004,p,p,s,0.1139999999999972,0
76,76,36.114000000000004,37.121,s,s,p,1.007000000000005,0
77,77,37.121,37.214,p,p,s,0.09299999999999642,0
78,78,37.214,37.765,s,s,p,0.5510000000000019,0
79,79,37.765,38.546,p,p,s,0.7809999999999988,1
82,82,38.546,39.0,s,s,p,0.4540000000000006,0
83,83,39.0,39.152,p,p,s,0.15200000000000102,0
84,84,39.152,40.785,s,s,p,1.6329999999999956,0
85,85,40.785,40.858000000000004,p,p,s,0.0730000000000004,0
86,86,40.858000000000004,41.683,s,s,p,0.8250000000000028,0
87,87,41.683,42.215,p,p,s,0.5320000000000036,0
88,88,42.215,43.25,s,s,p,1.0349999999999966,0
89,89,43.25,43.685,p,p,s,0.4350000000000023,0
90,90,43.685,44.102,s,s,p,0.4169999999999945,0
91,91,44.102,44.498000000000005,p,p,s,0.3960000000000008,0
92,92,44.498000000000005,44.742,s,s,p,0.24399999999999974,0
93,93,44.742,44.958999999999996,p,p,s,0.21700000000000585,0
94,94,44.958999999999996,45.093,s,s,p,0.13400000000000034,0
95,95,45.093,46.225,p,p,s,1.1319999999999981,0
98,98,46.225,47.157,s,s,p,0.9319999999999949,0
99,99,47.157,47.232,p,p,s,0.07500000000000284,0
100,100,47.232,48.06399999999999,s,s,p,0.8320000000000007,0
101,101,48.06399999999999,48.11600000000001,p,p,s,0.0519999999999996,0
102,102,48.11600000000001,48.476000000000006,s,s,p,0.35999999999999943,0
103,103,48.476000000000006,48.538000000000004,p,p,s,0.06199999999999761,0
104,104,48.538000000000004,48.763999999999996,s,s,p,0.2260000000000062,0
105,105,48.763999999999996,48.898,p,p,s,0.13400000000000034,0
106,106,48.898,49.647,s,s,p,0.7489999999999952,0
107,107,49.647,49.879,p,p,s,0.2319999999999993,0
108,108,49.879,50.169,s,s,p,0.28999999999999915,0
109,109,50.169,50.258,p,p,s,0.08900000000000574,0
110,110,50.258,50.619,s,s,p,0.3609999999999971,0
111,111,50.619,50.762,p,p,s,0.14300000000000068,0
112,112,50.762,51.603,s,s,p,0.8410000000000011,0
113,113,51.603,51.669,p,p,s,0.0659999999999954,0
114,114,51.669,52.04600000000001,s,s,p,0.3770000000000024,0
115,115,52.04600000000001,52.097,p,p,s,0.05100000000000193,0
116,116,52.097,52.243,s,s,p,0.1460000000000008,0
