level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.376,s,,1.376
1,1,1.376,1.427,p,s,0.051000000000000156
2,2,1.427,3.104,s,p,1.677
3,3,3.104,3.19,p,s,0.08599999999999985
4,4,3.19,4.325,s,p,1.1350000000000002
5,5,4.325,4.4990000000000006,p,s,0.17400000000000038
6,6,4.4990000000000006,4.884,s,p,0.3849999999999998
7,7,4.884,5.0649999999999995,p,s,0.18099999999999916
8,8,5.0649999999999995,5.618,s,p,0.5530000000000008
9,9,5.618,5.672000000000001,p,s,0.05400000000000027
10,10,5.672000000000001,6.065,s,p,0.3929999999999998
11,11,6.065,6.441,p,s,0.37599999999999945
12,12,6.441,6.869,s,p,0.42799999999999994
13,13,6.869,6.953,p,s,0.08400000000000052
14,14,6.953,7.373,s,p,0.41999999999999993
15,15,7.373,7.6850000000000005,p,s,0.3120000000000003
16,16,7.6850000000000005,9.253,s,p,1.5679999999999996
17,17,9.253,9.335,p,s,0.08200000000000074
18,18,9.335,11.337,s,p,2.001999999999999
19,19,11.337,11.413,p,s,0.07600000000000051
20,20,11.413,13.013,s,p,1.5999999999999996
21,21,13.013,13.143,p,s,0.13000000000000078
22,22,13.143,13.379,s,p,0.23599999999999888
23,23,13.379,13.438,p,s,0.05900000000000105
24,24,13.438,14.343,s,p,0.9049999999999994
25,25,14.343,14.864,p,s,0.5210000000000008
28,28,14.864,16.095,s,p,1.230999999999998
29,29,16.095,16.154,p,s,0.05900000000000105
30,30,16.154,16.578,s,p,0.4239999999999995
31,31,16.578,16.89,p,s,0.31200000000000117
32,32,16.89,17.14,s,p,0.25
33,33,17.14,17.246,p,s,0.1059999999999981
34,34,17.246,20.533,s,p,3.2870000000000026
35,35,20.533,20.591,p,s,0.05799999999999983
36,36,20.591,21.193,s,p,0.6020000000000003
37,37,21.193,21.281,p,s,0.08799999999999741
38,38,21.281,21.812,s,p,0.5310000000000024
39,39,21.812,21.979,p,s,0.16699999999999804
40,40,21.979,24.065,s,p,2.086000000000002
41,41,24.065,24.153,p,s,0.08799999999999741
42,42,24.153,24.782,s,p,0.6290000000000013
43,43,24.782,24.928,p,s,0.1460000000000008
44,44,24.928,25.786,s,p,0.8580000000000005
45,45,25.786,26.235,p,s,0.44899999999999807
46,46,26.235,26.516,s,p,0.2809999999999988
47,47,26.516,26.605,p,s,0.08900000000000219
48,48,26.605,28.397,s,p,1.791999999999998
49,49,28.397,28.814,p,s,0.4170000000000016
50,50,28.814,30.021,s,p,1.2070000000000007
51,51,30.021,30.087,p,s,0.06599999999999895
52,52,30.087,30.953,s,p,0.8659999999999997
53,53,30.953,31.118,p,s,0.16499999999999915
54,54,31.118,31.937,s,p,0.8190000000000026
55,55,31.937,32.436,p,s,0.4989999999999988
56,56,32.436,33.456,s,p,1.0200000000000031
57,57,33.456,33.549,p,s,0.09299999999999642
58,58,33.549,33.657,s,p,0.10799999999999699
59,59,33.657,34.244,p,s,0.5870000000000033
60,60,34.244,35.097,s,p,0.8530000000000015
61,61,35.097,35.4,p,s,0.30299999999999727
62,62,35.4,36.912,s,p,1.5120000000000005
63,63,36.912,37.246,p,s,0.3340000000000032
64,64,37.246,38.865,s,p,1.6189999999999998
65,65,38.865,38.942,p,s,0.07699999999999818
66,66,38.942,39.867,s,p,0.9249999999999972
67,67,39.867,39.948,p,s,0.08100000000000307
68,68,39.948,40.905,s,p,0.9570000000000007
69,69,40.905,41.275999999999996,p,s,0.3709999999999951
72,72,41.275999999999996,41.876,s,p,0.6000000000000014
73,73,41.876,42.061,p,s,0.18500000000000227
74,74,42.061,42.618,s,p,0.5570000000000022
75,75,42.618,42.703,p,s,0.08500000000000085
76,76,42.703,43.421,s,p,0.7179999999999964
77,77,43.421,43.473,p,s,0.0519999999999996
78,78,43.473,43.927,s,p,0.4540000000000006
79,79,43.927,44.059,p,s,0.1319999999999979
80,80,44.059,45.065,s,p,1.0060000000000002
81,81,45.065,45.115,p,s,0.05000000000000426
82,82,45.115,45.521,s,p,0.4059999999999988
83,83,45.521,45.637,p,s,0.11599999999999966
84,84,45.637,45.753,s,p,0.11599999999999966
85,85,45.753,45.931,p,s,0.17799999999999727
86,86,45.931,47.573,s,p,1.642000000000003
