level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,1.376,s,s,,1.376,0
1,1,1.376,1.4269999999999998,p,p,s,0.05100000000000016,0
2,2,1.4269999999999998,3.1039999999999996,s,s,p,1.6769999999999998,0
3,3,3.1039999999999996,3.19,p,p,s,0.08599999999999985,0
4,4,3.19,4.325,s,s,p,1.1350000000000002,0
5,5,4.325,5.065,p,p,s,0.7399999999999993,1
8,8,5.065,5.617999999999999,s,s,p,0.5530000000000008,0
9,9,5.617999999999999,5.6720000000000015,p,p,s,0.05400000000000027,0
10,10,5.6720000000000015,6.065,s,s,p,0.3929999999999998,0
11,11,6.065,6.441,p,p,s,0.37599999999999945,0
12,12,6.441,6.869,s,s,p,0.428,0
13,13,6.869,6.952999999999999,p,p,s,0.08400000000000052,0
14,14,6.952999999999999,7.372999999999999,s,s,p,0.4199999999999999,0
15,15,7.372999999999999,7.685,p,p,s,0.3120000000000003,0
16,16,7.685,9.253,s,s,p,1.5679999999999996,0
17,17,9.253,9.335,p,p,s,0.08200000000000074,0
18,18,9.335,11.337,s,s,p,2.001999999999999,0
19,19,11.337,11.413,p,p,s,0.07600000000000051,0
20,20,11.413,13.013,s,s,p,1.5999999999999996,0
21,21,13.013,13.437999999999999,p,p,s,0.4250000000000007,1
24,24,13.437999999999999,14.343,s,s,p,0.9049999999999994,0
25,25,14.343,14.864,p,p,s,0.5210000000000008,0
28,28,14.864,16.095,s,s,p,1.230999999999998,0
29,29,16.095,16.154,p,p,s,0.05900000000000105,0
30,30,16.154,16.578,s,s,p,0.4239999999999995,0
31,31,16.578,17.246,p,p,s,0.6679999999999993,1
34,34,17.246,20.533,s,s,p,3.2870000000000026,0
35,35,20.533,20.590999999999998,p,p,s,0.05799999999999982,0
36,36,20.590999999999998,21.193,s,s,p,0.6020000000000003,0
37,37,21.193,21.979,p,p,s,0.7859999999999978,1
40,40,21.979,24.065,s,s,p,2.086000000000002,0
41,41,24.065,24.153000000000002,p,p,s,0.08799999999999741,0
42,42,24.153000000000002,24.781999999999996,s,s,p,0.6290000000000013,0
43,43,24.781999999999996,24.928,p,p,s,0.1460000000000008,0
44,44,24.928,25.785999999999998,s,s,p,0.8580000000000005,0
45,45,25.785999999999998,26.605,p,p,s,0.8189999999999991,1
48,48,26.605,28.397,s,s,p,1.7919999999999978,0
49,49,28.397,28.814,p,p,s,0.4170000000000016,0
50,50,28.814,30.021,s,s,p,1.2070000000000007,0
51,51,30.021,30.087,p,p,s,0.06599999999999895,0
52,52,30.087,30.953000000000003,s,s,p,0.8659999999999997,0
53,53,30.953000000000003,31.118000000000002,p,p,s,0.16499999999999915,0
54,54,31.118000000000002,31.936999999999998,s,s,p,0.8190000000000026,0
55,55,31.936999999999998,32.436,p,p,s,0.4989999999999988,0
56,56,32.436,33.455999999999996,s,s,p,1.0200000000000031,0
57,57,33.455999999999996,34.244,p,p,s,0.7879999999999967,1
60,60,34.244,35.097,s,s,p,0.8530000000000015,0
61,61,35.097,35.4,p,p,s,0.3029999999999973,0
62,62,35.4,36.912,s,s,p,1.5120000000000005,0
63,63,36.912,37.246,p,p,s,0.3340000000000032,0
64,64,37.246,38.865,s,s,p,1.6189999999999998,0
65,65,38.865,38.942,p,p,s,0.07699999999999818,0
66,66,38.942,39.867,s,s,p,0.9249999999999972,0
67,67,39.867,39.948,p,p,s,0.08100000000000307,0
68,68,39.948,40.905,s,s,p,0.9570000000000008,0
69,69,40.905,41.276,p,p,s,0.3709999999999951,0
72,72,41.276,41.876000000000005,s,s,p,0.6000000000000014,0
73,73,41.876000000000005,42.06100000000001,p,p,s,0.18500000000000227,0
74,74,42.06100000000001,42.618,s,s,p,0.5570000000000022,0
75,75,42.618,42.703,p,p,s,0.08500000000000085,0
76,76,42.703,43.42100000000001,s,s,p,0.7179999999999964,0
77,77,43.42100000000001,43.473,p,p,s,0.0519999999999996,0
78,78,43.473,43.927,s,s,p,0.4540000000000006,0
79,79,43.927,44.059,p,p,s,0.1319999999999979,0
80,80,44.059,45.065,s,s,p,1.0060000000000002,0
81,81,45.065,45.115,p,p,s,0.05000000000000426,0
82,82,45.115,45.521,s,s,p,0.4059999999999988,0
83,83,45.521,45.637,p,p,s,0.11599999999999965,0
84,84,45.637,45.753,s,s,p,0.11599999999999965,0
85,85,45.753,45.931000000000004,p,p,s,0.17799999999999727,0
86,86,45.931000000000004,47.573,s,s,p,1.6420000000000032,0
