level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,1.524,s,,1.524,s,0
1,1,1.524,1.5759999999999998,p,s,0.05200000000000005,p,0
2,2,1.5759999999999998,2.72,s,p,1.144,s,0
3,3,2.72,2.801,p,s,0.08099999999999996,p,0
4,4,2.801,2.935,s,p,0.1339999999999999,p,1
5,5,2.935,3.532,p,s,0.597,p,0
6,6,3.532,5.2970000000000015,s,p,1.7650000000000006,s,0
7,7,5.2970000000000015,6.09,p,s,0.7929999999999993,p,0
10,10,6.09,7.603,s,p,1.5130000000000001,s,0
11,11,7.603,8.216000000000001,p,s,0.6130000000000013,p,0
12,12,8.216000000000001,9.441,s,p,1.2249999999999996,s,0
13,13,9.441,10.072000000000001,p,s,0.6309999999999985,p,0
14,14,10.072000000000001,10.192,s,p,0.12000000000000098,s,0
15,15,10.192,10.252,p,s,0.0600000000000005,p,0
16,16,10.252,10.520999999999999,s,p,0.2690000000000001,s,0
17,17,10.520999999999999,10.603,p,s,0.08199999999999896,p,0
18,18,10.603,10.725,s,p,0.12199999999999987,s,0
19,19,10.725,10.777999999999999,p,s,0.05300000000000082,p,0
20,20,10.777999999999999,11.606,s,p,0.8279999999999994,s,0
21,21,11.606,11.663,p,s,0.05700000000000039,p,0
22,22,11.663,12.279000000000002,s,p,0.6159999999999997,s,0
23,23,12.279000000000002,12.349,p,s,0.07000000000000027,p,0
24,24,12.349,12.851,s,p,0.5019999999999989,s,0
25,25,12.851,12.909,p,s,0.05800000000000161,p,0
26,26,12.909,13.047,s,p,0.1379999999999999,s,0
27,27,13.047,13.664000000000001,p,s,0.6169999999999991,p,0
28,28,13.664000000000001,14.743,s,p,1.0790000000000006,s,0
29,29,14.743,15.15,p,s,0.407,p,0
30,30,15.15,15.735,s,p,0.5849999999999991,s,0
31,31,15.735,16.246,p,s,0.5109999999999992,p,0
32,32,16.246,17.463,s,p,1.2170000000000023,s,0
33,33,17.463,17.733,p,s,0.2699999999999996,p,0
36,36,17.733,19.262,s,p,1.5290000000000001,s,0
37,37,19.262,19.384,p,s,0.12199999999999987,p,0
38,38,19.384,20.422,s,p,1.0380000000000005,s,0
39,39,20.422,21.0,p,s,0.5779999999999994,p,0
40,40,21.0,22.118000000000002,s,p,1.1179999999999986,s,0
41,41,22.118000000000002,22.221999999999998,p,s,0.10400000000000276,p,0
42,42,22.221999999999998,24.412,s,p,2.1899999999999977,s,0
43,43,24.412,24.886999999999997,p,s,0.4750000000000014,p,0
44,44,24.886999999999997,25.145,s,p,0.2579999999999991,s,0
45,45,25.145,25.203000000000003,p,s,0.05799999999999982,p,0
46,46,25.203000000000003,26.250999999999998,s,p,1.0480000000000018,s,0
47,47,26.250999999999998,26.583000000000002,p,s,0.3319999999999972,p,0
48,48,26.583000000000002,27.706999999999997,s,p,1.1240000000000023,s,0
49,49,27.706999999999997,27.765,p,s,0.05799999999999982,p,0
50,50,27.765,28.254,s,p,0.4890000000000008,s,0
51,51,28.254,28.644000000000002,p,s,0.389999999999997,p,0
54,54,28.644000000000002,29.214000000000002,s,p,0.5700000000000003,s,0
55,55,29.214000000000002,29.37,p,s,0.15600000000000236,p,0
58,58,29.37,29.811,s,p,0.44099999999999895,s,0
59,59,29.811,29.866,p,s,0.054999999999999716,p,0
60,60,29.866,31.484,s,p,1.618000000000002,s,0
61,61,31.484,31.974,p,s,0.4899999999999984,p,0
64,64,31.974,34.152,s,p,2.178000000000001,s,0
65,65,34.152,34.229,p,s,0.07699999999999818,p,0
66,66,34.229,34.525,s,p,0.2959999999999994,s,0
67,67,34.525,34.856,p,s,0.3310000000000031,p,0
68,68,34.856,35.63,s,p,0.7740000000000009,s,0
69,69,35.63,36.066,p,s,0.436,p,0
72,72,36.066,36.579,s,p,0.5129999999999981,s,0
73,73,36.579,36.698,p,s,0.11899999999999974,p,0
74,74,36.698,38.231,s,p,1.5330000000000013,s,0
75,75,38.231,39.577,p,s,1.3459999999999963,p,0
76,76,39.577,40.457,s,p,0.8800000000000026,s,0
77,77,40.457,40.73,p,s,0.2729999999999961,p,0
80,80,40.73,42.25,s,p,1.5200000000000031,s,0
