level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,0.862,s,,0.862
1,1,0.862,1.072,p,s,0.21000000000000008
2,2,1.072,1.386,s,p,0.31399999999999983
3,3,1.386,1.448,p,s,0.062000000000000055
4,4,1.448,2.188,s,p,0.7400000000000002
5,5,2.188,2.334,p,s,0.1459999999999999
6,6,2.334,3.302,s,p,0.968
7,7,3.302,3.355,p,s,0.052999999999999936
8,8,3.355,3.511,s,p,0.15600000000000014
9,9,3.511,3.584,p,s,0.07299999999999995
10,10,3.584,5.307,s,p,1.7230000000000003
11,11,5.307,6.418,p,s,1.1109999999999998
12,12,6.418,7.235,s,p,0.8170000000000002
13,13,7.235,7.768,p,s,0.5329999999999995
14,14,7.768,9.379,s,p,1.6109999999999998
15,15,9.379,9.573,p,s,0.19400000000000084
16,16,9.573,9.678,s,p,0.10500000000000043
17,17,9.678,9.817,p,s,0.13899999999999935
18,18,9.817,10.783,s,p,0.9659999999999993
19,19,10.783,11.093,p,s,0.3100000000000005
20,20,11.093,11.477,s,p,0.38400000000000034
21,21,11.477,11.559000000000001,p,s,0.08200000000000074
22,22,11.559000000000001,11.754999999999999,s,p,0.19599999999999795
23,23,11.754999999999999,11.906,p,s,0.15100000000000158
24,24,11.906,12.739,s,p,0.8330000000000002
25,25,12.739,12.852,p,s,0.11299999999999955
26,26,12.852,13.245000000000001,s,p,0.3930000000000007
27,27,13.245000000000001,13.518,p,s,0.2729999999999997
28,28,13.518,14.688,s,p,1.17
29,29,14.688,14.967,p,s,0.2789999999999999
30,30,14.967,16.048000000000002,s,p,1.0810000000000013
31,31,16.048000000000002,16.116,p,s,0.06799999999999784
32,32,16.116,16.829,s,p,0.713000000000001
33,33,16.829,17.259999999999998,p,s,0.4309999999999974
36,36,17.259999999999998,17.659,s,p,0.3990000000000009
37,37,17.659,17.769,p,s,0.10999999999999943
38,38,17.769,18.633,s,p,0.8640000000000008
39,39,18.633,19.545,p,s,0.9120000000000026
44,44,19.545,20.116,s,p,0.570999999999998
45,45,20.116,20.216,p,s,0.10000000000000142
46,46,20.216,20.361,s,p,0.14499999999999957
47,47,20.361,21.0,p,s,0.6389999999999993
48,48,21.0,22.526,s,p,1.5259999999999998
49,49,22.526,22.608,p,s,0.08200000000000074
50,50,22.608,22.926,s,p,0.31799999999999784
51,51,22.926,23.079,p,s,0.15300000000000225
52,52,23.079,24.23,s,p,1.1509999999999998
53,53,24.23,24.763,p,s,0.5330000000000013
56,56,24.763,25.395,s,p,0.6319999999999979
57,57,25.395,25.546,p,s,0.1509999999999998
58,58,25.546,25.787,s,p,0.24099999999999966
59,59,25.787,25.843,p,s,0.05600000000000094
60,60,25.843,27.233,s,p,1.3900000000000006
61,61,27.233,27.306,p,s,0.0730000000000004
62,62,27.306,29.541,s,p,2.2349999999999994
63,63,29.541,29.755,p,s,0.21399999999999864
66,66,29.755,30.775,s,p,1.0199999999999996
67,67,30.775,30.98,p,s,0.20500000000000185
68,68,30.98,31.693,s,p,0.713000000000001
69,69,31.693,31.769,p,s,0.07599999999999696
70,70,31.769,32.782,s,p,1.0129999999999981
71,71,32.782,32.851,p,s,0.06900000000000261
72,72,32.851,33.283,s,p,0.43200000000000216
73,73,33.283,33.616,p,s,0.3329999999999984
74,74,33.616,34.141,s,p,0.5249999999999986
75,75,34.141,34.465,p,s,0.3240000000000052
76,76,34.465,36.0,s,p,1.5349999999999966
77,77,36.0,36.337,p,s,0.3370000000000033
78,78,36.337,37.349,s,p,1.0119999999999933
79,79,37.349,37.539,p,s,0.19000000000000483
80,80,37.539,37.692,s,p,0.1529999999999987
81,81,37.692,39.242,p,s,1.5499999999999972
84,84,39.242,39.632,s,p,0.39000000000000057
85,85,39.632,40.032,p,s,0.3999999999999986
86,86,40.032,40.526,s,p,0.4940000000000069
87,87,40.526,40.86,p,s,0.3339999999999961
88,88,40.86,42.155,s,p,1.2950000000000017
89,89,42.155,42.215,p,s,0.060000000000002274
90,90,42.215,42.401,s,p,0.18599999999999994
91,91,42.401,42.455,p,s,0.05399999999999494
92,92,42.455,42.935,s,p,0.480000000000004
93,93,42.935,43.047,p,s,0.11199999999999477
94,94,43.047,45.629,s,p,2.5820000000000007
95,95,45.629,45.821,p,s,0.19200000000000017
98,98,45.821,45.953,s,p,0.132000000000005
99,99,45.953,46.053,p,s,0.09999999999999432
100,100,46.053,46.787,s,p,0.7340000000000018
101,101,46.787,47.091,p,s,0.30400000000000205
104,104,47.091,48.054,s,p,0.963000000000001
105,105,48.054,48.813,p,s,0.7590000000000003
108,108,48.813,50.072,s,p,1.2590000000000003
109,109,50.072,50.128,p,s,0.055999999999997385
110,110,50.128,50.468,s,p,0.3400000000000034
111,111,50.468,50.622,p,s,0.15399999999999636
112,112,50.622,50.821,s,p,0.19899999999999807
113,113,50.821,50.903999999999996,p,s,0.08299999999999841
114,114,50.903999999999996,52.03,s,p,1.1260000000000048
115,115,52.03,52.135,p,s,0.10499999999999687
116,116,52.135,53.069,s,p,0.9340000000000046
117,117,53.069,53.307,p,s,0.23799999999999955
118,118,53.307,53.418,s,p,0.1109999999999971
119,119,53.418,53.54,p,s,0.12199999999999989
120,120,53.54,55.03,s,p,1.490000000000002
