level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,0.862,s,s,,0.862,0
1,1,0.862,1.072,p,p,s,0.21000000000000008,0
2,2,1.072,1.386,s,s,p,0.31399999999999983,0
3,3,1.386,1.4480000000000002,p,p,s,0.06200000000000005,0
4,4,1.4480000000000002,2.188,s,s,p,0.7400000000000002,0
5,5,2.188,2.334,p,p,s,0.1459999999999999,0
6,6,2.334,3.302,s,s,p,0.968,0
7,7,3.302,3.5839999999999996,p,p,s,0.28200000000000003,1
10,10,3.5839999999999996,5.307,s,s,p,1.7230000000000003,0
11,11,5.307,6.417999999999999,p,p,s,1.1109999999999998,0
12,12,6.417999999999999,7.235,s,s,p,0.8170000000000002,0
13,13,7.235,7.768,p,p,s,0.5329999999999995,0
14,14,7.768,9.379,s,s,p,1.6109999999999998,0
15,15,9.379,9.817,p,p,s,0.4380000000000006,1
18,18,9.817,10.783,s,s,p,0.9659999999999992,0
19,19,10.783,11.093,p,p,s,0.3100000000000005,0
20,20,11.093,11.477,s,s,p,0.3840000000000003,0
21,21,11.477,11.559,p,p,s,0.08200000000000074,0
22,22,11.559,11.755,s,s,p,0.19599999999999795,0
23,23,11.755,11.905999999999999,p,p,s,0.15100000000000158,0
24,24,11.905999999999999,12.739,s,s,p,0.8330000000000002,0
25,25,12.739,12.852,p,p,s,0.11299999999999955,0
26,26,12.852,13.245,s,s,p,0.3930000000000007,0
27,27,13.245,13.517999999999999,p,p,s,0.2729999999999997,0
28,28,13.517999999999999,14.687999999999999,s,s,p,1.17,0
29,29,14.687999999999999,14.967,p,p,s,0.2789999999999999,0
30,30,14.967,16.048000000000002,s,s,p,1.0810000000000013,0
31,31,16.048000000000002,16.116,p,p,s,0.06799999999999784,0
32,32,16.116,16.829,s,s,p,0.7130000000000011,0
33,33,16.829,17.259999999999998,p,p,s,0.4309999999999974,0
36,36,17.259999999999998,17.659000000000002,s,s,p,0.3990000000000009,0
37,37,17.659000000000002,17.769000000000002,p,p,s,0.10999999999999943,0
38,38,17.769000000000002,18.633,s,s,p,0.8640000000000008,0
39,39,18.633,19.545,p,p,s,0.9120000000000026,0
44,44,19.545,20.116,s,s,p,0.570999999999998,0
45,45,20.116,20.215999999999998,p,p,s,0.10000000000000142,0
46,46,20.215999999999998,20.361,s,s,p,0.14499999999999955,0
47,47,20.361,21.0,p,p,s,0.6389999999999993,0
48,48,21.0,22.526,s,s,p,1.5259999999999998,0
49,49,22.526,22.608,p,p,s,0.08200000000000074,0
50,50,22.608,22.926,s,s,p,0.31799999999999784,0
51,51,22.926,23.079,p,p,s,0.15300000000000225,0
52,52,23.079,24.23,s,s,p,1.1509999999999998,0
53,53,24.23,24.763,p,p,s,0.5330000000000013,0
56,56,24.763,25.395,s,s,p,0.6319999999999979,0
57,57,25.395,25.546,p,p,s,0.1509999999999998,0
58,58,25.546,25.787,s,s,p,0.2409999999999997,0
59,59,25.787,25.843000000000004,p,p,s,0.05600000000000094,0
60,60,25.843000000000004,27.233,s,s,p,1.3900000000000006,0
61,61,27.233,27.305999999999997,p,p,s,0.0730000000000004,0
62,62,27.305999999999997,29.541,s,s,p,2.2349999999999994,0
63,63,29.541,29.755,p,p,s,0.21399999999999866,0
66,66,29.755,30.775,s,s,p,1.0199999999999996,0
67,67,30.775,30.98,p,p,s,0.20500000000000185,0
68,68,30.98,31.693,s,s,p,0.7130000000000011,0
69,69,31.693,31.769000000000002,p,p,s,0.07599999999999696,0
70,70,31.769000000000002,32.782,s,s,p,1.012999999999998,0
71,71,32.782,33.616,p,p,s,0.8340000000000032,1
74,74,33.616,34.141,s,s,p,0.5249999999999986,0
75,75,34.141,34.465,p,p,s,0.3240000000000052,0
76,76,34.465,36.0,s,s,p,1.5349999999999966,0
77,77,36.0,36.336999999999996,p,p,s,0.3370000000000033,0
78,78,36.336999999999996,37.349000000000004,s,s,p,1.0119999999999931,0
79,79,37.349000000000004,39.242,p,p,s,1.8930000000000007,1
84,84,39.242,39.632,s,s,p,0.39000000000000057,0
85,85,39.632,40.032,p,p,s,0.3999999999999986,0
86,86,40.032,40.525999999999996,s,s,p,0.4940000000000069,0
87,87,40.525999999999996,40.86,p,p,s,0.3339999999999961,0
88,88,40.86,42.155,s,s,p,1.2950000000000017,0
89,89,42.155,42.215,p,p,s,0.060000000000002274,0
90,90,42.215,42.401,s,s,p,0.18599999999999994,0
91,91,42.401,43.047,p,p,s,0.6459999999999937,1
94,94,43.047,45.629,s,s,p,2.5820000000000007,0
95,95,45.629,46.053000000000004,p,p,s,0.4239999999999995,1
100,100,46.053000000000004,46.787,s,s,p,0.7340000000000018,0
101,101,46.787,47.091,p,p,s,0.30400000000000205,0
104,104,47.091,48.053999999999995,s,s,p,0.9630000000000011,0
105,105,48.053999999999995,48.813,p,p,s,0.7590000000000003,0
108,108,48.813,50.071999999999996,s,s,p,1.2590000000000003,0
109,109,50.071999999999996,50.128,p,p,s,0.05599999999999738,0
110,110,50.128,50.468,s,s,p,0.3400000000000034,0
111,111,50.468,50.622,p,p,s,0.15399999999999636,0
112,112,50.622,50.821000000000005,s,s,p,0.19899999999999807,0
113,113,50.821000000000005,50.904,p,p,s,0.08299999999999841,0
114,114,50.904,52.03,s,s,p,1.1260000000000048,0
115,115,52.03,52.135,p,p,s,0.10499999999999687,0
116,116,52.135,53.068999999999996,s,s,p,0.9340000000000046,0
117,117,53.068999999999996,53.54,p,p,s,0.47099999999999653,1
120,120,53.54,55.03,s,s,p,1.490000000000002,0
