level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,1.452,s,,1.452
1,1,1.452,1.542,p,s,0.09000000000000008
2,2,1.542,3.064,s,p,1.522
3,3,3.064,3.179,p,s,0.11499999999999977
4,4,3.179,4.3919999999999995,s,p,1.2129999999999996
5,5,4.3919999999999995,4.463,p,s,0.07100000000000062
6,6,4.463,4.587,s,p,0.12399999999999967
7,7,4.587,4.639,p,s,0.05200000000000049
8,8,4.639,4.9510000000000005,s,p,0.3120000000000003
9,9,4.9510000000000005,5.0649999999999995,p,s,0.11399999999999899
10,10,5.0649999999999995,6.069,s,p,1.0040000000000004
11,11,6.069,6.128,p,s,0.05900000000000016
12,12,6.128,6.912,s,p,0.7839999999999998
13,13,6.912,7.208,p,s,0.29600000000000026
14,14,7.208,7.58,s,p,0.3719999999999999
15,15,7.58,8.024000000000001,p,s,0.44400000000000084
16,16,8.024000000000001,10.056000000000001,s,p,2.032
17,17,10.056000000000001,10.293,p,s,0.23699999999999832
18,18,10.293,10.773,s,p,0.4800000000000004
19,19,10.773,11.047,p,s,0.2740000000000009
20,20,11.047,11.376,s,p,0.32899999999999885
21,21,11.376,11.429,p,s,0.053000000000000824
22,22,11.429,12.448,s,p,1.0190000000000001
23,23,12.448,12.535,p,s,0.08699999999999974
24,24,12.535,13.045,s,p,0.5099999999999998
25,25,13.045,13.24,p,s,0.19500000000000028
28,28,13.24,15.035,s,p,1.795
29,29,15.035,15.093,p,s,0.05799999999999983
30,30,15.093,16.184,s,p,1.091000000000001
31,31,16.184,16.284,p,s,0.09999999999999787
32,32,16.284,16.666,s,p,0.38200000000000145
33,33,16.666,16.736,p,s,0.07000000000000028
34,34,16.736,16.955,s,p,0.21899999999999764
35,35,16.955,17.369,p,s,0.4140000000000015
36,36,17.369,17.575,s,p,0.20599999999999952
37,37,17.575,17.713,p,s,0.13800000000000168
38,38,17.713,18.086,s,p,0.37299999999999756
39,39,18.086,18.229,p,s,0.14300000000000068
40,40,18.229,18.762,s,p,0.5330000000000013
41,41,18.762,18.847,p,s,0.08500000000000085
42,42,18.847,21.359,s,p,2.5120000000000005
43,43,21.359,21.791,p,s,0.4319999999999986
44,44,21.791,22.99,s,p,1.198999999999998
45,45,22.99,23.053,p,s,0.06300000000000239
46,46,23.053,24.216,s,p,1.1630000000000003
47,47,24.216,24.68,p,s,0.46399999999999864
48,48,24.68,26.142,s,p,1.4619999999999997
49,49,26.142,26.389,p,s,0.2469999999999999
50,50,26.389,27.549,s,p,1.1600000000000001
51,51,27.549,27.659,p,s,0.10999999999999943
52,52,27.659,28.269,s,p,0.6099999999999994
53,53,28.269,28.867,p,s,0.5980000000000025
56,56,28.867,29.234,s,p,0.3670000000000009
57,57,29.234,29.303,p,s,0.06899999999999906
58,58,29.303,29.621,s,p,0.31799999999999784
59,59,29.621,30.078,p,s,0.45700000000000074
64,64,30.078,30.714,s,p,0.6359999999999992
65,65,30.714,30.91,p,s,0.1960000000000015
66,66,30.91,34.002,s,p,3.0920000000000023
67,67,34.002,34.204,p,s,0.20199999999999818
68,68,34.204,35.653,s,p,1.448999999999998
69,69,35.653,35.72,p,s,0.06700000000000017
70,70,35.72,37.315,s,p,1.5949999999999989
71,71,37.315,37.795,p,s,0.480000000000004
74,74,37.795,40.06,s,p,2.2650000000000006
75,75,40.06,40.237,p,s,0.1769999999999996
76,76,40.237,42.228,s,p,1.9909999999999997
77,77,42.228,42.46,p,s,0.23199999999999932
80,80,42.46,42.774,s,p,0.31400000000000006
81,81,42.774,43.224,p,s,0.44999999999999574
82,82,43.224,44.422,s,p,1.1980000000000004
83,83,44.422,44.875,p,s,0.45300000000000296
84,84,44.875,45.585,s,p,0.7100000000000009
85,85,45.585,45.638,p,s,0.05299999999999727
86,86,45.638,47.689,s,p,2.051000000000002
87,87,47.689,48.127,p,s,0.4380000000000024
90,90,48.127,50.699,s,p,2.5719999999999956
