level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,1.452,s,,1.452,s,0
1,1,1.452,1.5419999999999998,p,s,0.09000000000000008,p,0
2,2,1.5419999999999998,3.0639999999999996,s,p,1.5219999999999998,s,0
3,3,3.0639999999999996,3.179,p,s,0.11499999999999976,p,0
4,4,3.179,4.392,s,p,1.2129999999999996,s,0
5,5,4.392,4.463,p,s,0.07100000000000062,p,0
6,6,4.463,4.587,s,p,0.12399999999999968,p,1
7,7,4.587,4.638999999999999,p,s,0.05200000000000049,p,0
8,8,4.638999999999999,4.9510000000000005,s,p,0.3120000000000003,p,1
9,9,4.9510000000000005,5.065,p,s,0.113999999999999,p,0
10,10,5.065,6.069,s,p,1.0040000000000004,s,0
11,11,6.069,6.127999999999999,p,s,0.05900000000000016,p,0
12,12,6.127999999999999,6.912000000000001,s,p,0.7839999999999998,s,0
13,13,6.912000000000001,7.207999999999999,p,s,0.29600000000000026,p,0
14,14,7.207999999999999,7.58,s,p,0.3719999999999999,s,0
15,15,7.58,8.024000000000001,p,s,0.4440000000000008,p,0
16,16,8.024000000000001,10.056,s,p,2.032,s,0
17,17,10.056,10.293,p,s,0.2369999999999983,p,0
18,18,10.293,10.773,s,p,0.4800000000000004,s,0
19,19,10.773,11.047,p,s,0.2740000000000009,p,0
20,20,11.047,11.376,s,p,0.32899999999999885,p,1
21,21,11.376,11.429,p,s,0.05300000000000082,p,0
22,22,11.429,12.448,s,p,1.019,s,0
23,23,12.448,12.535,p,s,0.08699999999999974,p,0
24,24,12.535,13.045,s,p,0.5099999999999998,s,0
25,25,13.045,13.24,p,s,0.19500000000000028,p,0
28,28,13.24,15.035,s,p,1.795,s,0
29,29,15.035,15.093,p,s,0.05799999999999982,p,0
30,30,15.093,16.184,s,p,1.091000000000001,s,0
31,31,16.184,16.284000000000002,p,s,0.09999999999999787,p,0
32,32,16.284000000000002,16.666,s,p,0.3820000000000015,s,0
33,33,16.666,16.736,p,s,0.07000000000000027,p,0
34,34,16.736,16.955,s,p,0.21899999999999764,s,0
35,35,16.955,17.369,p,s,0.4140000000000015,p,0
36,36,17.369,17.575,s,p,0.20599999999999952,p,1
37,37,17.575,17.713,p,s,0.13800000000000168,p,0
38,38,17.713,18.086,s,p,0.3729999999999976,s,0
39,39,18.086,18.229,p,s,0.14300000000000068,p,0
40,40,18.229,18.762,s,p,0.5330000000000013,s,0
41,41,18.762,18.847,p,s,0.08500000000000085,p,0
42,42,18.847,21.359,s,p,2.5120000000000005,s,0
43,43,21.359,21.791,p,s,0.4319999999999986,p,0
44,44,21.791,22.99,s,p,1.198999999999998,s,0
45,45,22.99,23.053,p,s,0.06300000000000239,p,0
46,46,23.053,24.215999999999998,s,p,1.1630000000000005,s,0
47,47,24.215999999999998,24.68,p,s,0.4639999999999986,p,0
48,48,24.68,26.142,s,p,1.4619999999999995,s,0
49,49,26.142,26.389,p,s,0.2469999999999999,p,0
50,50,26.389,27.549,s,p,1.16,s,0
51,51,27.549,27.659000000000002,p,s,0.10999999999999943,p,0
52,52,27.659000000000002,28.269000000000002,s,p,0.6099999999999994,s,0
53,53,28.269000000000002,28.866999999999997,p,s,0.5980000000000025,p,0
56,56,28.866999999999997,29.234,s,p,0.3670000000000009,s,0
57,57,29.234,29.303,p,s,0.06899999999999906,p,0
58,58,29.303,29.621,s,p,0.31799999999999784,s,0
59,59,29.621,30.078000000000003,p,s,0.4570000000000008,p,0
64,64,30.078000000000003,30.714000000000002,s,p,0.6359999999999992,p,1
65,65,30.714000000000002,30.91,p,s,0.1960000000000015,p,0
66,66,30.91,34.001999999999995,s,p,3.0920000000000023,s,0
67,67,34.001999999999995,34.204,p,s,0.20199999999999815,p,0
68,68,34.204,35.653,s,p,1.4489999999999978,s,0
69,69,35.653,35.72,p,s,0.06700000000000017,p,0
70,70,35.72,37.315,s,p,1.5949999999999989,s,0
71,71,37.315,37.795,p,s,0.4800000000000039,p,0
74,74,37.795,40.06,s,p,2.265000000000001,s,0
75,75,40.06,40.236999999999995,p,s,0.1769999999999996,p,0
76,76,40.236999999999995,42.228,s,p,1.991,s,0
77,77,42.228,42.46,p,s,0.2319999999999993,p,0
80,80,42.46,42.773999999999994,s,p,0.3140000000000001,s,0
81,81,42.773999999999994,43.224,p,s,0.4499999999999957,p,0
82,82,43.224,44.422,s,p,1.1980000000000004,s,0
83,83,44.422,44.875,p,s,0.453000000000003,p,0
84,84,44.875,45.585,s,p,0.7100000000000009,s,0
85,85,45.585,45.638000000000005,p,s,0.05299999999999727,p,0
86,86,45.638000000000005,47.68899999999999,s,p,2.051000000000002,s,0
87,87,47.68899999999999,48.126999999999995,p,s,0.4380000000000024,p,0
90,90,48.126999999999995,50.699,s,p,2.571999999999996,s,0
