level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,1.452,s,s,,1.452,0
1,1,1.452,1.5419999999999998,p,p,s,0.09000000000000008,0
2,2,1.5419999999999998,3.0639999999999996,s,s,p,1.5219999999999998,0
3,3,3.0639999999999996,3.179,p,p,s,0.11499999999999976,0
4,4,3.179,4.392,s,s,p,1.2129999999999996,0
5,5,4.392,5.065,p,p,s,0.673,1
10,10,5.065,6.069,s,s,p,1.0040000000000004,0
11,11,6.069,6.127999999999999,p,p,s,0.05900000000000016,0
12,12,6.127999999999999,6.912000000000001,s,s,p,0.7839999999999998,0
13,13,6.912000000000001,7.207999999999999,p,p,s,0.29600000000000026,0
14,14,7.207999999999999,7.58,s,s,p,0.3719999999999999,0
15,15,7.58,8.024000000000001,p,p,s,0.4440000000000008,0
16,16,8.024000000000001,10.056,s,s,p,2.032,0
17,17,10.056,10.293,p,p,s,0.2369999999999983,0
18,18,10.293,10.773,s,s,p,0.4800000000000004,0
19,19,10.773,11.429,p,p,s,0.6560000000000006,1
22,22,11.429,12.448,s,s,p,1.019,0
23,23,12.448,12.535,p,p,s,0.08699999999999974,0
24,24,12.535,13.045,s,s,p,0.5099999999999998,0
25,25,13.045,13.24,p,p,s,0.19500000000000028,0
28,28,13.24,15.035,s,s,p,1.795,0
29,29,15.035,15.093,p,p,s,0.05799999999999982,0
30,30,15.093,16.184,s,s,p,1.091000000000001,0
31,31,16.184,16.284000000000002,p,p,s,0.09999999999999787,0
32,32,16.284000000000002,16.666,s,s,p,0.3820000000000015,0
33,33,16.666,16.736,p,p,s,0.07000000000000027,0
34,34,16.736,16.955,s,s,p,0.21899999999999764,0
35,35,16.955,17.713,p,p,s,0.7580000000000027,1
38,38,17.713,18.086,s,s,p,0.3729999999999976,0
39,39,18.086,18.229,p,p,s,0.14300000000000068,0
40,40,18.229,18.762,s,s,p,0.5330000000000013,0
41,41,18.762,18.847,p,p,s,0.08500000000000085,0
42,42,18.847,21.359,s,s,p,2.5120000000000005,0
43,43,21.359,21.791,p,p,s,0.4319999999999986,0
44,44,21.791,22.99,s,s,p,1.198999999999998,0
45,45,22.99,23.053,p,p,s,0.06300000000000239,0
46,46,23.053,24.215999999999998,s,s,p,1.1630000000000005,0
47,47,24.215999999999998,24.68,p,p,s,0.4639999999999986,0
48,48,24.68,26.142,s,s,p,1.4619999999999995,0
49,49,26.142,26.389,p,p,s,0.2469999999999999,0
50,50,26.389,27.549,s,s,p,1.16,0
51,51,27.549,27.659000000000002,p,p,s,0.10999999999999943,0
52,52,27.659000000000002,28.269000000000002,s,s,p,0.6099999999999994,0
53,53,28.269000000000002,28.866999999999997,p,p,s,0.5980000000000025,0
56,56,28.866999999999997,29.234,s,s,p,0.3670000000000009,0
57,57,29.234,29.303,p,p,s,0.06899999999999906,0
58,58,29.303,29.621,s,s,p,0.31799999999999784,0
59,59,29.621,30.91,p,p,s,1.2890000000000015,1
66,66,30.91,34.001999999999995,s,s,p,3.0920000000000023,0
67,67,34.001999999999995,34.204,p,p,s,0.20199999999999815,0
68,68,34.204,35.653,s,s,p,1.4489999999999978,0
69,69,35.653,35.72,p,p,s,0.06700000000000017,0
70,70,35.72,37.315,s,s,p,1.5949999999999989,0
71,71,37.315,37.795,p,p,s,0.4800000000000039,0
74,74,37.795,40.06,s,s,p,2.265000000000001,0
75,75,40.06,40.236999999999995,p,p,s,0.1769999999999996,0
76,76,40.236999999999995,42.228,s,s,p,1.991,0
77,77,42.228,42.46,p,p,s,0.2319999999999993,0
80,80,42.46,42.773999999999994,s,s,p,0.3140000000000001,0
81,81,42.773999999999994,43.224,p,p,s,0.4499999999999957,0
82,82,43.224,44.422,s,s,p,1.1980000000000004,0
83,83,44.422,44.875,p,p,s,0.453000000000003,0
84,84,44.875,45.585,s,s,p,0.7100000000000009,0
85,85,45.585,45.638000000000005,p,p,s,0.05299999999999727,0
86,86,45.638000000000005,47.68899999999999,s,s,p,2.051000000000002,0
87,87,47.68899999999999,48.126999999999995,p,p,s,0.4380000000000024,0
90,90,48.126999999999995,50.699,s,s,p,2.571999999999996,0
