level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,3.45,s,,3.45
1,1,3.45,4.0649999999999995,p,s,0.6149999999999993
2,2,4.0649999999999995,7.303,s,p,3.2380000000000004
3,3,7.303,7.849,p,s,0.5460000000000003
6,6,7.849,8.914,s,p,1.0649999999999995
7,7,8.914,8.974,p,s,0.0600000000000005
8,8,8.974,10.109,s,p,1.1349999999999998
9,9,10.109,10.461,p,s,0.3520000000000003
10,10,10.461,12.756,s,p,2.295
11,11,12.756,12.828,p,s,0.07199999999999918
12,12,12.828,13.227,s,p,0.3990000000000009
13,13,13.227,13.326,p,s,0.0990000000000002
14,14,13.326,13.559,s,p,0.23299999999999876
15,15,13.559,14.468,p,s,0.9090000000000007
16,16,14.468,15.685,s,p,1.2170000000000005
17,17,15.685,15.74,p,s,0.054999999999999716
18,18,15.74,16.268,s,p,0.5280000000000005
19,19,16.268,16.333,p,s,0.06499999999999773
20,20,16.333,16.611,s,p,0.27800000000000225
21,21,16.611,16.73,p,s,0.11899999999999977
22,22,16.73,17.37,s,p,0.6400000000000006
23,23,17.37,17.459,p,s,0.08899999999999864
24,24,17.459,17.586,s,p,0.1269999999999989
25,25,17.586,17.823,p,s,0.23700000000000188
26,26,17.823,18.509,s,p,0.6859999999999999
27,27,18.509,18.69,p,s,0.18100000000000094
28,28,18.69,20.386,s,p,1.695999999999998
29,29,20.386,20.542,p,s,0.15600000000000236
30,30,20.542,21.046,s,p,0.5039999999999978
31,31,21.046,21.12,p,s,0.07400000000000162
32,32,21.12,22.207,s,p,1.0869999999999997
33,33,22.207,22.288,p,s,0.08099999999999952
34,34,22.288,22.629,s,p,0.3410000000000011
35,35,22.629,22.909,p,s,0.2799999999999976
36,36,22.909,23.599,s,p,0.6900000000000013
37,37,23.599,23.714,p,s,0.11499999999999844
38,38,23.714,25.72,s,p,2.0060000000000002
39,39,25.72,25.969,p,s,0.24900000000000233
40,40,25.969,26.309,s,p,0.33999999999999986
41,41,26.309,26.847,p,s,0.5380000000000003
44,44,26.847,28.319,s,p,1.4719999999999978
45,45,28.319,28.992,p,s,0.6730000000000018
48,48,28.992,29.207,s,p,0.21499999999999986
49,49,29.207,29.669,p,s,0.46199999999999974
52,52,29.669,31.644,s,p,1.9749999999999979
53,53,31.644,32.099000000000004,p,s,0.4550000000000054
56,56,32.099000000000004,34.706,s,p,2.6069999999999993
57,57,34.706,35.083,p,s,0.37699999999999534
58,58,35.083,36.792,s,p,1.7090000000000032
59,59,36.792,36.906,p,s,0.11399999999999721
60,60,36.906,37.682,s,p,0.7760000000000034
61,61,37.682,38.044,p,s,0.36199999999999477
64,64,38.044,39.42,s,p,1.3760000000000048
65,65,39.42,39.474,p,s,0.05399999999999494
66,66,39.474,39.876,s,p,0.402000000000001
67,67,39.876,39.936,p,s,0.060000000000002274
68,68,39.936,40.111,s,p,0.17499999999999716
69,69,40.111,40.258,p,s,0.14700000000000557
70,70,40.258,42.93,s,p,2.671999999999997
71,71,42.93,43.484,p,s,0.554000000000002
74,74,43.484,44.334,s,p,0.8500000000000014
75,75,44.334,44.409,p,s,0.07499999999999574
76,76,44.409,44.641,s,p,0.23199999999999932
77,77,44.641,45.155,p,s,0.5140000000000029
78,78,45.155,46.313,s,p,1.1580000000000013
79,79,46.313,46.719,p,s,0.4059999999999988
80,80,46.719,47.15,s,p,0.4309999999999974
81,81,47.15,47.329,p,s,0.17900000000000205
82,82,47.329,51.482,s,p,4.152999999999999
83,83,51.482,51.951,p,s,0.4690000000000012
86,86,51.951,52.931,s,p,0.9799999999999969
87,87,52.931,53.006,p,s,0.07500000000000284
88,88,53.006,54.409,s,p,1.4029999999999987
89,89,54.409,54.481,p,s,0.07200000000000273
90,90,54.481,54.849,s,p,0.367999999999995
91,91,54.849,55.365,p,s,0.5160000000000053
92,92,55.365,55.923,s,p,0.5579999999999998
