level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,3.409,s,,3.409
1,1,3.409,3.992,p,s,0.5830000000000002
2,2,3.992,5.915,s,p,1.923
3,3,5.915,6.104,p,s,0.18900000000000006
4,4,6.104,6.559,s,p,0.45500000000000007
5,5,6.559,7.337,p,s,0.7779999999999996
6,6,7.337,8.117,s,p,0.7800000000000011
7,7,8.117,8.599,p,s,0.4819999999999993
8,8,8.599,10.187,s,p,1.5879999999999992
9,9,10.187,11.018,p,s,0.8310000000000013
10,10,11.018,11.472999999999999,s,p,0.4549999999999983
11,11,11.472999999999999,11.911999999999999,p,s,0.43900000000000006
12,12,11.911999999999999,18.022,s,p,6.109999999999999
13,13,18.022,18.432,p,s,0.41000000000000014
14,14,18.432,19.799,s,p,1.3670000000000009
15,15,19.799,19.865,p,s,0.06599999999999895
16,16,19.865,20.631,s,p,0.7660000000000018
17,17,20.631,21.081,p,s,0.4499999999999993
18,18,21.081,24.208,s,p,3.126999999999999
19,19,24.208,24.44,p,s,0.23200000000000287
20,20,24.44,25.399,s,p,0.9589999999999996
21,21,25.399,26.054,p,s,0.6549999999999976
22,22,26.054,26.891,s,p,0.8369999999999997
23,23,26.891,26.946,p,s,0.05500000000000327
24,24,26.946,29.28,s,p,2.3339999999999996
25,25,29.28,29.657,p,s,0.3769999999999989
26,26,29.657,31.843,s,p,2.186
27,27,31.843,32.168,p,s,0.3249999999999993
28,28,32.168,34.133,s,p,1.9650000000000034
29,29,34.133,34.295,p,s,0.16199999999999903
30,30,34.295,35.054,s,p,0.7590000000000003
31,31,35.054,35.356,p,s,0.3019999999999996
32,32,35.356,37.007,s,p,1.6509999999999962
33,33,37.007,37.073,p,s,0.0660000000000025
34,34,37.073,38.212,s,p,1.139000000000003
35,35,38.212,39.0,p,s,0.7879999999999967
36,36,39.0,40.905,s,p,1.9050000000000011
