level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,3.409,s,s,,3.409,0
1,1,3.409,3.992,p,p,s,0.5830000000000002,0
2,2,3.992,5.915,s,s,p,1.923,0
3,3,5.915,6.104,p,p,s,0.18900000000000008,0
4,4,6.104,6.559,s,s,p,0.4550000000000001,0
5,5,6.559,7.337000000000001,p,p,s,0.7779999999999996,0
6,6,7.337000000000001,8.117,s,s,p,0.7800000000000011,0
7,7,8.117,8.599,p,p,s,0.4819999999999993,0
8,8,8.599,10.187000000000001,s,s,p,1.5879999999999992,0
9,9,10.187000000000001,11.017999999999999,p,p,s,0.8310000000000013,0
10,10,11.017999999999999,11.473,s,s,p,0.4549999999999983,0
11,11,11.473,11.912,p,p,s,0.4390000000000001,0
12,12,11.912,18.022000000000002,s,s,p,6.1099999999999985,0
13,13,18.022000000000002,18.432000000000002,p,p,s,0.41000000000000014,0
14,14,18.432000000000002,19.799,s,s,p,1.3670000000000009,0
15,15,19.799,19.865,p,p,s,0.06599999999999895,0
16,16,19.865,20.631,s,s,p,0.7660000000000018,0
17,17,20.631,21.081,p,p,s,0.4499999999999993,0
18,18,21.081,24.208000000000002,s,s,p,3.126999999999999,0
19,19,24.208000000000002,24.44,p,p,s,0.2320000000000029,0
20,20,24.44,25.399,s,s,p,0.9589999999999996,0
21,21,25.399,26.054000000000002,p,p,s,0.6549999999999976,0
22,22,26.054000000000002,26.891,s,s,p,0.8369999999999997,0
23,23,26.891,26.945999999999998,p,p,s,0.05500000000000327,0
24,24,26.945999999999998,29.28,s,s,p,2.334,0
25,25,29.28,29.656999999999996,p,p,s,0.3769999999999989,0
26,26,29.656999999999996,31.843000000000004,s,s,p,2.186,0
27,27,31.843000000000004,32.168,p,p,s,0.3249999999999993,0
28,28,32.168,34.133,s,s,p,1.9650000000000036,0
29,29,34.133,34.295,p,p,s,0.16199999999999906,0
30,30,34.295,35.054,s,s,p,0.7590000000000003,0
31,31,35.054,35.356,p,p,s,0.3019999999999996,0
32,32,35.356,37.007,s,s,p,1.6509999999999962,0
33,33,37.007,37.073,p,p,s,0.0660000000000025,0
34,34,37.073,38.211999999999996,s,s,p,1.139000000000003,0
35,35,38.211999999999996,39.0,p,p,s,0.7879999999999967,0
36,36,39.0,40.905,s,s,p,1.9050000000000007,0
