level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,0.498,s,,0.498
1,1,0.498,0.557,p,s,0.05900000000000005
2,2,0.557,2.918,s,p,2.361
3,3,2.918,3.0,p,s,0.08199999999999985
4,4,3.0,3.123,s,p,0.12300000000000022
5,5,3.123,3.193,p,s,0.06999999999999984
6,6,3.193,3.39,s,p,0.19700000000000006
7,7,3.39,3.524,p,s,0.1339999999999999
8,8,3.524,3.779,s,p,0.2549999999999999
9,9,3.779,3.83,p,s,0.051000000000000156
10,10,3.83,4.8309999999999995,s,p,1.0009999999999994
11,11,4.8309999999999995,5.401,p,s,0.5700000000000003
14,14,5.401,8.065,s,p,2.6639999999999997
15,15,8.065,8.263,p,s,0.1980000000000004
16,16,8.263,8.891,s,p,0.6280000000000001
17,17,8.891,9.318,p,s,0.4269999999999996
18,18,9.318,10.163,s,p,0.8450000000000006
19,19,10.163,10.279,p,s,0.11599999999999966
20,20,10.279,11.027000000000001,s,p,0.7480000000000011
21,21,11.027000000000001,11.132,p,s,0.10499999999999865
22,22,11.132,11.609,s,p,0.4770000000000003
23,23,11.609,11.725,p,s,0.11599999999999966
24,24,11.725,11.863,s,p,0.1379999999999999
25,25,11.863,12.0,p,s,0.13700000000000045
26,26,12.0,12.555,s,p,0.5549999999999997
27,27,12.555,13.08,p,s,0.5250000000000004
30,30,13.08,13.383,s,p,0.30299999999999905
31,31,13.383,13.456,p,s,0.0730000000000004
32,32,13.456,16.926,s,p,3.469999999999999
33,33,16.926,17.072,p,s,0.1460000000000008
34,34,17.072,17.335,s,p,0.2630000000000017
35,35,17.335,17.576,p,s,0.24099999999999966
36,36,17.576,18.16,s,p,0.5839999999999996
37,37,18.16,19.009,p,s,0.8490000000000002
40,40,19.009,19.964,s,p,0.9549999999999983
41,41,19.964,20.272,p,s,0.30799999999999983
42,42,20.272,20.376,s,p,0.10400000000000276
43,43,20.376,20.917,p,s,0.5410000000000004
46,46,20.917,21.679,s,p,0.7619999999999969
47,47,21.679,22.102,p,s,0.4230000000000018
48,48,22.102,22.336,s,p,0.2339999999999982
49,49,22.336,22.493,p,s,0.15700000000000003
50,50,22.493,22.715,s,p,0.2220000000000013
51,51,22.715,23.159,p,s,0.44399999999999906
52,52,23.159,24.556,s,p,1.397000000000002
53,53,24.556,24.697,p,s,0.14099999999999824
54,54,24.697,24.874,s,p,0.1769999999999996
55,55,24.874,24.983,p,s,0.10900000000000176
56,56,24.983,25.843,s,p,0.8599999999999994
57,57,25.843,26.198,p,s,0.3550000000000004
58,58,26.198,26.464,s,p,0.26599999999999824
59,59,26.464,26.692,p,s,0.22800000000000153
60,60,26.692,26.849,s,p,0.15700000000000003
61,61,26.849,27.0,p,s,0.1509999999999998
62,62,27.0,28.314,s,p,1.314
