level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,0.498,s,,0.498,s,0
1,1,0.498,0.557,p,s,0.05900000000000005,p,0
2,2,0.557,2.918,s,p,2.3609999999999998,s,0
3,3,2.918,3.0,p,s,0.08199999999999985,p,0
4,4,3.0,3.123,s,p,0.12300000000000022,s,0
5,5,3.123,3.193,p,s,0.06999999999999984,p,0
6,6,3.193,3.39,s,p,0.19700000000000006,s,0
7,7,3.39,3.5239999999999996,p,s,0.1339999999999999,p,0
8,8,3.5239999999999996,3.779,s,p,0.2549999999999999,s,0
9,9,3.779,3.83,p,s,0.05100000000000016,p,0
10,10,3.83,4.831,s,p,1.0009999999999994,s,0
11,11,4.831,5.401,p,s,0.5700000000000003,p,0
14,14,5.401,8.065,s,p,2.664,s,0
15,15,8.065,8.263,p,s,0.1980000000000004,p,0
16,16,8.263,8.891,s,p,0.6280000000000001,s,0
17,17,8.891,9.318,p,s,0.4269999999999996,p,0
18,18,9.318,10.163,s,p,0.8450000000000006,s,0
19,19,10.163,10.279000000000002,p,s,0.11599999999999965,p,0
20,20,10.279000000000002,11.027,s,p,0.7480000000000011,s,0
21,21,11.027,11.132,p,s,0.10499999999999864,p,0
22,22,11.132,11.609000000000002,s,p,0.4770000000000003,s,0
23,23,11.609000000000002,11.725,p,s,0.11599999999999965,p,0
24,24,11.725,11.863,s,p,0.1379999999999999,s,0
25,25,11.863,12.0,p,s,0.13700000000000045,p,0
26,26,12.0,12.555,s,p,0.5549999999999997,s,0
27,27,12.555,13.08,p,s,0.5250000000000004,p,0
30,30,13.08,13.383,s,p,0.30299999999999905,s,0
31,31,13.383,13.456,p,s,0.0730000000000004,p,0
32,32,13.456,16.926,s,p,3.469999999999999,s,0
33,33,16.926,17.072,p,s,0.1460000000000008,p,0
34,34,17.072,17.335,s,p,0.2630000000000017,p,1
35,35,17.335,17.576,p,s,0.2409999999999997,p,0
36,36,17.576,18.16,s,p,0.5839999999999996,s,0
37,37,18.16,19.009,p,s,0.8490000000000002,p,0
40,40,19.009,19.964000000000002,s,p,0.9549999999999984,s,0
41,41,19.964000000000002,20.272000000000002,p,s,0.30799999999999983,p,0
42,42,20.272000000000002,20.375999999999998,s,p,0.10400000000000276,s,0
43,43,20.375999999999998,20.916999999999998,p,s,0.5410000000000004,p,0
46,46,20.916999999999998,21.679000000000002,s,p,0.7619999999999969,s,0
47,47,21.679000000000002,22.101999999999997,p,s,0.4230000000000018,p,0
48,48,22.101999999999997,22.336,s,p,0.2339999999999982,s,0
49,49,22.336,22.493000000000002,p,s,0.15700000000000006,p,0
50,50,22.493000000000002,22.715,s,p,0.2220000000000013,s,0
51,51,22.715,23.159000000000002,p,s,0.4439999999999991,p,0
52,52,23.159000000000002,24.555999999999997,s,p,1.397000000000002,s,0
53,53,24.555999999999997,24.697,p,s,0.14099999999999824,p,0
54,54,24.697,24.874000000000002,s,p,0.1769999999999996,p,1
55,55,24.874000000000002,24.983,p,s,0.10900000000000176,p,0
56,56,24.983,25.843000000000004,s,p,0.8599999999999994,s,0
57,57,25.843000000000004,26.198,p,s,0.3550000000000004,p,0
58,58,26.198,26.464000000000002,s,p,0.26599999999999824,s,0
59,59,26.464000000000002,26.691999999999997,p,s,0.22800000000000156,p,0
60,60,26.691999999999997,26.849,s,p,0.15700000000000006,s,0
61,61,26.849,27.0,p,s,0.1509999999999998,p,0
62,62,27.0,28.314,s,p,1.314,s,0
63,63,28.314,28.391,p,s,0.07699999999999818,p,0
64,64,28.391,28.541999999999998,s,p,0.15100000000000335,s,0
65,65,28.541999999999998,28.736,p,s,0.19399999999999906,p,0
66,66,28.736,29.739,s,p,1.003,s,0
67,67,29.739,29.808000000000003,p,s,0.06899999999999906,p,0
68,68,29.808000000000003,30.046,s,p,0.23799999999999955,p,1
69,69,30.046,30.254,p,s,0.208000000000002,p,0
70,70,30.254,31.545,s,p,1.2910000000000004,s,0
71,71,31.545,32.383,p,s,0.8380000000000011,p,0
74,74,32.383,33.376999999999995,s,p,0.9939999999999998,s,0
75,75,33.376999999999995,33.498000000000005,p,s,0.12099999999999513,p,0
76,76,33.498000000000005,33.82,s,p,0.32200000000000273,s,0
77,77,33.82,34.238,p,s,0.4179999999999993,p,0
78,78,34.238,34.91,s,p,0.671999999999997,s,0
79,79,34.91,35.054,p,s,0.14400000000000546,p,0
80,80,35.054,35.271,s,p,0.21699999999999875,p,1
81,81,35.271,35.361999999999995,p,s,0.09100000000000108,p,0
82,82,35.361999999999995,35.491,s,p,0.12899999999999778,p,1
83,83,35.491,35.664,p,s,0.17300000000000182,p,0
84,84,35.664,39.016999999999996,s,p,3.353000000000001,s,0
85,85,39.016999999999996,39.138000000000005,p,s,0.12099999999999513,p,0
86,86,39.138000000000005,39.366,s,p,0.22800000000000156,s,0
87,87,39.366,39.443000000000005,p,s,0.07699999999999818,p,0
88,88,39.443000000000005,39.622,s,p,0.17900000000000205,p,1
89,89,39.622,40.179,p,s,0.5570000000000022,p,0
92,92,40.179,40.533,s,p,0.3539999999999992,s,0
93,93,40.533,41.266999999999996,p,s,0.7340000000000018,p,0
96,96,41.266999999999996,42.369,s,p,1.1019999999999968,s,0
97,97,42.369,42.426,p,s,0.05700000000000216,p,0
98,98,42.426,42.975,s,p,0.5489999999999995,s,0
99,99,42.975,43.073,p,s,0.09799999999999898,p,0
100,100,43.073,43.847,s,p,0.7740000000000009,s,0
101,101,43.847,43.915,p,s,0.06799999999999784,p,0
102,102,43.915,45.61600000000001,s,p,1.7010000000000003,s,0
103,103,45.61600000000001,45.815,p,s,0.19899999999999807,p,0
104,104,45.815,46.364,s,p,0.5489999999999995,s,0
105,105,46.364,46.519,p,s,0.15500000000000114,p,0
106,106,46.519,47.206,s,p,0.6870000000000047,s,0
107,107,47.206,47.262,p,s,0.05599999999999738,p,0
108,108,47.262,49.725,s,p,2.463000000000001,s,0
109,109,49.725,49.788000000000004,p,s,0.06299999999999527,p,0
110,110,49.788000000000004,49.905,s,p,0.11700000000000445,p,1
111,111,49.905,50.111000000000004,p,s,0.205999999999996,p,0
112,112,50.111000000000004,50.61,s,p,0.4990000000000023,s,0
113,113,50.61,50.716,p,s,0.10600000000000163,p,0
114,114,50.716,51.516999999999996,s,p,0.8010000000000019,s,0
115,115,51.516999999999996,52.306999999999995,p,s,0.7899999999999991,p,0
116,116,52.306999999999995,53.177,s,p,0.8699999999999974,s,0
117,117,53.177,53.42,p,s,0.2430000000000021,p,0
118,118,53.42,53.61,s,p,0.18999999999999773,s,0
119,119,53.61,53.68600000000001,p,s,0.07600000000000051,p,0
120,120,53.68600000000001,54.457,s,p,0.7710000000000008,s,0
121,121,54.457,55.037,p,s,0.5799999999999983,p,0
126,126,55.037,55.762,s,p,0.7250000000000014,s,0
127,127,55.762,55.833999999999996,p,s,0.07200000000000273,p,0
128,128,55.833999999999996,55.935,s,p,0.10099999999999908,s,0
129,129,55.935,56.042,p,s,0.10699999999999933,p,0
130,130,56.042,56.8,s,p,0.7579999999999956,s,0
131,131,56.8,57.275,p,s,0.4750000000000014,p,0
134,134,57.275,58.244,s,p,0.9690000000000012,s,0
135,135,58.244,58.476000000000006,p,s,0.2319999999999993,p,0
136,136,58.476000000000006,58.626999999999995,s,p,0.15100000000000335,s,0
137,137,58.626999999999995,59.055,p,s,0.4279999999999973,p,0
138,138,59.055,59.823,s,p,0.7680000000000007,s,0
139,139,59.823,59.881,p,s,0.05799999999999982,p,0
140,140,59.881,60.803000000000004,s,p,0.921999999999997,s,0
141,141,60.803000000000004,60.875,p,s,0.07200000000000273,p,0
142,142,60.875,61.034,s,p,0.15899999999999892,s,0
143,143,61.034,61.088,p,s,0.05400000000000205,p,0
144,144,61.088,61.31,s,p,0.2220000000000013,s,0
145,145,61.31,61.373000000000005,p,s,0.06299999999999527,p,0
146,146,61.373000000000005,63.176,s,p,1.8030000000000044,s,0
147,147,63.176,64.079,p,s,0.9029999999999916,p,0
148,148,64.079,64.87,s,p,0.791000000000011,s,0
149,149,64.87,65.002,p,s,0.1319999999999908,p,0
150,150,65.002,65.431,s,p,0.4290000000000021,s,0
151,151,65.431,65.515,p,s,0.08400000000000317,p,0
152,152,65.515,65.66,s,p,0.14499999999999602,s,0
153,153,65.66,65.833,p,s,0.17300000000000182,p,0
