level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,2.451,s,s,,2.451,0
1,1,2.451,2.745,p,p,s,0.29400000000000004,0
6,6,2.745,4.609,s,s,p,1.864,0
7,7,4.609,5.093,p,p,s,0.484,0
12,12,5.093,6.486000000000001,s,s,p,1.3929999999999998,0
13,13,6.486000000000001,6.77,p,p,s,0.2839999999999998,0
14,14,6.77,8.331,s,s,p,1.561,0
15,15,8.331,8.387,p,p,s,0.05600000000000094,0
16,16,8.387,9.437999999999999,s,s,p,1.0510000000000002,0
17,17,9.437999999999999,9.891,p,p,s,0.4529999999999994,0
20,20,9.891,11.9,s,s,p,2.0090000000000003,0
21,21,11.9,12.415999999999999,p,p,s,0.516,0
22,22,12.415999999999999,15.042,s,s,p,2.6259999999999994,0
23,23,15.042,15.114,p,p,s,0.07200000000000095,0
24,24,15.114,15.365,s,s,p,0.25099999999999945,0
25,25,15.365,15.788,p,p,s,0.423,0
28,28,15.788,17.305,s,s,p,1.5169999999999997,0
29,29,17.305,17.715999999999998,p,p,s,0.41100000000000136,0
30,30,17.715999999999998,18.689,s,s,p,0.972999999999999,0
31,31,18.689,18.816,p,p,s,0.1269999999999989,0
32,32,18.816,21.146,s,s,p,2.3300000000000023,0
33,33,21.146,22.005,p,p,s,0.8589999999999982,1
40,40,22.005,24.441999999999997,s,s,p,2.4370000000000007,0
41,41,24.441999999999997,24.909000000000002,p,p,s,0.4669999999999988,0
42,42,24.909000000000002,26.546999999999997,s,s,p,1.6380000000000017,0
43,43,26.546999999999997,27.05,p,p,s,0.5030000000000001,0
44,44,27.05,28.604,s,s,p,1.5539999999999985,0
45,45,28.604,28.714000000000002,p,p,s,0.10999999999999943,0
46,46,28.714000000000002,29.927,s,s,p,1.213000000000001,0
47,47,29.927,30.383000000000003,p,p,s,0.4559999999999995,0
48,48,30.383000000000003,30.954,s,s,p,0.5710000000000015,0
49,49,30.954,31.06,p,p,s,0.1059999999999981,0
50,50,31.06,32.296,s,s,p,1.2360000000000009,0
51,51,32.296,33.152,p,p,s,0.8560000000000016,0
58,58,33.152,33.709,s,s,p,0.5570000000000022,0
59,59,33.709,33.897,p,p,s,0.18799999999999528,0
62,62,33.897,35.126999999999995,s,s,p,1.2300000000000042,0
63,63,35.126999999999995,35.361,p,p,s,0.23399999999999466,0
64,64,35.361,36.063,s,s,p,0.7020000000000053,0
65,65,36.063,36.63,p,p,s,0.5670000000000002,0
68,68,36.63,37.723,s,s,p,1.0929999999999964,0
69,69,37.723,38.279,p,p,s,0.5559999999999974,1
72,72,38.279,39.201,s,s,p,0.922000000000004,0
73,73,39.201,39.586999999999996,p,p,s,0.3860000000000028,0
74,74,39.586999999999996,41.435,s,s,p,1.8479999999999992,0
75,75,41.435,41.909,p,p,s,0.4739999999999967,0
76,76,41.909,45.29399092970522,s,s,p,3.384990929705218,0
