level_0,index,Time_start,Time_end,Labels,Labels_X,Time_diff
0,0,0.0,3.87,s,,3.87
1,1,3.87,4.207,p,s,0.33699999999999974
4,4,4.207,4.436,s,p,0.2290000000000001
5,5,4.436,4.7010000000000005,p,s,0.26500000000000057
8,8,4.7010000000000005,6.303,s,p,1.6019999999999994
9,9,6.303,6.356,p,s,0.052999999999999936
10,10,6.356,6.473,s,p,0.11699999999999999
11,11,6.473,6.713,p,s,0.2400000000000002
12,12,6.713,7.205,s,p,0.492
13,13,7.205,7.281,p,s,0.07599999999999962
14,14,7.281,7.781,s,p,0.5
15,15,7.781,7.883,p,s,0.10200000000000031
16,16,7.883,8.671,s,p,0.7879999999999994
17,17,8.671,8.972,p,s,0.30100000000000016
20,20,8.972,9.8,s,p,0.8280000000000012
21,21,9.8,10.384,p,s,0.5839999999999996
24,24,10.384,10.905,s,p,0.520999999999999
25,25,10.905,11.006,p,s,0.10100000000000087
26,26,11.006,11.190999999999999,s,p,0.18499999999999872
27,27,11.190999999999999,12.115,p,s,0.9240000000000013
38,38,12.115,12.33,s,p,0.21499999999999986
39,39,12.33,12.734,p,s,0.4039999999999999
42,42,12.734,13.837,s,p,1.1029999999999998
43,43,13.837,14.087,p,s,0.25
44,44,14.087,15.189,s,p,1.1020000000000003
45,45,15.189,16.273,p,s,1.0839999999999996
48,48,16.273,17.433,s,p,1.1600000000000001
49,49,17.433,17.62,p,s,0.18700000000000117
52,52,17.62,18.324,s,p,0.7040000000000006
53,53,18.324,18.385,p,s,0.06099999999999994
54,54,18.385,19.04,s,p,0.6549999999999976
55,55,19.04,19.132,p,s,0.0920000000000023
56,56,19.132,19.842,s,p,0.7099999999999973
57,57,19.842,20.414,p,s,0.5720000000000027
64,64,20.414,20.592,s,p,0.17799999999999727
65,65,20.592,21.282,p,s,0.6900000000000013
70,70,21.282,22.928,s,p,1.6460000000000008
71,71,22.928,23.37,p,s,0.44200000000000017
74,74,23.37,23.481,s,p,0.11100000000000065
75,75,23.481,23.839,p,s,0.357999999999997
78,78,23.839,24.477,s,p,0.6380000000000017
79,79,24.477,24.595,p,s,0.11799999999999855
80,80,24.595,25.407,s,p,0.8120000000000012
81,81,25.407,25.955,p,s,0.5479999999999983
82,82,25.955,27.0,s,p,1.0450000000000017
83,83,27.0,27.336,p,s,0.3359999999999985
84,84,27.336,27.863,s,p,0.527000000000001
85,85,27.863,28.241,p,s,0.3780000000000001
86,86,28.241,28.966,s,p,0.7250000000000014
87,87,28.966,29.283,p,s,0.31700000000000017
88,88,29.283,30.015,s,p,0.7319999999999993
89,89,30.015,30.103,p,s,0.08800000000000097
90,90,30.103,30.38,s,p,0.27699999999999747
91,91,30.38,31.069,p,s,0.6890000000000001
94,94,31.069,32.315,s,p,1.2459999999999987
95,95,32.315,32.88,p,s,0.5650000000000048
98,98,32.88,33.564,s,p,0.6839999999999975
99,99,33.564,33.62,p,s,0.055999999999997385
100,100,33.62,34.332,s,p,0.7120000000000033
101,101,34.332,34.435,p,s,0.10300000000000153
102,102,34.435,35.071,s,p,0.6359999999999957
103,103,35.071,35.162,p,s,0.09100000000000108
104,104,35.162,35.676,s,p,0.5140000000000029
105,105,35.676,36.48,p,s,0.8039999999999949
112,112,36.48,37.647,s,p,1.1670000000000016
113,113,37.647,37.719,p,s,0.07200000000000273
114,114,37.719,38.082,s,p,0.36299999999999955
115,115,38.082,39.469,p,s,1.3870000000000005
120,120,39.469,40.823,s,p,1.3539999999999992
121,121,40.823,40.896,p,s,0.0730000000000004
122,122,40.896,41.301,s,p,0.40500000000000114
123,123,41.301,41.955,p,s,0.6539999999999964
124,124,41.955,42.852,s,p,0.8969999999999985
125,125,42.852,42.938,p,s,0.08600000000000563
126,126,42.938,43.561,s,p,0.6229999999999976
127,127,43.561,43.624,p,s,0.06300000000000239
128,128,43.624,44.353,s,p,0.7289999999999992
129,129,44.353,45.095,p,s,0.7419999999999973
132,132,45.095,46.352,s,p,1.256999999999998
133,133,46.352,46.435,p,s,0.08300000000000551
134,134,46.435,46.771,s,p,0.3359999999999985
135,135,46.771,47.173,p,s,0.402000000000001
136,136,47.173,49.19,s,p,2.016999999999996
137,137,49.19,49.24,p,s,0.05000000000000426
138,138,49.24,49.687,s,p,0.4469999999999956
139,139,49.687,50.315,p,s,0.6280000000000001
146,146,50.315,53.252,s,p,2.9370000000000047
147,147,53.252,53.965,p,s,0.713000000000001
158,158,53.965,54.074,s,p,0.10899999999999466
159,159,54.074,54.345,p,s,0.2710000000000008
162,162,54.345,55.49,s,p,1.1450000000000031
163,163,55.49,55.747,p,s,0.2569999999999979
164,164,55.747,55.946,s,p,0.19899999999999807
165,165,55.946,56.143,p,s,0.19700000000000273
166,166,56.143,56.448,s,p,0.3049999999999997
167,167,56.448,56.51,p,s,0.06199999999999761
168,168,56.51,57.253,s,p,0.7430000000000021
171,171,57.321,59.069,p,s,1.7480000000000047
186,186,59.069,59.92,s,p,0.8509999999999991
187,187,59.92,59.977,p,s,0.056999999999995055
188,188,59.977,60.906,s,p,0.929000000000002
189,189,60.906,60.964,p,s,0.05799999999999983
190,190,60.964,64.88798185941043,s,p,3.923981859410432
